Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
80.01	3.000	0.00	11.58	4.63	5.09	0.09930	-0.02639	3.097	-0.20	80.00	3.000	0.00	
80.00	3.000	5.00	11.52	4.61	5.05	0.10276	-0.02240	3.097	4.81	80.00	3.000	5.00	
80.01	3.000	10.00	11.52	4.61	5.06	0.09693	-0.02419	3.096	9.75	80.00	3.000	10.00	
80.00	3.000	15.00	11.61	4.64	5.14	0.08895	-0.01816	3.093	14.66	80.00	3.000	15.00	
80.00	3.000	20.00	11.74	4.69	5.17	0.08343	-0.01474	3.090	19.57	80.00	3.000	20.00	
80.01	3.000	25.00	11.83	4.73	5.19	0.14467	-0.02390	3.086	24.49	80.00	3.000	25.00	
80.00	3.000	30.00	12.21	4.89	5.32	0.07061	-0.00670	3.081	29.39	80.00	3.000	30.00	
79.99	3.000	35.00	12.54	5.02	5.44	0.09325	-0.00769	3.075	34.29	80.00	3.000	35.00	
80.00	3.000	40.00	12.99	5.20	5.49	0.10213	-0.01169	3.068	39.19	80.00	3.000	40.00	
80.00	3.000	45.00	13.53	5.41	5.53	0.16088	-0.02559	3.061	44.12	80.00	3.000	45.00	
80.00	3.000	50.00	14.30	5.72	5.65	0.13444	-0.02216	3.052	49.06	80.00	3.000	50.00	
80.01	3.000	55.00	15.24	6.10	5.85	0.11732	-0.02081	3.044	54.04	80.00	3.000	55.00	
80.00	3.000	60.00	16.57	6.63	6.30	0.06510	-0.00873	3.036	59.05	80.00	3.000	60.00	
80.00	3.000	65.00	18.01	7.21	6.69	0.08188	-0.00561	3.028	64.09	80.00	3.000	65.00	
79.99	3.000	70.00	19.20	7.68	6.86	0.05937	-0.01226	3.021	69.18	80.00	3.000	70.00	
80.00	3.000	75.00	20.66	8.26	7.27	0.04663	-0.01498	3.016	74.28	80.00	3.000	75.00	
80.01	3.000	78.00	21.81	8.72	7.85	-0.00882	-0.00320	3.014	77.36	80.00	3.000	78.00	
80.01	3.000	81.00	22.74	9.10	8.19	0.06840	-0.00849	3.012	80.44	80.00	3.000	81.00	
80.00	3.000	84.00	23.94	9.58	8.86	-0.00620	-0.00359	3.011	83.52	80.00	3.000	84.00	
80.00	3.000	86.00	24.82	9.93	9.03	0.05733	-0.01087	3.011	85.58	80.00	3.000	86.00	
80.00	3.000	88.00	26.33	10.53	9.40	0.05342	-0.00813	3.011	87.64	80.00	3.000	88.00	
80.00	3.000	90.00	28.60	11.44	10.11	0.00799	-0.00630	3.012	89.69	80.00	3.000	90.00	
80.00	3.000	92.00	27.11	10.84	9.82	0.04961	-0.00733	3.013	91.75	80.00	3.000	92.00	
80.00	3.000	94.00	25.18	10.07	9.15	0.02605	-0.00905	3.013	93.80	80.00	3.000	94.00	
80.00	3.000	96.00	24.12	9.65	8.80	0.05428	-0.00815	3.014	95.84	80.00	3.000	96.00	
80.00	3.000	99.00	22.93	9.17	8.17	0.10455	-0.01562	3.015	98.87	80.00	3.000	99.00	
79.99	3.000	102.00	21.95	8.78	7.73	0.07289	-0.01336	3.016	101.86	80.00	3.000	102.00	
80.00	3.000	105.00	21.03	8.41	7.41	0.07732	-0.01310	3.015	104.83	80.00	3.000	105.00	
80.00	3.000	110.00	19.54	7.81	6.93	0.04727	-0.01088	3.011	109.73	80.00	3.000	110.00	
80.00	3.000	115.00	18.29	7.32	6.77	0.00526	0.00030	3.005	114.61	80.00	3.000	115.00	
80.00	3.000	120.00	16.61	6.64	6.03	0.10443	-0.03082	2.997	119.51	80.00	3.000	120.00	
80.00	3.000	125.00	15.68	6.27	6.03	0.07863	-0.01587	2.988	124.40	80.00	3.000	125.00	
