Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
45.00	0.000	0.00	1582.62	633.05	20.80	-0.00661	-0.00001	0.002	-48.25	45.00	0.000	0.00	
45.01	0.000	5.00	1584.64	633.86	21.12	0.00325	0.00005	0.002	-57.23	45.00	0.000	5.00	
45.01	0.000	10.00	1583.36	633.34	21.07	0.03784	0.00004	0.002	-32.53	45.00	0.000	10.00	
44.99	-0.000	15.00	1586.80	634.72	20.80	-0.06789	0.00003	0.002	-58.78	45.00	0.000	15.00	
44.99	-0.000	20.00	1588.59	635.43	21.01	-0.06321	0.00007	0.002	-62.23	45.00	0.000	20.00	
44.99	-0.000	25.00	1587.25	634.90	20.98	-0.05518	0.00005	0.001	-62.35	45.00	0.000	25.00	
44.99	0.000	30.00	1588.02	635.21	21.00	-0.01981	0.00010	0.002	-45.67	45.00	0.000	30.00	
44.99	-0.000	35.00	1588.27	635.31	21.33	-0.04102	0.00006	-0.001	124.09	45.00	0.000	35.00	
44.99	0.000	40.00	1585.58	634.23	21.09	-0.04293	0.00004	0.001	-48.43	45.00	0.000	40.00	
44.99	-0.000	45.00	1588.33	635.33	20.90	0.04655	-0.00003	0.001	-41.56	45.00	0.000	45.00	
44.98	-0.000	50.00	1586.84	634.74	20.85	-0.00715	-0.00005	-0.001	123.96	45.00	0.000	50.00	
44.99	-0.000	55.00	1588.04	635.21	21.14	-0.04730	-0.00005	-0.001	120.24	45.00	0.000	55.00	
44.99	0.000	60.00	1591.09	636.44	21.30	-0.00251	-0.00010	-0.001	108.31	45.00	0.000	60.00	
44.99	0.000	65.00	1589.43	635.77	21.03	-0.01909	-0.00017	-0.001	118.39	45.00	0.000	65.00	
44.99	0.000	70.00	1589.38	635.75	21.00	0.01194	-0.00020	-0.001	110.22	45.00	0.000	70.00	
44.99	-0.000	75.00	1588.63	635.45	21.04	-0.03363	-0.00020	-0.001	110.22	45.00	0.000	75.00	
44.99	0.000	78.00	1587.48	634.99	20.93	0.00640	-0.00024	-0.001	99.84	45.00	0.000	78.00	
44.99	0.000	81.00	1587.89	635.16	21.04	-0.04970	-0.00017	-0.001	94.48	45.00	0.000	81.00	
44.99	0.000	84.00	1591.14	636.46	21.16	0.00275	-0.00025	-0.001	93.13	45.00	0.000	84.00	
44.99	0.001	86.00	1589.67	635.87	21.10	-0.01918	-0.00026	-0.001	81.90	45.00	0.000	86.00	
44.99	0.000	88.00	1587.13	634.85	20.90	0.01511	-0.00029	-0.001	81.41	45.00	0.000	88.00	
44.99	0.000	90.00	1589.80	635.92	20.88	0.01431	-0.00034	-0.000	83.66	45.00	0.000	90.00	
44.99	0.000	92.00	1589.12	635.65	20.96	0.02257	-0.00034	-0.001	75.68	45.00	0.000	92.00	
44.99	-0.000	94.00	1588.93	635.57	20.87	-0.03921	-0.00028	-0.001	69.18	45.00	0.000	94.00	
44.99	0.000	96.00	1590.75	636.30	21.23	0.02203	-0.00030	-0.001	69.33	45.00	0.000	96.00	
44.99	0.000	99.00	1588.41	635.37	21.02	-0.03236	-0.00033	-0.001	73.80	45.00	0.000	99.00	
44.99	-0.000	102.00	1587.33	634.93	20.95	0.03887	-0.00039	-0.001	70.03	45.00	0.000	102.00	
44.99	0.000	105.00	1592.63	637.05	21.26	0.00230	-0.00028	-0.001	60.62	45.00	0.000	105.00	
44.99	0.000	110.00	1590.81	636.33	21.00	-0.02804	-0.00025	-0.001	59.31	45.00	0.000	110.00	
44.99	0.000	115.00	1593.23	637.29	21.21	-0.05855	-0.00021	-0.001	60.64	45.00	0.000	115.00	
45.00	0.000	120.00	1591.22	636.49	21.24	-0.00801	-0.00020	-0.001	60.45	45.00	0.000	120.00	
44.99	-0.000	125.00	1590.27	636.11	20.93	0.00956	-0.00026	-0.002	61.48	45.00	0.000	125.00	
44.99	0.000	130.00	1592.62	637.05	21.37	0.00103	-0.00014	-0.001	58.16	45.00	0.000	130.00	
45.00	0.000	135.00	1588.50	635.40	20.98	0.02183	-0.00024	-0.001	59.89	45.00	0.000	135.00	
45.02	-0.000	140.00	1589.33	635.73	21.10	0.01353	-0.00011	-0.001	58.89	45.00	0.000	140.00	
45.00	-0.000	145.00	1589.00	635.60	21.39	-0.03996	-0.00017	-0.002	65.02	45.00	0.000	145.00	
45.00	0.000	150.00	1586.02	634.41	21.01	0.04651	-0.00018	0.002	239.22	45.00	0.000	150.00	
44.99	0.000	155.00	1592.44	636.97	21.06	0.00521	-0.00004	0.002	239.15	45.00	0.000	155.00	
44.99	-0.000	160.00	1594.03	637.61	21.11	-0.01392	0.00002	0.002	243.02	45.00	0.000	160.00	
44.99	0.000	165.00	1589.17	635.67	20.81	0.02608	-0.00007	0.002	244.67	45.00	0.000	165.00	
45.01	0.000	170.00	1585.76	634.30	20.66	0.06081	-0.00017	0.002	245.56	45.00	0.000	170.00	
45.00	0.000	175.00	1588.87	635.55	21.21	0.01673	-0.00002	0.002	244.22	45.00	0.000	175.00	
45.01	-0.000	180.00	1587.13	634.85	21.17	-0.03515	-0.00008	0.002	253.19	45.00	0.000	180.00	
44.99	-0.000	185.00	1587.59	635.03	21.38	-0.02916	0.00003	0.002	244.84	45.00	0.000	185.00	
45.01	-0.000	190.00	1585.96	634.38	21.12	-0.00362	0.00004	0.002	242.33	45.00	0.000	190.00	
45.00	0.000	195.00	1584.18	633.67	20.93	-0.04330	0.00001	0.002	241.15	45.00	0.000	195.00	
44.99	0.000	200.00	1586.80	634.72	20.80	-0.03124	-0.00007	0.002	246.29	45.00	0.000	200.00	
44.99	-0.000	205.00	1588.83	635.53	21.14	0.00357	0.00000	0.002	246.77	45.00	0.000	205.00	
44.99	0.000	210.00	1589.38	635.75	21.26	-0.02814	-0.00001	0.002	247.52	45.00	0.000	210.00	
44.99	-0.000	215.00	1586.15	634.46	21.01	-0.01291	-0.00004	0.002	253.15	45.00	0.000	215.00	
44.99	-0.000	220.00	1586.04	634.41	20.93	0.02124	-0.00002	0.002	252.25	45.00	0.000	220.00	
44.99	0.000	225.00	1586.75	634.70	21.11	0.00677	-0.00003	0.002	257.50	45.00	0.000	225.00	
44.99	0.000	230.00	1589.10	635.64	21.09	0.00705	-0.00008	0.002	258.64	45.00	0.000	230.00	
44.99	0.000	235.00	1590.95	636.38	20.99	-0.05120	-0.00004	0.002	259.66	45.00	0.000	235.00	
44.99	-0.000	240.00	1589.95	635.98	21.19	-0.01044	-0.00009	0.002	261.61	45.00	0.000	240.00	
