Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
50.01	4.999	0.00	288.08	115.23	14.85	-0.31969	0.01032	5.115	-0.50	50.00	5.000	0.00	
50.00	5.000	5.00	287.85	115.14	14.89	-0.08409	0.00953	5.115	4.50	50.00	5.000	5.00	
50.00	5.000	10.00	286.89	114.76	14.81	-0.10598	0.00962	5.114	9.41	50.00	5.000	10.00	
50.01	5.000	15.00	285.25	114.10	14.49	-0.11236	0.01027	5.110	14.30	50.00	5.000	15.00	
50.00	5.000	20.00	283.08	113.23	14.01	-0.02458	0.01178	5.105	19.21	50.00	5.000	20.00	
50.00	5.000	25.00	285.78	114.31	15.08	-0.03687	0.01422	5.099	24.12	50.00	5.000	25.00	
50.00	5.000	30.00	285.98	114.39	15.07	-0.18337	0.01442	5.092	29.03	50.00	5.000	30.00	
50.00	5.000	35.00	289.20	115.68	16.45	-0.10141	0.01473	5.084	33.93	50.00	5.000	35.00	
50.00	5.000	40.00	289.62	115.85	16.00	-0.08246	0.01492	5.074	38.84	50.00	5.000	40.00	
50.00	5.000	45.00	290.75	116.30	15.81	-0.18335	0.01512	5.063	43.78	50.00	5.000	45.00	
50.00	4.999	50.00	291.40	116.56	15.68	-0.20880	0.01433	5.051	48.72	50.00	5.000	50.00	
50.00	5.000	55.00	291.37	116.55	15.66	-0.19582	0.01285	5.039	53.69	50.00	5.000	55.00	
50.00	5.000	60.00	288.46	115.38	14.86	-0.12736	0.01053	5.028	58.69	50.00	5.000	60.00	
50.00	5.000	65.00	284.15	113.66	14.16	-0.13154	0.00728	5.017	63.72	50.00	5.000	65.00	
50.00	5.000	70.00	280.18	112.07	14.36	-0.04693	0.00434	5.009	68.77	50.00	5.000	70.00	
50.00	5.000	75.00	272.40	108.96	14.02	0.03120	0.00162	5.000	73.83	50.00	5.000	75.00	
50.00	5.000	78.00	264.33	105.73	13.29	0.05717	0.00082	4.996	76.88	50.00	5.000	78.00	
50.00	5.000	81.00	253.82	101.53	12.20	0.09934	-0.00079	4.992	79.94	50.00	5.000	81.00	
50.00	5.000	84.00	245.61	98.25	10.91	0.12547	-0.00136	4.989	83.00	50.00	5.000	84.00	
50.00	4.999	86.00	246.84	98.73	9.22	0.14895	-0.00218	4.987	85.05	50.00	5.000	86.00	
50.00	5.000	88.00	277.77	111.11	7.65	0.17680	-0.00226	4.986	87.11	50.00	5.000	88.00	
50.00	5.000	90.00	374.56	149.83	7.32	0.12436	-0.00228	4.985	89.16	50.00	5.000	90.00	
50.00	5.000	92.00	336.62	134.65	7.42	0.17296	-0.00302	4.985	91.24	50.00	5.000	92.00	
50.00	5.000	94.00	262.00	104.80	8.21	0.13311	-0.00394	4.983	93.33	50.00	5.000	94.00	
50.00	5.000	96.00	245.68	98.27	9.97	0.12190	-0.00388	4.983	95.40	50.00	5.000	96.00	
50.00	5.000	99.00	249.97	99.99	11.61	0.13587	-0.00440	4.983	98.45	50.00	5.000	99.00	
50.00	5.000	102.00	262.53	105.01	13.23	0.11852	-0.00411	4.982	101.45	50.00	5.000	102.00	
50.00	5.000	105.00	272.98	109.19	14.40	0.09147	-0.00437	4.980	104.43	50.00	5.000	105.00	
50.01	5.000	110.00	283.90	113.56	15.12	0.07120	-0.00442	4.972	109.34	50.00	5.000	110.00	
50.00	5.000	115.00	289.67	115.87	15.36	0.04868	-0.00450	4.960	114.24	50.00	5.000	115.00	
50.00	5.000	120.00	293.63	117.45	15.88	0.06127	-0.00369	4.945	119.17	50.00	5.000	120.00	
50.01	5.000	125.00	295.26	118.10	15.98	0.04943	-0.00272	4.930	124.09	50.00	5.000	125.00	
50.00	5.000	130.00	296.00	118.40	16.20	0.01710	-0.00195	4.916	129.05	50.00	5.000	130.00	
50.00	5.000	135.00	295.21	118.08	16.06	-0.00141	-0.00118	4.902	134.05	50.00	5.000	135.00	
50.00	5.000	140.00	293.79	117.52	15.68	-0.01056	0.00007	4.889	139.07	50.00	5.000	140.00	
50.00	5.000	145.00	292.52	117.01	15.64	0.00082	0.00104	4.877	144.08	50.00	5.000	145.00	
50.00	5.000	150.00	291.60	116.64	15.47	-0.03166	0.00199	4.867	149.09	50.00	5.000	150.00	
50.00	5.000	155.00	292.03	116.81	15.94	-0.00775	0.00340	4.858	154.05	50.00	5.000	155.00	
50.00	5.000	160.00	290.68	116.27	15.17	0.02981	0.00368	4.852	158.99	50.00	5.000	160.00	
50.00	5.000	165.00	292.09	116.84	15.48	0.05153	0.00504	4.845	163.98	50.00	5.000	165.00	
49.99	5.000	170.00	290.56	116.22	15.16	0.04505	0.00428	4.841	169.00	50.00	5.000	170.00	
50.00	5.000	175.00	288.23	115.29	14.16	0.11092	0.00289	4.836	174.14	50.00	5.000	175.00	
50.00	5.000	180.00	291.98	116.79	15.90	0.03103	0.00574	4.833	179.39	50.00	5.000	180.00	
50.00	5.000	185.00	290.48	116.19	15.12	0.19841	0.00670	4.834	184.58	50.00	5.000	185.00	
50.00	5.000	190.00	282.67	113.07	13.45	-0.04097	0.00189	4.836	190.45	50.00	5.000	190.00	
49.99	5.000	195.00	280.91	112.36	13.18	-0.08445	0.00464	4.841	195.51	50.00	5.000	195.00	
50.00	5.000	200.00	291.81	116.72	19.21	-0.33159	0.01020	4.848	200.58	50.00	5.000	200.00	
50.00	5.000	205.00	282.57	113.03	14.56	-0.00505	0.00609	4.857	205.63	50.00	5.000	205.00	
50.00	5.000	210.00	282.73	113.09	14.74	-0.00998	0.00639	4.868	210.72	50.00	5.000	210.00	
50.00	5.000	215.00	278.57	111.43	13.43	0.03380	0.00509	4.881	215.77	50.00	5.000	215.00	
50.01	5.000	220.00	284.38	113.75	15.20	0.06917	0.00426	4.895	220.75	50.00	5.000	220.00	
50.00	5.000	225.00	286.03	114.41	15.41	0.01968	0.00372	4.910	225.71	50.00	5.000	225.00	
50.00	5.000	230.00	285.69	114.28	14.89	-0.00799	0.00335	4.924	230.61	50.00	5.000	230.00	
50.00	5.000	235.00	286.52	114.61	15.08	0.05702	0.00308	4.939	235.50	50.00	5.000	235.00	
50.00	5.000	240.00	283.31	113.33	14.37	0.06889	0.00157	4.954	240.36	50.00	5.000	240.00	
