Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
19.98	5.000	0.00	995.10	398.04	22.20	-0.07485	0.00919	5.115	-0.18	20.00	5.000	0.00
19.99	5.000	5.00	995.27	398.11	22.38	-0.25113	0.01079	5.115	4.66	20.00	5.000	5.00
20.00	5.000	10.00	993.69	397.48	22.11	-0.19375	0.01221	5.115	9.56	20.00	5.000	10.00
20.00	5.000	15.00	993.88	397.55	21.84	-0.32016	0.01329	5.112	14.42	20.00	5.000	15.00
20.00	5.000	20.00	998.06	399.23	21.67	-0.47849	0.01513	5.108	19.26	20.00	5.000	20.00
20.00	5.000	25.00	1003.67	401.47	21.26	-0.68253	0.01642	5.102	24.12	20.00	5.000	25.00
20.01	5.000	30.00	1011.93	404.77	21.07	-0.85421	0.01718	5.095	28.99	20.00	5.000	30.00
20.00	5.000	35.00	1018.30	407.32	19.92	-0.99173	0.01659	5.087	33.86	20.00	5.000	35.00
20.00	5.000	40.00	1035.99	414.40	19.65	-1.00000	0.01568	5.077	38.73	20.00	5.000	40.00
20.01	5.000	45.00	1055.24	422.10	19.01	-0.96979	0.01442	5.065	43.62	20.00	5.000	45.00
20.00	5.000	50.00	1075.29	430.12	17.65	-0.81138	0.01227	5.053	48.52	20.00	5.000	50.00
20.01	5.000	55.00	1112.93	445.17	17.41	-0.73891	0.01012	5.040	53.44	20.00	5.000	55.00
20.01	5.000	60.00	1167.89	467.15	17.30	-0.53796	0.00794	5.029	58.39	20.00	5.000	60.00
20.00	5.000	65.00	1233.50	493.40	17.07	-0.34992	0.00576	5.017	63.37	20.00	5.000	65.00
20.00	5.000	70.00	1332.65	533.06	17.41	-0.31011	0.00435	5.006	68.37	20.00	5.000	70.00
20.00	5.000	75.00	1468.88	587.55	17.39	-0.20779	0.00275	4.997	73.33	20.00	5.000	75.00
20.01	5.000	78.00	1585.69	634.28	17.68	-0.15656	0.00196	4.990	76.39	20.00	5.000	78.00
20.00	5.000	81.00	1740.53	696.21	17.66	-0.20605	0.00099	4.985	79.35	20.00	5.000	81.00
20.00	5.000	84.00	1999.11	799.64	19.86	0.02723	0.00033	4.977	82.38	20.00	5.000	84.00
19.99	5.000	86.00	--	--	--	--	--	4.975	84.41	20.00	5.000	86.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	20.00	5.000	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	20.00	5.000	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	20.00	5.000	92.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	20.00	5.000	94.00	Measurement skipped. (Current limit exceeded.)
20.00	5.000	96.00	2205.01	882.00	24.20	0.45301	-0.00305	4.962	94.63	20.00	5.000	96.00
20.00	5.000	99.00	1908.21	763.28	22.47	0.33758	-0.00308	4.950	97.96	20.00	5.000	99.00
20.00	5.000	102.00	1707.91	683.16	21.17	0.23520	-0.00337	4.944	101.02	20.00	5.000	102.00
20.00	5.000	105.00	1566.67	626.67	20.68	0.20365	-0.00345	4.949	104.04	20.00	5.000	105.00
20.01	5.000	110.00	1406.09	562.44	20.59	0.21991	-0.00373	4.955	109.02	20.00	5.000	110.00
20.01	5.000	115.00	1296.97	518.79	20.41	0.12960	-0.00356	4.949	113.97	20.00	5.000	115.00
20.00	5.000	120.00	1233.00	493.20	21.62	0.05107	-0.00303	4.939	118.92	20.00	5.000	120.00
20.00	5.000	125.00	1179.13	471.65	22.38	-0.02320	-0.00245	4.928	123.89	20.00	5.000	125.00
20.00	5.000	130.00	1137.70	455.08	23.15	-0.11012	-0.00155	4.916	128.88	20.00	5.000	130.00
20.00	5.000	135.00	1102.95	441.18	23.74	-0.10611	-0.00038	4.904	133.92	20.00	5.000	135.00
20.00	5.000	140.00	1073.73	429.49	22.98	-0.26872	0.00136	4.892	138.96	20.00	5.000	140.00
20.00	5.000	145.00	1051.48	420.59	22.75	-0.43250	0.00378	4.881	144.03	20.00	5.000	145.00
20.00	5.000	150.00	1040.76	416.30	23.85	-0.65750	0.00628	4.871	149.11	20.00	5.000	150.00
20.00	5.000	155.00	1040.28	416.11	25.76	-0.80622	0.00876	4.862	154.14	20.00	5.000	155.00
20.00	5.000	160.00	1017.87	407.15	23.52	-0.50691	0.00770	4.859	159.89	20.00	5.000	160.00
20.00	5.000	165.00	1011.06	404.42	23.40	-0.52313	0.00894	4.852	164.96	20.00	5.000	165.00
20.00	5.000	170.00	1011.52	404.61	24.60	-0.52460	0.01083	4.846	170.05	20.00	5.000	170.00
20.00	5.000	175.00	1012.35	404.94	24.42	-0.47712	0.01175	4.840	175.17	20.00	5.000	175.00
20.00	5.000	180.00	1010.42	404.17	24.28	-0.38552	0.01270	4.835	180.38	20.00	5.000	180.00
20.00	5.000	185.00	1014.41	405.77	25.11	-0.48710	0.01459	4.834	185.58	20.00	5.000	185.00
20.00	5.000	190.00	1018.94	407.58	25.85	-0.58312	0.01640	4.836	190.71	20.00	5.000	190.00
20.00	5.000	195.00	1025.11	410.04	26.62	-0.88762	0.01827	4.841	195.82	20.00	5.000	195.00
20.00	5.000	200.00	1031.43	412.57	26.83	-1.00000	0.01897	4.847	200.91	20.00	5.000	200.00
20.00	5.000	205.00	1033.57	413.43	24.74	1.00000	0.01459	4.856	206.02	20.00	5.000	205.00
20.00	5.000	210.00	1046.01	418.41	24.21	1.00000	0.01571	4.866	211.10	20.00	5.000	210.00
20.01	5.000	215.00	1036.05	414.42	20.56	-0.50667	0.02055	4.880	215.30	20.00	5.000	215.00
20.00	5.000	220.00	1044.92	417.97	19.13	-0.92985	0.01791	4.892	220.23	20.00	5.000	220.00
20.00	5.000	225.00	1091.55	436.62	21.95	-0.41281	0.01563	4.906	225.15	20.00	5.000	225.00
20.00	5.000	230.00	1126.11	450.44	20.99	-0.41396	0.01461	4.920	230.06	20.00	5.000	230.00
20.00	5.000	235.00	1162.81	465.12	20.10	-0.48493	0.01321	4.935	234.94	20.00	5.000	235.00
20.00	5.000	240.00	1212.83	485.13	19.28	-0.51977	0.01174	4.948	239.82	20.00	5.000	240.00
