Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
19.99	7.000	0.00	812.59	325.04	21.68	-0.14117	0.01873	7.116	-0.19	20.00	7.000	0.00
19.99	7.000	5.00	815.04	326.02	22.73	-0.51690	0.02289	7.118	4.69	20.00	7.000	5.00
20.01	7.000	10.00	813.95	325.58	22.56	-0.56806	0.02585	7.118	9.58	20.00	7.000	10.00
20.00	7.000	15.00	816.11	326.45	22.62	-0.90659	0.03031	7.114	14.42	20.00	7.000	15.00
20.01	7.000	20.00	814.83	325.93	21.53	-1.00000	0.03155	7.109	19.27	20.00	7.000	20.00
20.00	7.000	25.00	820.06	328.03	23.03	-1.00000	0.03257	7.103	24.13	20.00	7.000	25.00
20.01	7.000	30.00	834.91	333.96	22.73	-0.25683	0.03119	7.094	28.99	20.00	7.000	30.00
20.01	7.000	35.00	843.70	337.48	21.91	-1.00000	0.03182	7.084	33.86	20.00	7.000	35.00
20.00	7.000	40.00	856.57	342.63	21.55	1.00000	0.02361	7.074	38.73	20.00	7.000	40.00
20.00	7.000	45.00	873.61	349.44	20.76	0.58161	0.02204	7.062	43.60	20.00	7.000	45.00
20.00	7.000	50.00	893.58	357.43	19.66	0.46929	0.01871	7.047	48.49	20.00	7.000	50.00
20.00	7.000	55.00	926.69	370.68	19.37	-1.00000	0.01949	7.032	53.39	20.00	7.000	55.00
20.01	7.000	60.00	941.82	376.73	16.20	-0.97876	0.01386	7.020	58.27	20.00	7.000	60.00
20.01	7.000	65.00	994.74	397.90	15.92	-0.69101	0.00977	7.009	63.22	20.00	7.000	65.00
20.00	7.000	70.00	1070.40	428.16	15.69	-0.42430	0.00641	6.998	68.18	20.00	7.000	70.00
20.00	7.000	75.00	1181.80	472.72	15.45	-0.20905	0.00389	6.987	73.15	20.00	7.000	75.00
20.01	7.000	78.00	1286.48	514.59	15.76	-0.14658	0.00267	6.981	76.12	20.00	7.000	78.00
20.01	7.000	81.00	1428.97	571.59	15.93	-0.03835	0.00137	6.973	79.11	20.00	7.000	81.00
20.01	7.000	84.00	1671.69	668.68	17.28	0.04672	0.00027	6.966	82.10	20.00	7.000	84.00
20.00	7.000	86.00	1917.46	766.98	18.64	0.16113	-0.00060	6.962	84.13	20.00	7.000	86.00
20.00	7.000	88.00	2293.87	917.55	22.29	0.39836	-0.00171	6.960	86.13	20.00	7.000	88.00	Current limit exceeded.
19.98	7.000	90.00	--	--	--	--	--	6.954	88.05	20.00	7.000	90.00	Current limit exceeded.
19.99	7.000	92.00	--	--	--	--	--	6.939	90.08	20.00	7.000	92.00	Current limit exceeded.
19.99	7.000	94.00	2353.49	941.40	33.90	1.00000	-0.00490	6.928	92.31	20.00	7.000	94.00	Current limit exceeded.
20.00	7.000	96.00	1998.40	799.36	25.31	1.00000	-0.00501	6.921	94.64	20.00	7.000	96.00
20.01	7.000	99.00	1646.93	658.77	21.18	0.55336	-0.00494	6.937	97.68	20.00	7.000	99.00
19.99	7.000	102.00	1440.00	576.00	19.83	0.45841	-0.00543	6.937	100.68	20.00	7.000	102.00
20.00	7.000	105.00	1312.69	525.07	19.78	0.36825	-0.00573	6.940	103.76	20.00	7.000	105.00
20.00	7.000	110.00	1166.10	466.44	19.70	0.33792	-0.00620	6.931	108.68	20.00	7.000	110.00
20.00	7.000	115.00	1077.98	431.19	20.78	0.16819	-0.00605	6.917	113.64	20.00	7.000	115.00
20.00	7.000	120.00	1013.17	405.27	21.13	-0.03063	-0.00514	6.899	118.60	20.00	7.000	120.00
20.00	7.000	125.00	964.64	385.85	21.33	-0.01241	-0.00443	6.881	123.60	20.00	7.000	125.00
20.00	7.000	130.00	935.48	374.19	23.17	-0.18039	-0.00272	6.865	128.62	20.00	7.000	130.00
20.00	7.000	135.00	900.36	360.14	22.48	-0.18418	-0.00085	6.848	133.68	20.00	7.000	135.00
