Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
20.00	7.000	140.00	877.61	351.04	23.23	-0.35346	0.00231	6.832	138.76	20.00	7.000	140.00
20.00	7.000	145.00	855.35	342.14	22.61	-0.68331	0.00670	6.816	143.84	20.00	7.000	145.00
20.00	7.000	150.00	844.48	337.79	23.24	-0.91934	0.01160	6.803	148.97	20.00	7.000	150.00
20.00	7.000	155.00	833.45	333.38	23.61	-1.00000	0.01342	6.794	154.93	20.00	7.000	155.00
20.00	7.000	160.00	829.35	331.74	24.78	-1.00000	0.01659	6.785	159.99	20.00	7.000	160.00
20.00	7.000	165.00	824.92	329.97	24.99	-1.00000	0.01965	6.776	165.03	20.00	7.000	165.00
20.00	7.000	170.00	816.11	326.44	23.57	-0.80708	0.02169	6.769	170.10	20.00	7.000	170.00
20.00	7.000	175.00	819.57	327.83	25.52	-0.41150	0.02349	6.760	175.22	20.00	7.000	175.00
20.00	7.000	180.00	821.88	328.75	26.71	-0.40869	0.02566	6.753	180.45	20.00	7.000	180.00
20.00	7.000	185.00	827.47	330.99	28.46	-0.61652	0.02927	6.752	185.63	20.00	7.000	185.00
20.00	7.000	190.00	831.73	332.69	29.66	-1.00000	0.03316	6.754	190.76	20.00	7.000	190.00
20.00	7.000	195.00	832.62	333.05	29.59	-1.00000	0.03389	6.760	195.88	20.00	7.000	195.00
20.00	7.000	200.00	828.76	331.50	26.67	-1.00000	0.03407	6.768	200.98	20.00	7.000	200.00
20.00	7.000	205.00	832.82	333.13	25.34	1.00000	0.02924	6.778	206.08	20.00	7.000	205.00
20.00	7.000	210.00	824.93	329.97	22.16	-1.00000	0.04186	6.791	210.17	20.00	7.000	210.00
20.00	7.000	215.00	829.42	331.77	19.96	1.00000	0.03019	6.805	215.16	20.00	7.000	215.00
20.00	7.000	220.00	853.81	341.52	21.52	-0.71263	0.03020	6.821	220.10	20.00	7.000	220.00
20.01	7.000	225.00	886.21	354.48	22.34	-0.77818	0.02878	6.839	225.01	20.00	7.000	225.00
20.01	7.000	230.00	910.15	364.06	21.07	-0.70663	0.02626	6.857	229.92	20.00	7.000	230.00
20.00	7.000	235.00	945.60	378.24	20.76	-0.76373	0.02352	6.876	234.80	20.00	7.000	235.00
20.01	7.000	240.00	987.09	394.83	20.21	-0.75691	0.02073	6.895	239.67	20.00	7.000	240.00
