Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
55.00	0.151	0.00	934.53	373.81	20.71	0.04181	0.00035	0.157	-0.05	55.00	0.150	0.00	
55.00	0.149	5.00	934.78	373.91	20.86	0.01011	0.00023	0.158	4.70	55.00	0.150	5.00	
55.01	0.150	10.00	935.50	374.20	20.50	0.05082	0.00005	0.158	9.69	55.00	0.150	10.00	
55.00	0.149	15.00	937.93	375.17	20.57	0.04980	0.00006	0.158	14.70	55.00	0.150	15.00	
55.00	0.150	20.00	940.12	376.05	20.57	0.04429	0.00013	0.157	19.58	55.00	0.150	20.00	
55.00	0.150	25.00	944.60	377.84	20.85	0.02771	0.00010	0.157	24.49	55.00	0.150	25.00	
55.00	0.150	30.00	948.70	379.48	21.14	-0.03389	0.00032	0.156	29.33	55.00	0.150	30.00	
55.00	0.150	35.00	951.20	380.48	21.17	-0.01753	0.00030	0.156	34.08	55.00	0.150	35.00	
55.00	0.150	40.00	951.57	380.63	20.15	0.01496	0.00012	0.155	38.84	55.00	0.150	40.00	
55.00	0.149	45.00	955.16	382.07	20.23	0.02760	0.00018	0.153	43.65	55.00	0.150	45.00	
55.01	0.150	50.00	958.08	383.23	20.25	-0.00287	0.00025	0.153	48.47	55.00	0.150	50.00	
55.00	0.149	55.00	962.01	384.80	19.97	-0.04794	0.00024	0.151	53.31	55.00	0.150	55.00	
55.00	0.150	60.00	964.87	385.95	19.98	-0.01838	0.00024	0.150	58.33	55.00	0.150	60.00	
55.00	0.150	65.00	965.11	386.05	19.16	-0.02488	0.00013	0.150	63.37	55.00	0.150	65.00	
55.00	0.150	70.00	965.34	386.13	18.55	-0.04163	0.00013	0.148	68.51	55.00	0.150	70.00	
55.00	0.150	75.00	968.45	387.38	18.69	-0.03259	0.00022	0.148	73.72	55.00	0.150	75.00	
55.00	0.150	78.00	965.10	386.04	17.97	-0.00211	-0.00011	0.148	77.00	55.00	0.150	78.00	
55.00	0.150	81.00	966.53	386.61	18.14	0.00127	-0.00010	0.148	80.11	55.00	0.150	81.00	
55.00	0.150	84.00	965.71	386.29	17.82	-0.04863	-0.00012	0.149	83.24	55.00	0.150	84.00	
55.00	0.150	86.00	966.69	386.67	17.83	0.02511	-0.00013	0.148	85.46	55.00	0.150	86.00	
55.00	0.150	88.00	965.38	386.15	17.80	0.01140	-0.00021	0.149	87.51	55.00	0.150	88.00	
54.99	0.151	90.00	965.44	386.18	17.59	0.06671	-0.00030	0.149	89.57	55.00	0.150	90.00	
55.00	0.150	92.00	966.39	386.56	17.53	0.02228	-0.00025	0.149	91.65	55.00	0.150	92.00	
55.00	0.150	94.00	965.28	386.11	17.57	0.04484	-0.00029	0.149	93.75	55.00	0.150	94.00	
54.98	0.150	96.00	966.33	386.53	17.66	0.02159	-0.00034	0.149	95.82	55.00	0.150	96.00	
55.00	0.150	99.00	967.13	386.85	17.87	-0.03635	-0.00022	0.150	98.77	55.00	0.150	99.00	
55.00	0.149	102.00	963.77	385.51	17.79	0.09899	-0.00036	0.150	101.74	55.00	0.150	102.00	
55.00	0.150	105.00	966.21	386.48	18.38	0.04384	-0.00015	0.150	104.85	55.00	0.150	105.00	
55.00	0.150	110.00	968.49	387.40	19.00	-0.04368	0.00013	0.151	109.73	55.00	0.150	110.00	
55.00	0.150	115.00	965.70	386.28	18.94	-0.08152	0.00003	0.151	114.71	55.00	0.150	115.00	
55.00	0.150	120.00	966.50	386.60	19.37	0.00186	0.00012	0.151	119.65	55.00	0.150	120.00	
55.02	0.150	125.00	962.33	384.93	19.33	0.05876	-0.00016	0.152	124.61	55.00	0.150	125.00	
55.00	0.150	130.00	960.21	384.08	19.39	-0.07697	-0.00026	0.152	129.50	55.00	0.150	130.00	
55.00	0.150	135.00	962.08	384.83	20.33	0.05580	0.00005	0.151	134.53	55.00	0.150	135.00	
55.00	0.150	140.00	959.17	383.67	20.56	0.03743	-0.00015	0.151	139.69	55.00	0.150	140.00	
55.00	0.150	145.00	956.77	382.71	20.53	-0.02273	-0.00002	0.151	144.73	55.00	0.150	145.00	
