Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
39.99	0.010	0.00	1910.39	764.15	21.49	-0.09054	0.00017	0.011	-7.75	40.00	0.010	0.00	
39.99	0.010	5.00	1907.36	762.95	21.38	0.05651	-0.00002	0.011	-3.39	40.00	0.010	5.00	
40.01	0.009	10.00	1906.34	762.53	21.26	-0.04138	0.00000	0.011	1.16	40.00	0.010	10.00	
40.00	0.010	15.00	1909.36	763.74	21.81	-0.06603	0.00010	0.011	5.95	40.00	0.010	15.00	
40.00	0.010	20.00	1912.75	765.10	22.29	-0.03327	0.00009	0.011	9.90	40.00	0.010	20.00	
40.00	0.010	25.00	1907.03	762.81	21.40	-0.03685	0.00005	0.011	15.33	40.00	0.010	25.00	
40.00	0.010	30.00	1909.22	763.69	21.83	-0.00192	0.00004	0.010	19.63	40.00	0.010	30.00	
40.00	0.010	35.00	1910.88	764.35	21.99	0.01354	0.00007	0.010	24.65	40.00	0.010	35.00	
40.01	0.010	40.00	1904.41	761.76	21.29	0.04223	-0.00001	0.010	29.53	40.00	0.010	40.00	
40.01	0.010	45.00	1906.50	762.60	21.55	0.04917	0.00001	0.010	34.86	40.00	0.010	45.00	
40.01	0.010	50.00	1904.28	761.71	21.38	0.02037	-0.00002	0.010	39.59	40.00	0.010	50.00	
40.01	0.010	55.00	1903.06	761.22	21.39	0.01775	-0.00009	0.009	45.47	40.00	0.010	55.00	
40.01	0.010	60.00	1899.91	759.97	21.23	-0.01801	-0.00009	0.009	50.74	40.00	0.010	60.00	
40.01	0.010	65.00	1898.84	759.54	21.29	0.00326	-0.00015	0.009	57.46	40.00	0.010	65.00	
40.01	0.010	70.00	1898.74	759.50	21.34	0.02355	-0.00020	0.009	64.26	40.00	0.010	70.00	
40.01	0.010	75.00	1897.99	759.19	21.55	0.02009	-0.00023	0.009	70.74	40.00	0.010	75.00	
40.01	0.010	78.00	1895.90	758.36	21.42	-0.03692	-0.00020	0.009	74.93	40.00	0.010	78.00	
40.00	0.010	81.00	1891.96	756.78	21.17	-0.02544	-0.00022	0.009	80.18	40.00	0.010	81.00	
40.01	0.010	84.00	1894.57	757.83	21.59	-0.00579	-0.00027	0.009	84.20	40.00	0.010	84.00	
40.00	0.010	86.00	1890.95	756.38	21.46	0.03678	-0.00032	0.009	86.24	40.00	0.010	86.00	
40.00	0.010	88.00	1888.50	755.40	21.30	0.00033	-0.00030	0.009	88.78	40.00	0.010	88.00	
40.00	0.010	90.00	1888.00	755.20	21.38	-0.02676	-0.00033	0.009	91.63	40.00	0.010	90.00	
40.01	0.010	92.00	1884.42	753.77	21.09	-0.04785	-0.00029	0.009	94.16	40.00	0.010	92.00	
40.00	0.010	94.00	1884.93	753.97	21.34	0.02190	-0.00027	0.009	96.41	40.00	0.010	94.00	
40.01	0.010	96.00	1884.77	753.91	21.53	-0.04975	-0.00031	0.009	99.29	40.00	0.010	96.00	
40.00	0.010	99.00	1881.68	752.67	21.26	0.00307	-0.00035	0.009	102.46	40.00	0.010	99.00	
39.99	0.010	102.00	1879.42	751.77	21.17	-0.04608	-0.00031	0.009	106.45	40.00	0.010	102.00	
40.00	0.010	105.00	1878.56	751.42	21.25	0.02353	-0.00033	0.009	110.26	40.00	0.010	105.00	
39.99	0.010	110.00	1878.04	751.22	21.41	-0.00560	-0.00028	0.009	116.95	40.00	0.010	110.00	
39.99	0.010	115.00	1876.98	750.79	21.41	0.01091	-0.00032	0.009	123.47	40.00	0.010	115.00	
39.99	0.010	120.00	1872.65	749.06	21.14	0.00949	-0.00032	0.009	129.54	40.00	0.010	120.00	
40.00	0.010	125.00	1870.36	748.14	21.29	0.00416	-0.00025	0.010	133.57	40.00	0.010	125.00	
40.02	0.010	130.00	1871.30	748.52	21.29	0.00585	-0.00020	0.010	140.05	40.00	0.010	130.00	
40.02	0.010	135.00	1874.57	749.83	21.47	0.03418	-0.00018	0.010	145.20	40.00	0.010	135.00	
40.02	0.010	140.00	1874.28	749.71	21.43	0.00649	-0.00013	0.010	151.00	40.00	0.010	140.00	
40.01	0.010	145.00	1868.53	747.41	20.86	-0.01949	-0.00014	0.010	155.75	40.00	0.010	145.00	
40.01	0.010	150.00	1870.50	748.20	21.27	0.04401	-0.00010	0.010	160.01	40.00	0.010	150.00	
40.00	0.010	155.00	1867.79	747.12	21.17	0.00266	-0.00015	0.010	165.64	40.00	0.010	155.00	
39.99	0.010	160.00	1872.26	748.90	21.52	-0.02598	-0.00003	0.011	170.44	40.00	0.010	160.00	
40.00	0.010	165.00	1872.17	748.87	22.06	-0.02418	-0.00001	0.011	175.55	40.00	0.010	165.00	
40.01	0.010	170.00	1868.86	747.54	21.26	0.01078	-0.00006	0.011	179.25	40.00	0.010	170.00	
40.00	0.010	175.00	1879.81	751.92	22.20	-0.01946	-0.00002	0.011	182.84	40.00	0.010	175.00	
