Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
39.99	0.070	0.00	1847.14	738.85	22.91	-0.12080	0.00069	0.071	-1.45	40.00	0.070	0.00	
39.99	0.070	5.00	1819.46	727.78	20.51	0.00577	-0.00008	0.073	2.81	40.00	0.070	5.00	
40.01	0.070	10.00	1818.10	727.24	20.58	0.02123	-0.00009	0.073	7.87	40.00	0.070	10.00	
40.00	0.071	15.00	1818.85	727.54	20.55	-0.03735	0.00003	0.073	12.78	40.00	0.070	15.00	
40.00	0.070	20.00	1817.17	726.87	20.52	-0.00841	0.00002	0.072	17.78	40.00	0.070	20.00	
40.00	0.070	25.00	1820.02	728.01	20.58	-0.00753	0.00005	0.072	22.61	40.00	0.070	25.00	
40.01	0.070	30.00	1825.63	730.25	20.89	0.02038	0.00006	0.072	27.55	40.00	0.070	30.00	
40.01	0.070	35.00	1827.08	730.83	20.62	-0.04073	0.00004	0.071	32.37	40.00	0.070	35.00	
40.01	0.070	40.00	1830.73	732.29	20.70	0.00882	0.00003	0.070	37.06	40.00	0.070	40.00	
40.00	0.070	45.00	1837.83	735.13	20.87	-0.00139	0.00003	0.069	41.92	40.00	0.070	45.00	
40.00	0.070	50.00	1840.64	736.25	20.66	-0.00674	-0.00004	0.068	46.91	40.00	0.070	50.00	
40.01	0.070	55.00	1845.02	738.01	20.71	0.00449	-0.00003	0.067	51.94	40.00	0.070	55.00	
40.01	0.070	60.00	1850.16	740.06	20.81	-0.00936	-0.00008	0.067	57.06	40.00	0.070	60.00	
40.01	0.070	65.00	1852.94	741.17	20.80	-0.06592	-0.00011	0.067	62.36	40.00	0.070	65.00	
40.01	0.070	70.00	1855.17	742.07	20.74	-0.04495	-0.00013	0.066	67.70	40.00	0.070	70.00	
40.01	0.070	75.00	1859.50	743.80	20.97	-0.00640	-0.00012	0.066	73.14	40.00	0.070	75.00	
40.01	0.071	78.00	1859.66	743.87	20.98	-0.04455	-0.00018	0.066	76.66	40.00	0.070	78.00	
40.01	0.070	81.00	1860.41	744.16	21.05	-0.02456	-0.00022	0.066	79.89	40.00	0.070	81.00	
40.01	0.070	84.00	1860.31	744.12	21.10	0.01208	-0.00020	0.066	83.16	40.00	0.070	84.00	
40.01	0.070	86.00	1861.91	744.76	21.08	-0.07662	-0.00024	0.067	85.31	40.00	0.070	86.00	
40.01	0.069	88.00	1858.23	743.29	20.89	-0.03026	-0.00029	0.067	87.63	40.00	0.070	88.00	
40.01	0.070	90.00	1859.39	743.76	20.87	-0.07228	-0.00027	0.067	89.65	40.00	0.070	90.00	
40.01	0.070	92.00	1858.57	743.43	20.89	-0.03921	-0.00030	0.067	91.93	40.00	0.070	92.00	
40.00	0.070	94.00	1859.69	743.88	21.03	-0.01972	-0.00029	0.067	93.88	40.00	0.070	94.00	
40.01	0.070	96.00	1859.62	743.85	21.04	-0.00564	-0.00029	0.067	96.30	40.00	0.070	96.00	
40.01	0.070	99.00	1857.54	743.01	20.87	-0.02630	-0.00032	0.067	99.11	40.00	0.070	99.00	
40.00	0.070	102.00	1855.11	742.04	20.72	0.01255	-0.00042	0.068	102.24	40.00	0.070	102.00	
40.00	0.070	105.00	1849.21	739.68	20.40	0.03106	-0.00040	0.068	105.34	40.00	0.070	105.00	
40.00	0.069	110.00	1850.56	740.22	20.81	-0.02087	-0.00028	0.068	110.26	40.00	0.070	110.00	
40.00	0.070	115.00	1848.05	739.22	20.86	-0.02051	-0.00028	0.068	115.53	40.00	0.070	115.00	
39.99	0.070	120.00	1847.03	738.81	21.02	-0.01996	-0.00023	0.069	120.33	40.00	0.070	120.00	
39.99	0.070	125.00	1840.82	736.33	20.64	-0.03010	-0.00018	0.069	125.41	40.00	0.070	125.00	
40.01	0.070	130.00	1834.80	733.92	20.37	0.00455	-0.00015	0.070	130.49	40.00	0.070	130.00	
40.02	0.071	135.00	1833.69	733.48	20.78	0.01767	-0.00021	0.071	135.39	40.00	0.070	135.00	
40.02	0.070	140.00	1832.36	732.94	20.75	0.00749	-0.00023	0.071	140.65	40.00	0.070	140.00	
40.01	0.071	145.00	1826.47	730.59	20.83	-0.08297	-0.00019	0.071	145.75	40.00	0.070	145.00	
40.01	0.070	150.00	1827.76	731.10	21.10	-0.02987	-0.00015	0.070	150.98	40.00	0.070	150.00	
39.99	0.070	155.00	1816.93	726.77	20.44	0.01909	-0.00022	0.071	155.79	40.00	0.070	155.00	
39.99	0.070	160.00	1815.22	726.09	20.43	0.00683	-0.00013	0.071	160.69	40.00	0.070	160.00	
40.00	0.070	165.00	1815.45	726.18	20.34	-0.00179	-0.00012	0.071	165.56	40.00	0.070	165.00	
40.00	0.070	170.00	1814.89	725.96	20.82	0.01767	-0.00013	0.072	170.46	40.00	0.070	170.00	
40.01	0.070	175.00	1813.46	725.38	20.29	-0.01472	-0.00010	0.072	175.39	40.00	0.070	175.00	
40.01	0.070	180.00	1812.47	724.99	20.30	0.04281	-0.00014	0.072	180.54	40.00	0.070	180.00	
40.01	0.070	185.00	1812.50	725.00	20.42	0.03249	-0.00014	0.073	185.49	40.00	0.070	185.00	
40.01	0.070	190.00	1816.32	726.53	20.44	-0.03870	-0.00003	0.073	190.39	40.00	0.070	190.00	
