Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
55.00	1.000	0.00	549.27	219.71	19.29	-0.00135	0.00068	1.058	-0.02	55.00	1.000	0.00	
55.00	1.000	5.00	544.30	217.72	18.44	0.01290	-0.00029	1.059	5.05	55.00	1.000	5.00	
54.99	1.000	10.00	542.41	216.96	18.46	0.01966	0.00036	1.058	9.98	55.00	1.000	10.00	
55.00	1.000	15.00	540.35	216.14	18.98	-0.01399	0.00075	1.058	14.98	55.00	1.000	15.00	
55.02	1.000	20.00	534.29	213.72	18.36	-0.00499	0.00054	1.056	19.87	55.00	1.000	20.00	
55.01	0.999	25.00	529.13	211.65	18.22	0.04209	0.00064	1.052	24.73	55.00	1.000	25.00	
55.00	1.000	30.00	523.74	209.50	17.86	0.02602	0.00050	1.049	29.54	55.00	1.000	30.00	
55.00	1.000	35.00	519.21	207.68	17.48	0.01889	0.00046	1.044	34.32	55.00	1.000	35.00	
55.00	1.000	40.00	514.26	205.70	17.45	0.06632	0.00036	1.038	39.07	55.00	1.000	40.00	
55.00	1.000	45.00	509.01	203.61	17.11	0.05250	0.00025	1.031	43.85	55.00	1.000	45.00	
55.00	1.000	50.00	502.82	201.13	16.41	0.00383	0.00007	1.023	48.66	55.00	1.000	50.00	
55.01	0.999	55.00	499.51	199.80	16.31	0.04142	0.00023	1.015	53.54	55.00	1.000	55.00	
55.00	1.000	60.00	494.14	197.66	15.88	0.04817	0.00020	1.008	58.51	55.00	1.000	60.00	
55.01	1.000	65.00	488.17	195.27	15.36	-0.00423	-0.00002	1.001	63.55	55.00	1.000	65.00	
55.00	1.000	70.00	481.20	192.48	14.94	0.02140	-0.00017	0.996	68.70	55.00	1.000	70.00	
55.00	1.000	75.00	471.67	188.67	14.30	0.01164	0.00011	0.993	73.87	55.00	1.000	75.00	
55.00	1.000	78.00	462.66	185.07	13.34	0.09845	-0.00038	0.992	77.04	55.00	1.000	78.00	
55.01	0.999	81.00	454.87	181.95	12.45	0.06050	-0.00042	0.993	80.16	55.00	1.000	81.00	
55.00	1.000	84.00	452.03	180.81	11.53	0.08221	-0.00037	0.994	83.33	55.00	1.000	84.00	
54.99	1.000	86.00	457.15	182.86	10.85	0.09051	-0.00050	0.994	85.40	55.00	1.000	86.00	
55.00	1.000	88.00	470.08	188.03	10.25	0.10663	-0.00049	0.995	87.47	55.00	1.000	88.00	
54.98	1.000	90.00	483.07	193.23	10.37	0.07142	-0.00051	0.996	89.55	55.00	1.000	90.00	
55.00	1.000	92.00	475.67	190.27	10.31	0.09380	-0.00042	0.998	91.63	55.00	1.000	92.00	
55.00	0.999	94.00	460.38	184.15	10.60	0.08407	-0.00048	1.000	93.65	55.00	1.000	94.00	
55.01	1.000	96.00	452.67	181.07	11.25	0.02229	-0.00043	1.002	95.73	55.00	1.000	96.00	
55.00	0.999	99.00	455.07	182.03	12.33	0.01208	-0.00028	1.005	98.73	55.00	1.000	99.00	
55.00	1.000	102.00	463.06	185.22	13.28	0.04566	-0.00049	1.008	101.76	55.00	1.000	102.00	
54.99	1.000	105.00	472.66	189.07	14.14	0.08894	-0.00014	1.010	104.69	55.00	1.000	105.00	
54.98	0.999	110.00	485.31	194.12	15.09	-0.01863	-0.00025	1.013	109.58	55.00	1.000	110.00	
55.00	1.000	115.00	494.51	197.80	15.67	0.04375	0.00005	1.015	114.49	55.00	1.000	115.00	
55.00	1.000	120.00	500.60	200.24	15.94	0.03031	-0.00014	1.017	119.33	55.00	1.000	120.00	
55.01	1.000	125.00	506.85	202.74	16.49	-0.02769	0.00018	1.016	124.18	55.00	1.000	125.00	
54.99	0.999	130.00	512.80	205.12	17.10	0.04743	0.00013	1.015	129.06	55.00	1.000	130.00	
54.98	1.000	135.00	516.52	206.61	16.88	0.03230	0.00009	1.012	134.00	55.00	1.000	135.00	
54.98	0.999	140.00	522.50	209.00	17.32	0.00459	0.00024	1.009	138.94	55.00	1.000	140.00	
54.99	1.000	145.00	526.63	210.65	17.31	-0.01521	-0.00005	1.005	143.96	55.00	1.000	145.00	
55.00	1.000	150.00	533.17	213.27	18.01	0.02381	0.00032	1.003	149.00	55.00	1.000	150.00	
55.00	0.999	155.00	539.68	215.87	18.69	0.00851	0.00034	1.000	154.02	55.00	1.000	155.00	
55.00	1.000	160.00	543.47	217.39	18.61	0.01014	0.00024	0.999	159.07	55.00	1.000	160.00	
55.00	1.000	165.00	547.77	219.11	18.89	0.03325	0.00045	0.996	164.14	55.00	1.000	165.00	
55.00	1.000	170.00	552.71	221.08	19.60	-0.01364	0.00078	0.995	169.28	55.00	1.000	170.00	
55.00	1.000	175.00	552.37	220.95	19.14	0.02224	0.00031	0.994	174.50	55.00	1.000	175.00	
55.00	1.000	180.00	552.24	220.90	18.78	0.04616	0.00016	0.994	179.73	55.00	1.000	180.00	
55.00	1.000	185.00	549.82	219.93	18.58	-0.03768	0.00010	0.995	184.94	55.00	1.000	185.00	
55.01	1.000	190.00	548.34	219.33	18.99	-0.02901	0.00059	0.996	190.14	55.00	1.000	190.00	
55.00	1.000	195.00	541.71	216.68	18.15	-0.03708	0.00056	0.999	195.37	55.00	1.000	195.00	
54.99	1.000	200.00	536.71	214.68	18.44	-0.03792	0.00074	1.002	200.46	55.00	1.000	200.00	
55.02	1.000	205.00	532.82	213.13	19.41	0.00944	0.00089	1.006	205.59	55.00	1.000	205.00	
55.00	1.000	210.00	525.53	210.21	18.37	-0.02120	0.00069	1.010	210.59	55.00	1.000	210.00	
54.98	1.001	215.00	519.25	207.70	17.64	0.00401	0.00034	1.014	215.56	55.00	1.000	215.00	
55.00	1.000	220.00	515.10	206.04	17.59	0.00849	0.00054	1.017	220.37	55.00	1.000	220.00	
54.98	1.001	225.00	511.26	204.50	17.47	-0.00132	0.00063	1.019	225.18	55.00	1.000	225.00	
55.00	1.000	230.00	506.12	202.45	16.59	0.04128	0.00049	1.021	229.95	55.00	1.000	230.00	
55.00	1.000	235.00	502.56	201.02	16.27	0.02673	0.00016	1.021	234.79	55.00	1.000	235.00	
54.99	1.001	240.00	499.91	199.96	16.23	0.02087	0.00043	1.021	239.54	55.00	1.000	240.00	
