Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
39.99	0.000	0.00	1871.03	748.41	21.36	0.04941	-0.00009	0.002	-75.18	40.00	0.000	0.00	
39.99	-0.000	5.00	1871.14	748.46	21.26	0.01685	-0.00001	0.002	-72.79	40.00	0.000	5.00	
40.01	-0.000	10.00	1876.20	750.48	21.14	0.08195	-0.00003	-0.002	99.14	40.00	0.000	10.00	
40.00	-0.000	15.00	1873.91	749.57	21.28	0.03551	0.00001	0.002	-74.26	40.00	0.000	15.00	
40.00	0.000	20.00	1875.09	750.04	21.35	-0.00143	0.00003	-0.002	101.20	40.00	0.000	20.00	
40.00	-0.000	25.00	1875.30	750.12	21.47	0.00072	0.00003	-0.002	96.75	40.00	0.000	25.00	
40.00	0.000	30.00	1875.99	750.40	21.19	0.01343	0.00001	-0.002	116.48	40.00	0.000	30.00	
40.00	0.000	35.00	1874.05	749.62	21.15	0.00276	0.00004	0.002	-52.43	40.00	0.000	35.00	
40.00	-0.000	40.00	1874.43	749.77	21.27	0.01923	0.00001	-0.002	110.44	40.00	0.000	40.00	
40.01	0.000	45.00	1878.72	751.49	21.30	-0.02652	-0.00002	-0.002	111.38	40.00	0.000	45.00	
40.01	-0.000	50.00	1878.95	751.58	21.52	-0.03381	-0.00002	-0.002	96.21	40.00	0.000	50.00	
40.01	-0.000	55.00	1879.00	751.60	21.35	0.00142	-0.00010	-0.002	90.26	40.00	0.000	55.00	
40.01	-0.000	60.00	1877.86	751.15	21.41	-0.01280	-0.00010	-0.001	99.01	40.00	0.000	60.00	
40.01	-0.000	65.00	1876.65	750.66	21.39	-0.02284	-0.00012	-0.002	90.29	40.00	0.000	65.00	
40.01	-0.001	70.00	1876.64	750.66	21.17	-0.03721	-0.00018	-0.002	90.39	40.00	0.000	70.00	
40.01	-0.000	75.00	1874.71	749.88	21.28	0.01117	-0.00027	-0.001	92.05	40.00	0.000	75.00	
40.01	-0.000	78.00	1875.26	750.10	21.31	0.04897	-0.00027	-0.001	80.75	40.00	0.000	78.00	
40.01	0.000	81.00	1873.47	749.39	21.39	0.00471	-0.00026	-0.001	77.37	40.00	0.000	81.00	
40.01	0.000	84.00	1869.30	747.72	21.09	-0.00556	-0.00031	-0.001	73.63	40.00	0.000	84.00	
40.01	-0.000	86.00	1876.09	750.43	21.24	0.00644	-0.00031	-0.001	69.93	40.00	0.000	86.00	
40.01	0.000	88.00	1875.13	750.05	21.39	0.02808	-0.00033	-0.001	69.27	40.00	0.000	88.00	
40.00	0.000	90.00	1875.83	750.33	21.37	-0.07746	-0.00027	-0.001	59.86	40.00	0.000	90.00	
40.00	0.000	92.00	1877.93	751.17	21.38	-0.00821	-0.00026	-0.001	62.06	40.00	0.000	92.00	
40.00	-0.000	94.00	1875.48	750.19	21.39	-0.01401	-0.00032	-0.001	59.69	40.00	0.000	94.00	
40.00	-0.000	96.00	1873.35	749.34	21.23	-0.00828	-0.00034	-0.002	65.94	40.00	0.000	96.00	
40.00	-0.000	99.00	1872.66	749.07	21.38	0.00199	-0.00035	-0.002	63.77	40.00	0.000	99.00	
40.00	0.000	102.00	1868.25	747.30	21.02	-0.00163	-0.00039	-0.001	59.19	40.00	0.000	102.00	
40.00	0.000	105.00	1872.39	748.96	21.06	0.04232	-0.00041	-0.001	50.46	40.00	0.000	105.00	
40.00	-0.000	110.00	1874.18	749.67	21.32	-0.01034	-0.00030	-0.001	51.44	40.00	0.000	110.00	
39.99	-0.000	115.00	1867.63	747.05	20.84	0.02115	-0.00038	-0.001	43.51	40.00	0.000	115.00	
39.99	0.000	120.00	1872.48	748.99	21.41	-0.00127	-0.00026	-0.001	38.58	40.00	0.000	120.00	
39.99	-0.000	125.00	1871.90	748.76	21.44	-0.02820	-0.00020	-0.002	50.30	40.00	0.000	125.00	
40.02	-0.000	130.00	1871.59	748.64	20.87	0.02582	-0.00025	-0.002	54.39	40.00	0.000	130.00	
40.00	-0.000	135.00	1870.18	748.07	20.89	0.09242	-0.00020	-0.002	60.12	40.00	0.000	135.00	
40.01	-0.000	140.00	1874.50	749.80	21.44	0.05089	-0.00015	-0.002	56.79	40.00	0.000	140.00	
40.02	0.000	145.00	1875.95	750.38	21.81	0.00102	-0.00010	0.002	227.30	40.00	0.000	145.00	
40.01	0.000	150.00	1869.15	747.66	21.10	0.01326	-0.00018	0.002	234.25	40.00	0.000	150.00	
40.00	-0.000	155.00	1868.61	747.45	21.00	0.03721	-0.00018	0.002	226.38	40.00	0.000	155.00	
39.99	-0.000	160.00	1877.02	750.81	21.49	-0.01615	-0.00005	0.002	224.77	40.00	0.000	160.00	
39.99	-0.000	165.00	1870.85	748.34	20.87	0.04291	-0.00010	0.002	220.61	40.00	0.000	165.00	
40.00	0.000	170.00	1873.55	749.42	21.32	-0.04278	-0.00009	0.002	230.81	40.00	0.000	170.00	
40.00	-0.000	175.00	1871.76	748.70	21.36	0.01791	-0.00012	0.002	231.99	40.00	0.000	175.00	
40.00	-0.000	180.00	1873.28	749.31	21.37	0.00506	-0.00008	0.002	233.89	40.00	0.000	180.00	
40.00	-0.000	185.00	1880.93	752.37	21.83	0.00688	-0.00010	0.002	235.23	40.00	0.000	185.00	
40.01	-0.000	190.00	1875.55	750.22	21.31	0.03685	-0.00012	0.002	232.59	40.00	0.000	190.00	
40.00	-0.000	195.00	1877.24	750.89	21.25	-0.04742	-0.00009	0.002	242.84	40.00	0.000	195.00	
40.01	-0.000	200.00	1878.98	751.59	21.35	0.00110	-0.00006	0.002	239.63	40.00	0.000	200.00	
40.01	0.000	205.00	1876.07	750.43	21.08	-0.07825	-0.00004	0.002	241.90	40.00	0.000	205.00	
40.01	-0.000	210.00	1877.91	751.16	21.43	0.00463	-0.00010	0.002	242.44	40.00	0.000	210.00	
40.00	0.000	215.00	1878.31	751.32	21.58	0.03472	-0.00004	0.003	243.13	40.00	0.000	215.00	
40.00	-0.000	220.00	1876.26	750.50	21.11	0.02938	-0.00009	0.002	246.49	40.00	0.000	220.00	
40.01	0.000	225.00	1877.52	751.01	21.21	-0.00595	-0.00009	0.002	251.35	40.00	0.000	225.00	
40.01	-0.001	230.00	1878.22	751.29	21.53	-0.05055	-0.00006	0.002	255.78	40.00	0.000	230.00	
40.00	0.000	235.00	1877.45	750.98	21.18	-0.04327	-0.00008	0.003	254.51	40.00	0.000	235.00	
40.01	0.000	240.00	1876.48	750.59	21.19	-0.03958	-0.00013	0.003	257.19	40.00	0.000	240.00	
