Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
35.00	0.700	0.00	1358.85	543.54	19.77	-0.05597	0.00053	0.743	-0.09	35.00	0.700	0.00	
35.00	0.700	5.00	1345.12	538.05	18.57	-0.01625	-0.00007	0.745	4.96	35.00	0.700	5.00	
35.00	0.700	10.00	1345.52	538.21	18.62	-0.04198	0.00018	0.745	9.94	35.00	0.700	10.00	
34.99	0.699	15.00	1347.04	538.82	18.63	-0.03037	0.00030	0.745	14.92	35.00	0.700	15.00	
35.01	0.700	20.00	1351.80	540.72	18.46	-0.03361	0.00036	0.744	19.79	35.00	0.700	20.00	
35.02	0.700	25.00	1358.55	543.42	18.70	-0.08777	0.00055	0.742	24.64	35.00	0.700	25.00	
35.01	0.701	30.00	1362.11	544.84	18.49	-0.10265	0.00065	0.739	29.41	35.00	0.700	30.00	
35.00	0.700	35.00	1371.56	548.63	18.74	-0.07883	0.00071	0.733	34.15	35.00	0.700	35.00	
35.00	0.700	40.00	1378.65	551.46	18.15	-0.12176	0.00068	0.727	38.87	35.00	0.700	40.00	
35.00	0.700	45.00	1394.85	557.94	17.99	-0.11891	0.00068	0.721	43.62	35.00	0.700	45.00	
34.99	0.700	50.00	1408.01	563.20	17.34	-0.08866	0.00061	0.715	48.42	35.00	0.700	50.00	
34.99	0.700	55.00	1428.32	571.33	17.08	-0.06908	0.00056	0.708	53.30	35.00	0.700	55.00	
34.99	0.700	60.00	1453.36	581.34	16.66	-0.06621	0.00053	0.702	58.26	35.00	0.700	60.00	
35.01	0.700	65.00	1489.89	595.96	15.87	-0.14247	0.00040	0.695	63.31	35.00	0.700	65.00	
35.00	0.700	70.00	1537.21	614.88	15.84	-0.13340	0.00044	0.690	68.46	35.00	0.700	70.00	
35.00	0.700	75.00	1594.98	637.99	15.47	-0.13534	0.00040	0.686	73.70	35.00	0.700	75.00	
35.01	0.700	78.00	1634.33	653.73	15.08	-0.12242	0.00028	0.684	76.96	35.00	0.700	78.00	
35.01	0.700	81.00	1685.14	674.06	15.21	-0.13381	0.00024	0.684	80.10	35.00	0.700	81.00	
35.00	0.700	84.00	1740.05	696.02	15.77	-0.13493	0.00024	0.684	83.26	35.00	0.700	84.00	
35.00	0.700	86.00	1759.48	703.79	15.65	-0.11895	0.00009	0.684	85.42	35.00	0.700	86.00	
35.00	0.700	88.00	1775.91	710.36	15.63	-0.14067	0.00003	0.685	87.51	35.00	0.700	88.00	
34.99	0.700	90.00	1782.44	712.97	15.85	-0.16142	-0.00003	0.685	89.58	35.00	0.700	90.00	
35.00	0.700	92.00	1775.02	710.01	15.80	-0.14721	-0.00007	0.686	91.65	35.00	0.700	92.00	
35.00	0.700	94.00	1755.02	702.01	15.57	-0.07462	-0.00005	0.687	93.70	35.00	0.700	94.00	
35.00	0.700	96.00	1734.41	693.77	15.26	-0.07890	-0.00008	0.688	95.74	35.00	0.700	96.00	
