Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
60.01	0.020	0.00	925.73	370.29	24.91	-0.09508	0.00103	0.019	1.47	60.00	0.020	0.00	
60.01	0.020	5.00	922.00	368.80	24.40	0.08113	0.00015	0.020	4.65	60.00	0.020	5.00	
59.98	0.020	10.00	919.93	367.97	23.62	0.03633	0.00000	0.020	9.97	60.00	0.020	10.00	
59.98	0.020	15.00	922.89	369.16	24.50	0.01622	0.00011	0.020	15.06	60.00	0.020	15.00	
59.98	0.020	20.00	921.16	368.46	23.70	0.01170	0.00003	0.020	20.35	60.00	0.020	20.00	
59.98	0.020	25.00	925.02	370.01	24.19	0.01825	0.00019	0.020	25.24	60.00	0.020	25.00	
59.99	0.020	30.00	925.07	370.03	23.91	0.02105	0.00012	0.020	29.99	60.00	0.020	30.00	
59.99	0.020	35.00	926.89	370.75	24.50	0.04994	0.00012	0.019	34.87	60.00	0.020	35.00	
59.98	0.020	40.00	926.07	370.43	24.12	0.06854	0.00008	0.020	39.75	60.00	0.020	40.00	
60.01	0.020	45.00	927.22	370.89	24.60	0.02740	0.00013	0.020	44.89	60.00	0.020	45.00	
59.99	0.020	50.00	926.65	370.66	24.18	0.02607	0.00003	0.020	49.96	60.00	0.020	50.00	
59.98	0.021	55.00	925.77	370.31	23.66	0.02973	-0.00008	0.020	55.11	60.00	0.020	55.00	
59.98	0.020	60.00	927.06	370.82	23.92	0.00938	-0.00001	0.020	59.77	60.00	0.020	60.00	
60.01	0.020	65.00	927.93	371.17	23.93	0.00263	-0.00001	0.020	64.98	60.00	0.020	65.00	
59.99	0.020	70.00	927.01	370.80	23.63	0.02557	-0.00023	0.019	70.40	60.00	0.020	70.00	
59.99	0.020	75.00	929.19	371.68	23.97	0.07152	-0.00018	0.020	75.56	60.00	0.020	75.00	
59.98	0.020	78.00	928.34	371.34	23.65	-0.00759	-0.00015	0.019	79.41	60.00	0.020	78.00	
59.99	0.020	81.00	928.54	371.42	23.91	0.04079	-0.00023	0.019	82.69	60.00	0.020	81.00	
59.99	0.020	84.00	926.23	370.49	23.26	0.01513	-0.00027	0.019	85.71	60.00	0.020	84.00	
60.01	0.020	86.00	928.64	371.45	23.91	0.07784	-0.00026	0.020	87.40	60.00	0.020	86.00	
59.99	0.020	88.00	928.52	371.41	23.76	0.04448	-0.00027	0.020	89.60	60.00	0.020	88.00	
59.99	0.021	90.00	927.55	371.02	23.59	0.04174	-0.00034	0.020	91.70	60.00	0.020	90.00	
59.99	0.020	92.00	926.97	370.79	23.36	0.03651	-0.00031	0.020	93.59	60.00	0.020	92.00	
