Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
15.00	5.000	0.00	1223.26	489.30	26.72	-0.11303	0.00925	5.114	-0.14	15.00	5.000	0.00
14.99	5.000	5.00	1218.92	487.57	26.02	-0.23418	0.01067	5.114	4.67	15.00	5.000	5.00
15.01	5.000	10.00	1227.06	490.83	27.16	-0.19818	0.01205	5.114	9.53	15.00	5.000	10.00
15.00	5.000	15.00	1227.70	491.08	26.92	-0.34147	0.01338	5.111	14.37	15.00	5.000	15.00
15.01	5.000	20.00	1229.12	491.65	25.22	-0.57411	0.01513	5.107	19.20	15.00	5.000	20.00
15.00	5.000	25.00	1240.68	496.27	24.84	-1.00000	0.01673	5.101	24.05	15.00	5.000	25.00
15.00	5.000	30.00	1236.84	494.73	21.51	-1.00000	0.01674	5.094	28.90	15.00	5.000	30.00
15.00	5.000	35.00	1246.14	498.46	18.27	-1.00000	0.01593	5.085	33.77	15.00	5.000	35.00
15.01	5.000	40.00	1272.87	509.15	17.39	-1.00000	0.01502	5.074	38.64	15.00	5.000	40.00
15.00	5.000	45.00	1326.83	530.73	19.87	-1.00000	0.01377	5.063	43.52	15.00	5.000	45.00
15.00	5.000	50.00	1374.60	549.84	20.14	-1.00000	0.01225	5.050	48.42	15.00	5.000	50.00
15.00	5.000	55.00	1433.50	573.40	19.95	-1.00000	0.01043	5.039	53.30	15.00	5.000	55.00
15.01	5.000	60.00	1509.70	603.88	21.28	-0.81462	0.00839	5.027	58.24	15.00	5.000	60.00
15.00	5.000	65.00	1615.20	646.08	22.20	-0.57660	0.00623	5.016	63.20	15.00	5.000	65.00
15.00	5.000	70.00	1752.99	701.20	23.17	-0.43420	0.00459	5.005	68.17	15.00	5.000	70.00
15.00	5.000	75.00	1945.52	778.21	24.85	-0.32355	0.00308	4.996	73.16	15.00	5.000	75.00
15.00	5.000	78.00	2098.56	839.42	26.36	-0.24650	0.00221	4.991	76.16	15.00	5.000	78.00
15.00	5.000	81.00	2277.65	911.06	24.66	-0.11384	0.00117	4.986	79.17	15.00	5.000	81.00	Current limit exceeded.
15.01	5.000	84.00	--	--	--	--	--	4.982	82.16	15.00	5.000	84.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	15.00	5.000	86.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	5.000	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	5.000	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	5.000	92.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	5.000	94.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	5.000	96.00	Measurement skipped. (Current limit exceeded.)
15.01	5.000	99.00	2486.66	994.66	54.50	1.00000	-0.00411	4.974	97.65	15.00	5.000	99.00	Current limit exceeded.
15.01	5.000	102.00	2227.46	890.98	34.91	0.50978	-0.00368	4.973	100.95	15.00	5.000	102.00
15.01	5.000	105.00	2050.02	820.01	33.01	0.43742	-0.00376	4.971	104.08	15.00	5.000	105.00
15.01	5.000	110.00	1852.60	741.04	32.93	0.28482	-0.00388	4.962	108.91	15.00	5.000	110.00
15.01	5.000	115.00	1708.60	683.44	32.94	0.23799	-0.00393	4.952	113.89	15.00	5.000	115.00
15.01	5.000	120.00	1600.52	640.21	33.85	0.19460	-0.00378	4.941	118.87	15.00	5.000	120.00
15.01	5.000	125.00	1506.03	602.41	32.39	0.12141	-0.00319	4.928	123.86	15.00	5.000	125.00
15.01	5.000	130.00	1424.03	569.61	28.76	0.02310	-0.00196	4.916	128.87	15.00	5.000	130.00
15.01	5.000	135.00	1375.55	550.22	28.88	-0.25199	0.00008	4.903	133.93	15.00	5.000	135.00
15.01	5.000	140.00	1330.87	532.35	27.75	-0.48355	0.00211	4.891	138.99	15.00	5.000	140.00
15.01	5.000	145.00	1310.98	524.39	30.24	-0.67262	0.00441	4.880	144.08	15.00	5.000	145.00
15.01	5.000	150.00	1286.18	514.47	29.92	-0.66485	0.00614	4.870	149.15	15.00	5.000	150.00
15.01	5.000	155.00	1267.20	506.88	29.77	-0.72062	0.00770	4.862	154.21	15.00	5.000	155.00
15.01	5.000	160.00	1240.60	496.24	26.62	-0.40827	0.00656	4.859	159.98	15.00	5.000	160.00
15.01	5.000	165.00	1227.00	490.80	26.40	-0.10868	0.00695	4.853	165.03	15.00	5.000	165.00
15.01	5.000	170.00	1220.88	488.35	25.81	0.07988	0.00795	4.846	170.09	15.00	5.000	170.00
15.00	5.000	175.00	1220.05	488.02	26.36	0.23073	0.00894	4.840	175.20	15.00	5.000	175.00
15.00	5.000	180.00	1222.80	489.12	26.60	0.21190	0.01008	4.835	180.42	15.00	5.000	180.00
15.00	5.000	185.00	1229.10	491.64	27.26	0.23629	0.01128	4.834	185.62	15.00	5.000	185.00
15.01	5.000	190.00	1233.41	493.36	26.80	0.24338	0.01238	4.836	190.78	15.00	5.000	190.00
15.01	5.000	195.00	1240.16	496.06	26.49	-0.00877	0.01379	4.841	195.91	15.00	5.000	195.00
15.00	5.000	200.00	1260.32	504.13	27.93	-0.47393	0.01554	4.848	201.02	15.00	5.000	200.00
15.01	5.000	205.00	1273.93	509.57	27.43	-0.65201	0.01645	4.856	206.14	15.00	5.000	205.00
15.01	5.000	210.00	1305.58	522.23	29.48	-1.00000	0.01749	4.867	211.23	15.00	5.000	210.00
15.01	5.000	215.00	1318.54	527.42	26.77	-1.00000	0.01642	4.880	216.32	15.00	5.000	215.00
15.01	5.000	220.00	1337.89	535.16	23.81	-1.00000	0.01511	4.894	221.39	15.00	5.000	220.00
15.01	5.000	225.00	1374.23	549.69	23.06	-1.00000	0.01620	4.909	226.42	15.00	5.000	225.00
15.01	5.000	230.00	1406.15	562.46	22.02	-0.74457	0.01488	4.922	230.07	15.00	5.000	230.00
15.01	5.000	235.00	1504.35	601.74	26.41	-0.63036	0.01324	4.935	234.92	15.00	5.000	235.00
15.01	5.000	240.00	1588.66	635.46	26.45	-0.65106	0.01170	4.949	239.76	15.00	5.000	240.00
