Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
35.00	7.000	0.00	437.79	175.12	18.48	-0.05609	0.01907	7.121	-0.09	35.00	7.000	0.00
34.99	7.000	5.00	429.47	171.79	15.74	-0.22051	0.02138	7.121	4.76	35.00	7.000	5.00
34.98	7.000	10.00	435.07	174.03	17.56	-0.38251	0.02618	7.121	9.66	35.00	7.000	10.00
34.99	7.000	15.00	440.56	176.22	20.24	-0.54069	0.03089	7.118	14.55	35.00	7.000	15.00
35.00	7.000	20.00	439.27	175.71	18.84	-0.57358	0.03342	7.112	19.46	35.00	7.000	20.00
35.00	7.000	25.00	441.61	176.64	19.08	-0.68460	0.03574	7.105	24.35	35.00	7.000	25.00
34.99	7.000	30.00	451.13	180.45	25.72	-1.00000	0.04042	7.097	29.24	35.00	7.000	30.00
35.00	7.000	35.00	454.55	181.82	28.36	-1.00000	0.03913	7.088	34.17	35.00	7.000	35.00
35.00	7.000	40.00	458.11	183.25	26.22	-1.00000	0.03729	7.077	39.04	35.00	7.000	40.00
35.00	7.000	45.00	459.93	183.97	21.23	-1.00000	0.03427	7.065	43.93	35.00	7.000	45.00
35.00	7.000	50.00	466.20	186.48	22.16	-1.00000	0.03056	7.051	48.82	35.00	7.000	50.00
35.00	7.000	55.00	465.47	186.19	18.51	1.00000	0.01457	7.037	53.74	35.00	7.000	55.00
35.00	7.000	60.00	468.33	187.33	15.99	-1.00000	0.02066	7.026	58.67	35.00	7.000	60.00
35.01	7.000	65.00	472.97	189.19	15.39	-1.00000	0.01620	7.015	63.62	35.00	7.000	65.00
35.00	7.000	70.00	468.91	187.57	12.98	0.17106	0.00523	7.005	68.57	35.00	7.000	70.00
35.00	7.000	75.00	477.37	190.95	12.09	0.29262	0.00275	6.995	73.54	35.00	7.000	75.00
34.99	6.999	78.00	483.27	193.31	11.12	0.31076	0.00144	6.990	76.54	35.00	7.000	78.00
35.00	7.000	81.00	498.33	199.33	10.05	0.04327	0.00058	6.984	79.75	35.00	7.000	81.00
35.00	6.999	84.00	540.35	216.14	8.84	0.37047	-0.00057	6.979	82.55	35.00	7.000	84.00
35.00	7.000	86.00	620.02	248.01	8.27	0.13056	-0.00101	6.975	84.82	35.00	7.000	86.00
35.00	7.000	88.00	817.80	327.12	8.78	0.18394	-0.00153	6.973	86.84	35.00	7.000	88.00
35.00	7.000	90.00	1184.27	473.71	12.05	0.33965	-0.00260	6.969	88.85	35.00	7.000	90.00
35.00	7.000	92.00	1103.17	441.27	12.94	0.32922	-0.00336	6.962	90.88	35.00	7.000	92.00
35.00	7.000	94.00	777.12	310.85	9.79	0.25219	-0.00372	6.960	93.10	35.00	7.000	94.00
35.00	7.000	96.00	612.51	245.00	9.23	0.24734	-0.00435	6.963	95.19	35.00	7.000	96.00
35.00	7.000	99.00	525.41	210.17	10.06	0.25643	-0.00540	6.964	98.22	35.00	7.000	99.00
34.99	7.000	102.00	502.41	200.96	11.61	0.31880	-0.00561	6.962	101.04	35.00	7.000	102.00
35.01	7.000	105.00	495.04	198.01	13.17	0.17655	-0.00595	6.957	104.20	35.00	7.000	105.00
34.99	7.000	110.00	488.42	195.37	14.76	0.29181	-0.00638	6.944	108.95	35.00	7.000	110.00
35.00	7.000	115.00	484.15	193.66	16.02	0.07349	-0.00659	6.926	114.09	35.00	7.000	115.00
34.99	7.000	120.00	481.95	192.78	17.43	0.11918	-0.00607	6.906	118.97	35.00	7.000	120.00
35.00	7.000	125.00	476.99	190.79	18.27	0.02345	-0.00485	6.886	123.98	35.00	7.000	125.00
35.01	7.000	130.00	471.59	188.64	19.04	-0.01086	-0.00333	6.868	128.99	35.00	7.000	130.00
34.99	7.000	135.00	466.94	186.78	19.89	-0.09627	-0.00092	6.850	133.96	35.00	7.000	135.00
34.99	7.000	140.00	460.42	184.17	19.87	-0.15607	0.00168	6.833	139.01	35.00	7.000	140.00
35.00	7.000	145.00	455.68	182.27	20.28	-0.17173	0.00476	6.817	144.09	35.00	7.000	145.00
35.00	7.000	150.00	448.30	179.32	19.11	-0.20318	0.00745	6.804	149.15	35.00	7.000	150.00
34.99	7.000	155.00	442.77	177.11	18.69	-0.24311	0.00996	6.792	154.14	35.00	7.000	155.00
34.99	7.000	160.00	439.34	175.74	18.68	-0.12978	0.01259	6.783	159.12	35.00	7.000	160.00
35.00	7.000	165.00	434.57	173.83	17.80	-0.16625	0.01505	6.775	164.12	35.00	7.000	165.00
35.00	7.000	170.00	430.98	172.39	17.74	-0.14581	0.01700	6.767	169.16	35.00	7.000	170.00
34.99	7.000	175.00	421.56	168.63	15.46	-0.07302	0.01866	6.759	174.30	35.00	7.000	175.00
34.98	7.000	180.00	421.45	168.58	16.68	-0.08393	0.02074	6.753	179.59	35.00	7.000	180.00
35.00	7.000	185.00	427.35	170.94	18.77	-0.09626	0.02461	6.753	184.76	35.00	7.000	185.00
35.01	7.000	190.00	429.95	171.98	20.88	-0.14709	0.02809	6.755	189.89	35.00	7.000	190.00
34.99	7.000	195.00	437.06	174.82	24.13	-0.16618	0.03137	6.760	195.03	35.00	7.000	195.00
35.00	7.000	200.00	442.06	176.82	23.65	-0.25717	0.03342	6.767	200.17	35.00	7.000	200.00
35.00	7.000	205.00	442.20	176.88	21.88	-0.29622	0.03501	6.777	205.22	35.00	7.000	205.00
34.99	7.000	210.00	445.53	178.21	21.42	-0.38898	0.03563	6.789	210.29	35.00	7.000	210.00
35.00	7.000	215.00	451.58	180.63	18.97	-0.40888	0.03451	6.804	215.34	35.00	7.000	215.00
34.99	7.000	220.00	457.19	182.88	18.99	-0.47984	0.03317	6.820	220.29	35.00	7.000	220.00
35.00	7.000	225.00	463.50	185.40	19.92	-0.60632	0.03167	6.838	225.22	35.00	7.000	225.00
35.00	7.000	230.00	468.74	187.50	23.80	-0.59362	0.02972	6.856	230.24	35.00	7.000	230.00
35.00	7.000	235.00	473.65	189.46	19.34	-0.58671	0.02558	6.875	235.04	35.00	7.000	235.00
35.00	7.000	240.00	478.00	191.20	19.07	-0.38928	0.02215	6.894	240.06	35.00	7.000	240.00
