Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
70.01	0.030	0.00	570.62	228.25	26.57	0.07762	0.00055	0.031	1.63	70.00	0.030	0.00	
70.00	0.031	5.00	569.17	227.67	25.58	0.00715	0.00008	0.031	5.68	70.00	0.030	5.00	
70.01	0.030	10.00	570.04	228.02	25.76	0.06481	-0.00004	0.031	10.65	70.00	0.030	10.00	
69.99	0.030	15.00	571.29	228.52	25.97	0.00533	0.00029	0.031	15.60	70.00	0.030	15.00	
70.00	0.030	20.00	574.00	229.60	26.31	0.04097	0.00007	0.031	20.46	70.00	0.030	20.00	
70.01	0.030	25.00	576.24	230.49	26.75	0.02904	0.00024	0.031	25.55	70.00	0.030	25.00	
69.99	0.030	30.00	578.84	231.54	26.90	0.02997	0.00028	0.031	30.33	70.00	0.030	30.00	
69.99	0.030	35.00	578.94	231.58	25.77	-0.00159	0.00008	0.031	35.02	70.00	0.030	35.00	
70.00	0.030	40.00	582.25	232.90	26.50	0.07333	0.00006	0.031	39.88	70.00	0.030	40.00	
70.00	0.031	45.00	583.82	233.53	26.58	0.04377	0.00014	0.032	44.67	70.00	0.030	45.00	
70.00	0.029	50.00	587.37	234.95	27.34	0.04643	0.00018	0.031	49.28	70.00	0.030	50.00	
70.00	0.030	55.00	590.28	236.11	27.75	0.03277	0.00006	0.031	54.36	70.00	0.030	55.00	
70.00	0.030	60.00	592.69	237.08	27.80	0.04162	0.00021	0.031	59.11	70.00	0.030	60.00	
70.00	0.030	65.00	594.05	237.62	27.24	0.03347	0.00004	0.031	64.17	70.00	0.030	65.00	
70.00	0.030	70.00	596.28	238.51	28.13	-0.00344	0.00006	0.031	69.20	70.00	0.030	70.00	
70.00	0.030	75.00	597.22	238.89	27.59	0.03164	-0.00008	0.030	74.53	70.00	0.030	75.00	
70.00	0.030	78.00	598.05	239.22	27.91	0.07048	-0.00007	0.030	78.01	70.00	0.030	78.00	
70.01	0.030	81.00	599.37	239.75	28.59	0.03725	-0.00001	0.030	80.97	70.00	0.030	81.00	
69.99	0.030	84.00	599.14	239.66	28.41	-0.01458	0.00010	0.030	83.87	70.00	0.030	84.00	
70.01	0.030	86.00	598.91	239.57	28.04	0.04207	-0.00023	0.030	86.09	70.00	0.030	86.00	
70.00	0.030	88.00	600.02	240.01	28.77	0.04131	-0.00010	0.030	88.30	70.00	0.030	88.00	
70.00	0.030	90.00	599.73	239.89	28.29	-0.02318	-0.00008	0.031	90.26	70.00	0.030	90.00	
70.01	0.030	92.00	600.07	240.03	28.86	0.03601	-0.00005	0.030	92.52	70.00	0.030	92.00	
69.99	0.030	94.00	600.63	240.25	29.03	0.06012	0.00003	0.031	94.36	70.00	0.030	94.00	
70.01	0.030	96.00	598.82	239.53	28.04	0.04578	-0.00004	0.030	96.63	70.00	0.030	96.00	
70.00	0.030	99.00	597.59	239.04	27.54	0.06214	-0.00033	0.031	98.98	70.00	0.030	99.00	
70.00	0.030	102.00	597.90	239.16	28.22	0.08277	-0.00018	0.031	102.20	70.00	0.030	102.00	
70.01	0.030	105.00	597.06	238.83	27.86	0.08562	-0.00020	0.031	105.43	70.00	0.030	105.00	
70.00	0.030	110.00	594.52	237.81	27.33	0.05512	-0.00048	0.031	110.37	70.00	0.030	110.00	
70.00	0.030	115.00	593.30	237.32	26.98	-0.02435	0.00001	0.031	115.03	70.00	0.030	115.00	
70.00	0.029	120.00	592.58	237.03	28.15	0.05200	-0.00030	0.031	119.80	70.00	0.030	120.00	
70.00	0.030	125.00	590.25	236.10	27.36	0.08158	-0.00021	0.031	124.88	70.00	0.030	125.00	
70.00	0.029	130.00	586.52	234.61	26.37	0.10847	-0.00011	0.030	130.02	70.00	0.030	130.00	
70.00	0.030	135.00	585.03	234.01	26.30	0.00149	0.00009	0.031	134.52	70.00	0.030	135.00	
70.00	0.030	140.00	582.78	233.11	26.49	0.14112	-0.00054	0.031	139.71	70.00	0.030	140.00	
69.99	0.030	145.00	580.01	232.00	25.60	0.05607	-0.00015	0.031	144.77	70.00	0.030	145.00	
70.00	0.030	150.00	580.95	232.38	27.50	-0.05991	0.00035	0.031	149.58	70.00	0.030	150.00	
70.00	0.030	155.00	578.97	231.59	26.86	0.06424	0.00026	0.031	154.24	70.00	0.030	155.00	
70.00	0.030	160.00	575.51	230.20	26.21	-0.03742	0.00019	0.031	159.35	70.00	0.030	160.00	
69.99	0.030	165.00	574.22	229.69	26.10	0.02132	0.00004	0.031	163.77	70.00	0.030	165.00	
70.00	0.030	170.00	572.62	229.05	25.98	0.02342	-0.00017	0.031	169.04	70.00	0.030	170.00	
70.00	0.030	175.00	571.57	228.63	25.99	-0.02289	0.00012	0.031	173.87	70.00	0.030	175.00	
70.00	0.030	180.00	570.88	228.35	25.67	0.02531	0.00018	0.031	178.70	70.00	0.030	180.00	
70.00	0.030	185.00	569.66	227.87	25.50	0.05658	-0.00003	0.031	183.56	70.00	0.030	185.00	
70.00	0.030	190.00	569.48	227.79	25.59	0.00334	-0.00006	0.031	188.42	70.00	0.030	190.00	
70.00	0.031	195.00	568.47	227.39	25.52	0.06121	0.00003	0.031	193.42	70.00	0.030	195.00	
69.99	0.030	200.00	569.44	227.78	25.16	0.04917	0.00003	0.031	198.50	70.00	0.030	200.00	
70.00	0.030	205.00	569.09	227.64	25.13	0.02110	0.00019	0.031	203.43	70.00	0.030	205.00	
70.00	0.030	210.00	569.28	227.71	25.34	0.05773	0.00005	0.031	208.39	70.00	0.030	210.00	
69.99	0.030	215.00	571.19	228.48	25.45	0.00923	0.00008	0.031	213.36	70.00	0.030	215.00	
70.00	0.030	220.00	572.27	228.91	25.94	0.02958	0.00006	0.031	218.15	70.00	0.030	220.00	
70.00	0.030	225.00	573.93	229.57	26.15	0.02820	0.00021	0.031	223.04	70.00	0.030	225.00	
69.99	0.030	230.00	575.15	230.06	26.35	0.04034	0.00013	0.031	227.87	70.00	0.030	230.00	
70.00	0.030	235.00	576.64	230.66	26.55	0.00515	0.00009	0.031	233.03	70.00	0.030	235.00	
70.00	0.030	240.00	578.76	231.51	26.54	0.01280	0.00021	0.031	237.57	70.00	0.030	240.00	
