Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
64.99	0.100	0.00	648.52	259.41	22.66	0.03109	0.00057	0.104	-0.05	65.00	0.100	0.00	
65.00	0.100	5.00	648.78	259.51	22.43	-0.02591	0.00011	0.104	4.61	65.00	0.100	5.00	
64.99	0.100	10.00	643.19	257.28	22.09	0.01032	-0.00019	0.105	9.64	65.00	0.100	10.00	
65.00	0.100	15.00	649.88	259.95	23.12	-0.00011	0.00064	0.105	14.68	65.00	0.100	15.00	
65.01	0.100	20.00	656.89	262.76	23.09	-0.00204	0.00024	0.105	19.61	65.00	0.100	20.00	
64.99	0.100	25.00	663.03	265.21	25.19	0.02167	0.00051	0.105	24.44	65.00	0.100	25.00	
65.00	0.100	30.00	656.91	262.76	23.02	-0.00728	0.00066	0.104	29.35	65.00	0.100	30.00	
64.99	0.100	35.00	659.70	263.88	23.16	-0.02449	0.00045	0.104	34.15	65.00	0.100	35.00	
65.00	0.100	40.00	669.30	267.72	23.94	-0.00355	0.00068	0.103	38.90	65.00	0.100	40.00	
64.99	0.100	45.00	669.68	267.87	22.65	0.01571	0.00019	0.103	43.71	65.00	0.100	45.00	
65.00	0.100	50.00	675.47	270.19	22.67	0.04145	0.00026	0.102	48.51	65.00	0.100	50.00	
65.00	0.100	55.00	680.32	272.13	23.20	-0.03539	0.00046	0.101	53.42	65.00	0.100	55.00	
65.00	0.100	60.00	684.17	273.67	23.39	-0.01304	0.00033	0.100	58.27	65.00	0.100	60.00	
65.00	0.100	65.00	685.61	274.25	22.71	-0.00144	0.00026	0.100	63.33	65.00	0.100	65.00	
65.00	0.100	70.00	688.74	275.50	22.85	-0.00452	0.00022	0.099	68.56	65.00	0.100	70.00	
64.99	0.100	75.00	690.70	276.28	22.84	-0.02371	0.00056	0.099	73.64	65.00	0.100	75.00	
64.99	0.100	78.00	692.25	276.90	23.12	0.02685	0.00008	0.098	76.95	65.00	0.100	78.00	
65.00	0.100	81.00	691.84	276.73	22.74	-0.06502	0.00003	0.099	80.02	65.00	0.100	81.00	
65.00	0.100	84.00	691.43	276.57	22.71	0.01567	-0.00005	0.099	83.19	65.00	0.100	84.00	
65.00	0.101	86.00	692.87	277.15	23.06	0.02314	-0.00017	0.099	85.36	65.00	0.100	86.00	
65.00	0.100	88.00	687.37	274.95	22.46	0.04094	-0.00027	0.100	87.34	65.00	0.100	88.00	
65.01	0.100	90.00	687.31	274.92	22.44	0.01493	-0.00035	0.099	89.45	65.00	0.100	90.00	
65.00	0.100	92.00	692.88	277.15	22.90	0.01114	-0.00017	0.099	91.55	65.00	0.100	92.00	
65.00	0.100	94.00	694.08	277.63	23.15	-0.03993	0.00007	0.100	93.64	65.00	0.100	94.00	
65.00	0.100	96.00	692.28	276.91	22.90	0.03306	-0.00004	0.100	95.63	65.00	0.100	96.00	
65.00	0.100	99.00	693.73	277.49	23.20	-0.01533	0.00026	0.100	98.62	65.00	0.100	99.00	
64.99	0.100	102.00	691.53	276.61	22.93	0.02279	-0.00010	0.101	101.56	65.00	0.100	102.00	
65.00	0.100	105.00	691.87	276.75	23.17	-0.02073	0.00018	0.101	104.56	65.00	0.100	105.00	
65.00	0.100	110.00	688.82	275.53	22.63	-0.03035	0.00019	0.101	109.33	65.00	0.100	110.00	
65.00	0.100	115.00	685.80	274.32	22.38	-0.03162	-0.00006	0.102	114.35	65.00	0.100	115.00	
65.01	0.100	120.00	684.03	273.61	22.57	0.00978	0.00017	0.102	119.30	65.00	0.100	120.00	
64.99	0.100	125.00	681.32	272.53	22.39	-0.07087	0.00008	0.102	124.33	65.00	0.100	125.00	
64.99	0.100	130.00	682.07	272.83	23.19	-0.04822	0.00023	0.101	129.34	65.00	0.100	130.00	
65.00	0.100	135.00	677.02	270.81	22.44	0.05921	-0.00006	0.101	134.39	65.00	0.100	135.00	
65.00	0.100	140.00	663.96	265.59	22.78	-0.01076	0.00023	0.101	139.51	65.00	0.100	140.00	
65.00	0.100	145.00	670.47	268.19	22.66	-0.04711	0.00038	0.101	144.57	65.00	0.100	145.00	
64.99	0.100	150.00	669.05	267.62	23.07	0.02173	0.00020	0.101	149.63	65.00	0.100	150.00	
65.02	0.100	155.00	667.11	266.84	23.49	-0.02814	0.00054	0.101	154.72	65.00	0.100	155.00	
65.00	0.100	160.00	660.85	264.34	22.54	0.02952	-0.00002	0.101	159.72	65.00	0.100	160.00	
65.00	0.100	165.00	656.42	262.57	22.71	0.03132	0.00015	0.101	164.79	65.00	0.100	165.00	
65.00	0.100	170.00	655.11	262.04	22.74	0.01121	0.00009	0.101	169.84	65.00	0.100	170.00	
65.02	0.100	175.00	652.59	261.04	22.78	-0.02400	0.00002	0.102	174.91	65.00	0.100	175.00	
65.00	0.100	180.00	647.62	259.05	21.71	0.04416	0.00014	0.102	180.02	65.00	0.100	180.00	
64.98	0.100	185.00	645.24	258.09	21.77	-0.00695	-0.00002	0.102	185.02	65.00	0.100	185.00	
65.00	0.100	190.00	644.41	257.76	21.71	-0.01574	0.00003	0.102	190.09	65.00	0.100	190.00	
65.01	0.100	195.00	642.83	257.13	21.53	0.07047	-0.00011	0.102	195.24	65.00	0.100	195.00	
64.98	0.100	200.00	642.41	256.96	21.60	0.04098	0.00020	0.102	200.27	65.00	0.100	200.00	
65.01	0.100	205.00	643.40	257.36	21.80	-0.02544	0.00015	0.102	205.29	65.00	0.100	205.00	
64.99	0.100	210.00	645.62	258.25	22.01	-0.01603	0.00052	0.102	210.29	65.00	0.100	210.00	
65.00	0.100	215.00	642.02	256.81	21.06	0.01126	0.00033	0.103	215.20	65.00	0.100	215.00	
64.99	0.100	220.00	647.06	258.82	21.50	0.00340	0.00023	0.103	220.05	65.00	0.100	220.00	
64.99	0.100	225.00	651.39	260.56	22.13	-0.02699	0.00034	0.103	224.85	65.00	0.100	225.00	
65.02	0.100	230.00	654.49	261.80	21.72	-0.01718	0.00049	0.103	229.74	65.00	0.100	230.00	
64.98	0.100	235.00	661.52	264.61	21.79	0.01406	0.00035	0.103	234.54	65.00	0.100	235.00	
65.01	0.100	240.00	666.85	266.74	21.52	0.00328	0.00030	0.103	239.53	65.00	0.100	240.00	
