Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	0.030	0.00	325.14	130.05	24.06	0.01873	0.00107	0.030	0.82	77.50	0.030	0.00	
77.51	0.030	5.00	326.15	130.46	23.67	0.02473	0.00010	0.031	5.21	77.50	0.030	5.00	
77.50	0.030	10.00	327.86	131.15	24.44	0.04109	0.00021	0.031	10.55	77.50	0.030	10.00	
77.50	0.030	15.00	328.57	131.43	23.93	0.02258	-0.00009	0.031	15.58	77.50	0.030	15.00	
77.50	0.030	20.00	330.75	132.30	24.05	0.02838	0.00012	0.030	20.40	77.50	0.030	20.00	
77.50	0.030	25.00	333.35	133.34	24.31	0.01802	0.00023	0.031	25.59	77.50	0.030	25.00	
77.51	0.030	30.00	336.81	134.72	24.86	0.05467	0.00018	0.031	30.36	77.50	0.030	30.00	
77.50	0.030	35.00	339.27	135.71	24.96	0.05070	0.00001	0.030	35.21	77.50	0.030	35.00	
77.50	0.030	40.00	342.26	136.90	25.70	0.01150	0.00053	0.031	40.15	77.50	0.030	40.00	
77.50	0.029	45.00	343.99	137.60	24.71	0.02895	0.00017	0.030	44.93	77.50	0.030	45.00	
77.50	0.030	50.00	347.96	139.18	25.83	0.01793	0.00024	0.031	49.63	77.50	0.030	50.00	
77.51	0.030	55.00	351.62	140.65	26.38	0.00481	0.00032	0.030	54.56	77.50	0.030	55.00	
77.50	0.030	60.00	354.88	141.95	26.09	0.01836	0.00018	0.030	59.48	77.50	0.030	60.00	
77.49	0.030	65.00	359.14	143.66	27.57	0.01652	0.00034	0.030	64.48	77.50	0.030	65.00	
77.50	0.030	70.00	361.61	144.64	26.81	0.01567	0.00017	0.030	69.73	77.50	0.030	70.00	
77.50	0.030	75.00	364.25	145.70	27.40	0.02170	0.00014	0.030	74.81	77.50	0.030	75.00	
77.50	0.030	78.00	365.54	146.22	28.04	0.05696	-0.00009	0.030	78.11	77.50	0.030	78.00	
77.51	0.030	81.00	366.28	146.51	27.85	0.00793	-0.00008	0.030	81.07	77.50	0.030	81.00	
77.50	0.030	84.00	366.71	146.68	28.06	0.00944	-0.00013	0.030	84.09	77.50	0.030	84.00	
77.51	0.030	86.00	367.43	146.97	28.22	0.03421	0.00002	0.030	86.22	77.50	0.030	86.00	
77.50	0.031	88.00	367.78	147.11	28.76	0.00317	0.00042	0.031	88.34	77.50	0.030	88.00	
77.51	0.030	90.00	368.13	147.25	28.66	0.00683	0.00017	0.030	90.43	77.50	0.030	90.00	
77.50	0.030	92.00	367.44	146.98	28.35	0.04812	-0.00012	0.030	92.65	77.50	0.030	92.00	
77.51	0.030	94.00	367.86	147.14	28.79	-0.05530	0.00071	0.030	94.57	77.50	0.030	94.00	
77.50	0.030	96.00	367.12	146.85	28.45	0.01153	0.00011	0.030	96.47	77.50	0.030	96.00	
77.51	0.030	99.00	365.67	146.27	27.67	0.00364	-0.00028	0.031	99.41	77.50	0.030	99.00	
77.50	0.030	102.00	364.63	145.85	27.59	0.05868	-0.00001	0.031	102.39	77.50	0.030	102.00	
77.51	0.030	105.00	362.33	144.93	26.36	0.02932	-0.00038	0.031	105.06	77.50	0.030	105.00	
77.50	0.030	110.00	360.97	144.39	26.87	-0.01071	0.00005	0.031	109.81	77.50	0.030	110.00	
77.50	0.030	115.00	359.29	143.71	27.79	-0.03857	0.00027	0.031	114.72	77.50	0.030	115.00	
77.50	0.030	120.00	356.00	142.40	26.76	0.02481	0.00034	0.031	119.37	77.50	0.030	120.00	
77.50	0.030	125.00	352.63	141.05	26.16	0.00112	0.00009	0.032	123.90	77.50	0.030	125.00	
77.50	0.030	130.00	349.71	139.89	26.07	-0.01726	0.00026	0.031	129.22	77.50	0.030	130.00	
77.50	0.030	135.00	346.26	138.50	25.63	0.01528	-0.00028	0.031	134.32	77.50	0.030	135.00	
77.50	0.030	140.00	343.17	137.27	25.58	0.03337	0.00006	0.031	139.35	77.50	0.030	140.00	
77.50	0.030	145.00	341.20	136.48	25.51	0.02886	0.00026	0.031	144.11	77.50	0.030	145.00	
77.50	0.030	150.00	337.39	134.95	24.56	0.08760	-0.00019	0.031	148.74	77.50	0.030	150.00	
77.50	0.030	155.00	336.57	134.63	25.30	0.09048	0.00016	0.031	154.10	77.50	0.030	155.00	
77.50	0.030	160.00	333.61	133.44	25.03	0.00844	-0.00011	0.031	158.59	77.50	0.030	160.00	
77.50	0.030	165.00	330.85	132.34	23.76	-0.03361	0.00020	0.031	163.50	77.50	0.030	165.00	
77.50	0.030	170.00	328.94	131.58	23.25	0.00874	-0.00001	0.031	168.39	77.50	0.030	170.00	
77.50	0.030	175.00	328.66	131.46	24.13	-0.04509	0.00018	0.031	173.47	77.50	0.030	175.00	
77.49	0.030	180.00	327.71	131.08	24.29	-0.04950	0.00009	0.031	178.45	77.50	0.030	180.00	
77.50	0.030	185.00	327.45	130.98	24.13	0.03002	-0.00002	0.031	183.35	77.50	0.030	185.00	
77.50	0.030	190.00	326.84	130.74	24.10	-0.04089	0.00076	0.031	188.37	77.50	0.030	190.00	
77.50	0.030	195.00	325.41	130.16	23.61	0.02959	-0.00006	0.031	193.43	77.50	0.030	195.00	
77.49	0.030	200.00	325.47	130.19	23.27	-0.04314	0.00014	0.031	198.33	77.50	0.030	200.00	
77.50	0.030	205.00	326.66	130.66	23.54	0.00965	-0.00004	0.031	203.47	77.50	0.030	205.00	
77.50	0.030	210.00	327.62	131.05	23.60	0.03062	-0.00010	0.031	208.36	77.50	0.030	210.00	
77.50	0.030	215.00	329.46	131.78	24.13	-0.00387	0.00035	0.031	213.37	77.50	0.030	215.00	
77.50	0.030	220.00	328.69	131.48	23.07	0.06482	-0.00025	0.031	218.21	77.50	0.030	220.00	
77.50	0.031	225.00	331.87	132.75	23.66	-0.00342	0.00023	0.031	223.15	77.50	0.030	225.00	
77.50	0.030	230.00	334.67	133.87	24.51	0.02064	0.00039	0.031	227.81	77.50	0.030	230.00	
