Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
64.99	1.500	0.00	259.46	103.78	15.70	-0.00700	0.00027	1.573	-0.09	65.00	1.500	0.00	
64.99	1.500	5.00	259.75	103.90	17.25	0.00739	0.00062	1.573	4.92	65.00	1.500	5.00	
65.00	1.500	10.00	256.47	102.59	15.78	-0.02984	0.00069	1.572	9.89	65.00	1.500	10.00	
64.99	1.500	15.00	253.39	101.36	15.36	0.07176	0.00017	1.571	14.85	65.00	1.500	15.00	
65.00	1.500	20.00	250.50	100.20	15.19	0.02963	-0.00001	1.569	19.78	65.00	1.500	20.00	
65.00	1.500	25.00	247.98	99.19	15.25	0.05751	0.00044	1.565	24.67	65.00	1.500	25.00	
64.99	1.500	30.00	244.20	97.68	15.20	0.04828	0.00043	1.561	29.53	65.00	1.500	30.00	
65.00	1.500	35.00	241.05	96.42	15.01	-0.00346	0.00019	1.557	34.35	65.00	1.500	35.00	
65.00	1.500	40.00	238.67	95.47	15.09	0.07725	-0.00007	1.550	39.17	65.00	1.500	40.00	
65.00	1.500	45.00	237.31	94.92	14.95	0.02883	0.00002	1.542	44.02	65.00	1.500	45.00	
65.00	1.500	50.00	235.29	94.12	15.04	-0.02719	0.00012	1.534	48.89	65.00	1.500	50.00	
65.00	1.500	55.00	232.83	93.13	14.87	0.05067	-0.00016	1.526	53.81	65.00	1.500	55.00	
64.99	1.500	60.00	231.53	92.61	15.67	0.01819	0.00017	1.517	58.77	65.00	1.500	60.00	
65.00	1.500	65.00	225.97	90.39	14.92	0.06707	-0.00038	1.508	63.80	65.00	1.500	65.00	
65.01	1.499	70.00	222.30	88.92	14.91	0.03494	-0.00016	1.502	68.91	65.00	1.500	70.00	
65.00	1.500	75.00	216.62	86.65	14.56	0.06400	-0.00041	1.499	74.08	65.00	1.500	75.00	
65.00	1.500	78.00	211.67	84.67	14.59	0.07947	-0.00032	1.499	77.18	65.00	1.500	78.00	
65.00	1.500	81.00	204.70	81.88	14.18	0.01106	-0.00079	1.499	80.29	65.00	1.500	81.00	
64.99	1.500	84.00	197.90	79.16	13.93	0.01428	-0.00061	1.500	83.42	65.00	1.500	84.00	
65.02	1.500	86.00	194.25	77.70	13.24	0.04541	-0.00096	1.500	85.49	65.00	1.500	86.00	
65.00	1.500	88.00	194.58	77.83	12.54	0.06310	-0.00179	1.501	87.55	65.00	1.500	88.00	
65.00	1.500	90.00	198.10	79.24	12.00	0.12376	-0.00178	1.503	89.61	65.00	1.500	90.00	
65.00	1.499	92.00	195.81	78.33	12.28	0.06008	-0.00123	1.505	91.66	65.00	1.500	92.00	
65.00	1.500	94.00	193.70	77.48	12.98	0.08261	-0.00117	1.507	93.71	65.00	1.500	94.00	
65.00	1.500	96.00	196.21	78.48	13.59	0.07654	-0.00149	1.509	95.75	65.00	1.500	96.00	
65.00	1.500	99.00	203.70	81.48	14.09	0.08933	-0.00120	1.512	98.77	65.00	1.500	99.00	
65.00	1.501	102.00	211.59	84.64	14.61	0.09105	-0.00058	1.515	101.76	65.00	1.500	102.00	
65.00	1.500	105.00	217.09	86.84	14.47	0.06222	-0.00110	1.518	104.75	65.00	1.500	105.00	
64.99	1.500	110.00	225.59	90.24	15.00	0.07080	-0.00035	1.519	109.65	65.00	1.500	110.00	
65.00	1.500	115.00	230.70	92.28	15.07	0.02382	-0.00024	1.520	114.52	65.00	1.500	115.00	
65.00	1.500	120.00	233.99	93.60	15.07	0.06003	-0.00045	1.518	119.38	65.00	1.500	120.00	
65.00	1.500	125.00	236.48	94.59	14.89	0.05851	-0.00054	1.515	124.26	65.00	1.500	125.00	
65.00	1.500	130.00	238.88	95.55	15.18	0.07715	-0.00033	1.512	129.15	65.00	1.500	130.00	
65.00	1.500	135.00	240.81	96.32	14.91	0.02507	-0.00030	1.508	134.09	65.00	1.500	135.00	
65.00	1.500	140.00	243.94	97.58	15.33	0.03910	0.00014	1.503	139.06	65.00	1.500	140.00	
65.00	1.500	145.00	247.16	98.86	15.12	0.04700	0.00000	1.499	144.08	65.00	1.500	145.00	
64.99	1.500	150.00	250.73	100.29	15.51	-0.00850	0.00022	1.494	149.10	65.00	1.500	150.00	
65.00	1.500	155.00	253.70	101.48	15.56	0.02438	0.00058	1.489	154.06	65.00	1.500	155.00	
65.00	1.500	160.00	256.34	102.54	15.65	0.06347	0.00033	1.486	159.05	65.00	1.500	160.00	
65.00	1.500	165.00	258.39	103.36	15.43	0.03073	-0.00009	1.483	164.09	65.00	1.500	165.00	
65.00	1.500	170.00	259.57	103.83	15.20	0.05312	-0.00032	1.480	169.18	65.00	1.500	170.00	
65.00	1.500	175.00	262.35	104.94	15.99	0.07934	0.00021	1.479	174.37	65.00	1.500	175.00	
64.99	1.500	180.00	260.85	104.34	15.33	0.11618	-0.00052	1.478	179.58	65.00	1.500	180.00	
65.00	1.500	185.00	261.59	104.63	15.89	-0.01887	0.00081	1.479	184.76	65.00	1.500	185.00	
65.00	1.500	190.00	258.67	103.47	15.43	0.02556	0.00036	1.480	189.97	65.00	1.500	190.00	
65.00	1.500	195.00	256.08	102.43	15.59	0.10084	-0.00004	1.483	195.19	65.00	1.500	195.00	
65.00	1.500	200.00	252.13	100.85	15.34	0.00058	0.00050	1.487	200.35	65.00	1.500	200.00	
65.00	1.500	205.00	248.73	99.49	15.44	0.06447	0.00041	1.492	205.46	65.00	1.500	205.00	
65.00	1.500	210.00	245.61	98.24	15.41	0.07421	0.00043	1.497	210.53	65.00	1.500	210.00	
65.00	1.501	215.00	242.51	97.00	15.18	0.04363	0.00023	1.502	215.53	65.00	1.500	215.00	
65.00	1.500	220.00	240.28	96.11	15.34	0.06612	0.00048	1.507	220.42	65.00	1.500	220.00	
65.00	1.500	225.00	238.00	95.20	15.04	0.06832	0.00087	1.511	225.26	65.00	1.500	225.00	
65.00	1.500	230.00	235.21	94.08	14.65	0.01364	0.00030	1.515	230.11	65.00	1.500	230.00	
65.00	1.500	235.00	234.31	93.72	15.01	0.01973	0.00027	1.517	234.93	65.00	1.500	235.00	
65.00	1.500	240.00	233.06	93.22	15.20	0.04599	0.00105	1.518	239.76	65.00	1.500	240.00	
