Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
64.98	0.030	0.00	751.10	300.44	25.79	-0.04109	0.00096	0.031	-0.01	65.00	0.030	0.00	
65.00	0.030	5.00	740.97	296.39	24.34	0.04405	-0.00005	0.032	3.70	65.00	0.030	5.00	
65.01	0.030	10.00	742.21	296.89	24.71	0.04060	0.00009	0.032	8.76	65.00	0.030	10.00	
64.98	0.030	15.00	748.71	299.48	24.85	0.05362	0.00013	0.032	13.58	65.00	0.030	15.00	
65.01	0.030	20.00	751.08	300.43	25.20	-0.01532	0.00043	0.032	18.56	65.00	0.030	20.00	
64.99	0.030	25.00	752.30	300.92	25.37	0.01779	0.00008	0.032	23.33	65.00	0.030	25.00	
65.00	0.030	30.00	754.54	301.82	25.60	0.01275	0.00025	0.031	28.02	65.00	0.030	30.00	
65.00	0.030	35.00	756.26	302.50	25.79	0.01771	0.00020	0.031	32.81	65.00	0.030	35.00	
65.00	0.030	40.00	759.01	303.60	26.25	0.06611	0.00014	0.031	37.74	65.00	0.030	40.00	
64.99	0.030	45.00	754.95	301.98	24.16	0.04406	0.00002	0.031	42.44	65.00	0.030	45.00	
65.00	0.030	50.00	762.59	305.04	26.51	0.04715	0.00003	0.031	47.20	65.00	0.030	50.00	
65.00	0.030	55.00	758.41	303.36	24.66	0.02203	-0.00000	0.031	52.04	65.00	0.030	55.00	
65.00	0.031	60.00	761.85	304.74	26.09	0.03793	0.00029	0.030	57.22	65.00	0.030	60.00	
64.99	0.030	65.00	762.27	304.91	26.05	0.02261	-0.00011	0.030	62.42	65.00	0.030	65.00	
65.00	0.030	70.00	765.68	306.27	26.04	0.00947	-0.00010	0.030	67.40	65.00	0.030	70.00	
64.98	0.030	75.00	766.84	306.74	26.49	0.02493	0.00006	0.030	72.78	65.00	0.030	75.00	
65.00	0.030	78.00	766.66	306.66	26.39	0.04010	-0.00013	0.030	75.98	65.00	0.030	78.00	
65.00	0.030	81.00	771.28	308.51	26.73	-0.03483	0.00012	0.030	79.11	65.00	0.030	81.00	
65.00	0.029	84.00	769.28	307.71	26.23	0.04235	-0.00023	0.029	82.52	65.00	0.030	84.00	
65.01	0.030	86.00	766.79	306.72	26.51	0.07275	-0.00015	0.030	84.59	65.00	0.030	86.00	
65.00	0.030	88.00	767.74	307.10	26.26	0.03920	-0.00033	0.030	86.91	65.00	0.030	88.00	
65.00	0.030	90.00	770.43	308.17	26.48	0.03866	-0.00021	0.030	88.67	65.00	0.030	90.00	
64.99	0.030	92.00	767.73	307.09	25.67	0.04800	-0.00020	0.030	90.80	65.00	0.030	92.00	
65.00	0.030	94.00	769.71	307.89	26.21	0.01185	-0.00020	0.030	93.05	65.00	0.030	94.00	
65.00	0.030	96.00	769.35	307.74	26.13	0.03086	-0.00027	0.030	95.27	65.00	0.030	96.00	
64.99	0.030	99.00	767.87	307.15	25.95	0.06865	-0.00036	0.030	98.46	65.00	0.030	99.00	
65.01	0.030	102.00	768.83	307.53	26.17	0.02723	-0.00033	0.030	101.28	65.00	0.030	102.00	
65.00	0.030	105.00	768.76	307.51	26.14	0.05782	-0.00002	0.030	104.66	65.00	0.030	105.00	
65.01	0.030	110.00	763.23	305.29	25.85	0.03018	-0.00030	0.030	109.75	65.00	0.030	110.00	
65.01	0.030	115.00	760.75	304.30	25.47	0.08244	-0.00036	0.030	114.35	65.00	0.030	115.00	
65.01	0.030	120.00	759.94	303.98	25.70	-0.06163	-0.00001	0.030	119.58	65.00	0.030	120.00	
64.99	0.030	125.00	753.86	301.54	25.24	0.06991	-0.00040	0.030	124.58	65.00	0.030	125.00	
64.99	0.030	130.00	757.17	302.87	25.91	0.01773	0.00006	0.030	129.77	65.00	0.030	130.00	
65.00	0.030	135.00	747.97	299.19	23.99	0.06169	-0.00033	0.031	134.52	65.00	0.030	135.00	
65.00	0.030	140.00	750.22	300.09	25.26	-0.02013	0.00006	0.030	139.73	65.00	0.030	140.00	
64.99	0.030	145.00	751.20	300.48	25.89	0.00572	-0.00003	0.030	145.10	65.00	0.030	145.00	
64.99	0.030	150.00	751.55	300.62	25.44	-0.02697	0.00002	0.030	150.40	65.00	0.030	150.00	
64.99	0.030	155.00	752.58	301.03	25.20	0.04808	-0.00017	0.030	155.33	65.00	0.030	155.00	
65.01	0.030	160.00	746.35	298.54	25.38	0.03502	0.00006	0.030	160.35	65.00	0.030	160.00	
65.00	0.031	165.00	743.17	297.27	24.76	0.00795	-0.00000	0.031	165.31	65.00	0.030	165.00	
65.00	0.030	170.00	744.19	297.68	24.56	0.00309	0.00012	0.031	170.07	65.00	0.030	170.00	
65.00	0.030	175.00	747.44	298.98	24.72	0.01378	0.00007	0.030	175.16	65.00	0.030	175.00	
65.00	0.030	180.00	746.99	298.80	24.80	-0.02815	-0.00010	0.031	180.36	65.00	0.030	180.00	
65.00	0.030	185.00	745.56	298.22	24.39	0.02597	0.00003	0.031	185.48	65.00	0.030	185.00	
65.00	0.030	190.00	745.74	298.30	24.62	0.06028	-0.00007	0.031	190.70	65.00	0.030	190.00	
65.00	0.030	195.00	742.77	297.11	23.72	0.02384	0.00008	0.031	195.62	65.00	0.030	195.00	
65.02	0.030	200.00	742.11	296.84	24.55	0.04204	-0.00011	0.031	200.65	65.00	0.030	200.00	
64.99	0.030	205.00	739.99	295.99	23.22	-0.00443	0.00021	0.031	205.85	65.00	0.030	205.00	
64.99	0.030	210.00	744.10	297.64	24.57	0.05151	-0.00001	0.031	210.83	65.00	0.030	210.00	
65.01	0.030	215.00	742.80	297.12	23.13	0.03349	0.00001	0.031	215.82	65.00	0.030	215.00	
64.99	0.030	220.00	748.20	299.28	24.57	-0.01611	0.00006	0.031	220.59	65.00	0.030	220.00	
64.99	0.030	225.00	753.43	301.37	27.09	0.00511	0.00019	0.031	225.60	65.00	0.030	225.00	
64.99	0.030	230.00	748.42	299.37	24.43	0.02944	-0.00004	0.032	230.72	65.00	0.030	230.00	
64.98	0.030	235.00	750.21	300.08	24.83	-0.01549	0.00002	0.031	235.43	65.00	0.030	235.00	
65.01	0.030	240.00	754.71	301.88	25.30	0.01834	0.00032	0.031	240.22	65.00	0.030	240.00	
