Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
50.02	0.069	0.00	1278.22	511.29	21.54	-0.08443	0.00061	0.071	0.63	50.00	0.070	0.00	
49.99	0.070	5.00	1268.31	507.33	20.60	-0.00997	-0.00003	0.073	4.86	50.00	0.070	5.00	
49.98	0.070	10.00	1268.01	507.20	20.39	-0.02644	0.00001	0.073	9.88	50.00	0.070	10.00	
49.99	0.070	15.00	1270.24	508.10	20.47	0.03428	0.00008	0.073	14.91	50.00	0.070	15.00	
49.99	0.070	20.00	1269.75	507.90	20.17	0.02313	-0.00002	0.073	19.86	50.00	0.070	20.00	
49.99	0.070	25.00	1274.99	510.00	20.56	0.05676	0.00003	0.073	24.80	50.00	0.070	25.00	
49.99	0.070	30.00	1277.29	510.92	20.47	0.03392	0.00001	0.073	29.60	50.00	0.070	30.00	
49.99	0.070	35.00	1279.82	511.93	20.39	0.02175	0.00007	0.072	34.27	50.00	0.070	35.00	
49.99	0.070	40.00	1283.13	513.25	20.38	0.00573	0.00008	0.071	39.12	50.00	0.070	40.00	
49.99	0.070	45.00	1287.88	515.15	20.54	-0.03568	0.00008	0.071	43.80	50.00	0.070	45.00	
49.99	0.070	50.00	1289.26	515.70	20.18	-0.02240	-0.00004	0.071	48.67	50.00	0.070	50.00	
50.00	0.070	55.00	1294.04	517.61	20.56	0.01760	0.00004	0.070	53.59	50.00	0.070	55.00	
49.99	0.070	60.00	1297.34	518.93	20.64	0.01478	-0.00005	0.069	58.66	50.00	0.070	60.00	
49.99	0.070	65.00	1300.53	520.21	20.55	-0.01089	-0.00004	0.069	63.82	50.00	0.070	65.00	
49.99	0.070	70.00	1301.71	520.69	20.51	-0.00182	-0.00010	0.068	68.99	50.00	0.070	70.00	
49.99	0.070	75.00	1304.09	521.63	20.72	-0.00863	-0.00008	0.069	74.18	50.00	0.070	75.00	
49.99	0.070	78.00	1302.95	521.18	20.01	-0.00934	-0.00021	0.069	77.49	50.00	0.070	78.00	
49.99	0.070	81.00	1302.38	520.95	19.97	-0.00799	-0.00027	0.069	80.63	50.00	0.070	81.00	
49.99	0.070	84.00	1302.16	520.86	19.90	-0.02982	-0.00026	0.069	83.76	50.00	0.070	84.00	
49.99	0.070	86.00	1304.60	521.84	20.28	-0.00442	-0.00025	0.069	85.93	50.00	0.070	86.00	
49.99	0.070	88.00	1302.34	520.94	19.86	-0.00035	-0.00035	0.069	87.99	50.00	0.070	88.00	
49.99	0.070	90.00	1302.73	521.09	19.93	0.01093	-0.00033	0.069	90.22	50.00	0.070	90.00	
49.99	0.070	92.00	1302.62	521.05	19.88	-0.02136	-0.00035	0.069	92.31	50.00	0.070	92.00	
49.99	0.070	94.00	1303.08	521.23	20.06	0.01719	-0.00038	0.069	94.35	50.00	0.070	94.00	
49.99	0.070	96.00	1302.06	520.82	19.92	0.01172	-0.00038	0.069	96.40	50.00	0.070	96.00	
49.99	0.070	99.00	1301.89	520.75	20.00	0.02894	-0.00039	0.069	99.42	50.00	0.070	99.00	
49.99	0.070	102.00	1302.57	521.03	20.44	0.09729	-0.00029	0.070	102.48	50.00	0.070	102.00	
