Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.52	3.000	0.00	26.18	10.47	6.93	0.07434	-0.00729	3.098	-0.54	77.50	3.000	0.00	
77.51	3.000	5.00	26.40	10.56	7.09	0.06732	-0.00024	3.097	4.46	77.50	3.000	5.00	
77.51	3.000	10.00	26.30	10.52	7.06	0.06699	-0.00542	3.095	9.40	77.50	3.000	10.00	
77.51	3.000	15.00	26.22	10.49	7.00	0.05823	-0.00754	3.093	14.34	77.50	3.000	15.00	
77.50	3.000	20.00	26.16	10.46	6.96	0.06706	-0.00907	3.089	19.27	77.50	3.000	20.00	
77.50	3.000	25.00	26.43	10.57	7.09	0.10458	-0.00577	3.084	24.18	77.50	3.000	25.00	
77.50	3.000	30.00	26.74	10.70	7.15	0.07578	-0.00465	3.079	29.08	77.50	3.000	30.00	
77.50	3.000	35.00	27.31	10.92	7.31	0.06735	-0.00012	3.072	33.99	77.50	3.000	35.00	
77.50	3.000	40.00	27.80	11.12	7.21	0.13300	-0.00864	3.065	38.90	77.50	3.000	40.00	
77.50	3.000	45.00	28.67	11.47	7.37	0.13030	-0.00880	3.056	43.84	77.50	3.000	45.00	
77.49	3.000	50.00	29.95	11.98	7.85	0.05138	0.00178	3.047	48.78	77.50	3.000	50.00	
77.50	3.000	55.00	31.06	12.43	7.97	0.07651	-0.00350	3.038	53.77	77.50	3.000	55.00	
77.50	3.000	60.00	32.26	12.90	8.07	0.09928	-0.00814	3.030	58.78	77.50	3.000	60.00	
77.50	3.000	65.00	33.96	13.59	8.65	0.08032	-0.00367	3.022	63.83	77.50	3.000	65.00	
77.50	3.000	70.00	35.31	14.13	8.92	0.06991	-0.00655	3.015	68.92	77.50	3.000	70.00	
77.50	3.000	75.00	36.53	14.61	9.33	0.04032	-0.00732	3.010	74.04	77.50	3.000	75.00	
77.50	3.000	78.00	37.24	14.90	9.79	0.03636	-0.00445	3.007	77.12	77.50	3.000	78.00	
