Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
24.99	7.000	0.00	655.83	262.33	20.37	-0.09202	0.01988	7.116	-0.11	25.00	7.000	0.00
24.99	7.000	5.00	651.64	260.66	19.67	-0.42757	0.02337	7.118	4.74	25.00	7.000	5.00
25.00	7.000	10.00	652.09	260.83	19.85	-0.57847	0.02712	7.117	9.59	25.00	7.000	10.00
25.00	7.000	15.00	654.65	261.86	20.33	-0.78551	0.03109	7.114	14.51	25.00	7.000	15.00
25.01	7.000	20.00	655.40	262.16	20.19	-1.00000	0.03333	7.109	19.37	25.00	7.000	20.00
25.01	7.000	25.00	654.30	261.72	19.37	-1.00000	0.03427	7.103	24.24	25.00	7.000	25.00
25.00	7.000	30.00	649.10	259.64	17.45	-1.00000	0.03270	7.095	29.11	25.00	7.000	30.00
25.00	7.000	35.00	652.26	260.90	16.62	-1.00000	0.03052	7.085	33.94	25.00	7.000	35.00
25.00	7.000	40.00	655.95	262.38	15.87	-1.00000	0.02786	7.074	38.79	25.00	7.000	40.00
25.00	7.000	45.00	668.29	267.32	15.63	-1.00000	0.02518	7.061	43.78	25.00	7.000	45.00
25.01	7.000	50.00	682.12	272.85	15.27	-1.00000	0.02165	7.048	48.63	25.00	7.000	50.00
25.00	7.000	55.00	705.27	282.11	15.49	-0.95110	0.01850	7.033	53.54	25.00	7.000	55.00
25.00	7.000	60.00	723.98	289.59	14.69	-0.70625	0.01366	7.021	58.48	25.00	7.000	60.00
25.00	7.000	65.00	751.69	300.68	14.13	-0.45918	0.00942	7.010	63.44	25.00	7.000	65.00
25.01	7.000	70.00	791.84	316.74	13.44	-0.37580	0.00646	6.999	68.39	25.00	7.000	70.00
25.00	7.000	75.00	853.13	341.25	12.71	-0.06894	0.00351	6.988	73.36	25.00	7.000	75.00
25.00	7.000	78.00	909.56	363.82	12.21	-0.05070	0.00224	6.980	76.37	25.00	7.000	78.00
25.00	7.000	81.00	1002.93	401.17	12.12	-0.02480	0.00118	6.974	79.36	25.00	7.000	81.00
25.00	7.000	84.00	1163.57	465.43	12.25	0.08629	-0.00003	6.968	82.35	25.00	7.000	84.00
25.00	7.000	86.00	1359.67	543.87	12.69	0.18798	-0.00082	6.962	84.30	25.00	7.000	86.00
25.00	7.000	88.00	1711.71	684.68	14.86	0.31889	-0.00194	6.955	86.30	25.00	7.000	88.00
25.00	7.000	90.00	2106.90	842.76	19.06	0.70600	-0.00334	6.955	88.41	25.00	7.000	90.00
24.99	7.000	92.00	2084.22	833.69	23.60	0.81241	-0.00416	6.951	90.45	25.00	7.000	92.00
24.99	7.000	94.00	1719.13	687.65	19.74	0.56720	-0.00407	6.938	92.68	25.00	7.000	94.00
24.99	7.000	96.00	1398.47	559.39	15.74	0.47032	-0.00434	6.931	94.81	25.00	7.000	96.00
25.01	7.000	99.00	1138.49	455.39	14.18	0.40015	-0.00478	6.933	97.85	25.00	7.000	99.00
25.00	7.000	102.00	997.73	399.09	13.92	0.32041	-0.00547	6.945	100.94	25.00	7.000	102.00
25.00	7.000	105.00	917.23	366.89	14.27	0.33212	-0.00596	6.947	103.93	25.00	7.000	105.00
25.01	7.000	110.00	839.15	335.66	15.18	0.28779	-0.00657	6.935	108.80	25.00	7.000	110.00
25.00	7.000	115.00	794.19	317.68	16.35	0.19903	-0.00640	6.920	113.64	25.00	7.000	115.00
25.01	7.000	120.00	765.09	306.03	17.72	0.14870	-0.00578	6.901	118.58	25.00	7.000	120.00
24.99	7.000	125.00	739.55	295.82	18.47	0.08630	-0.00486	6.883	123.65	25.00	7.000	125.00
25.00	7.000	130.00	717.08	286.83	18.52	-0.01359	-0.00335	6.866	128.75	25.00	7.000	130.00
25.01	7.000	135.00	703.90	281.56	19.53	-0.10898	-0.00106	6.848	133.78	25.00	7.000	135.00
25.01	7.000	140.00	690.07	276.03	19.84	-0.22170	0.00160	6.831	138.86	25.00	7.000	140.00
25.00	7.000	145.00	676.40	270.56	19.68	-0.33764	0.00490	6.816	143.92	25.00	7.000	145.00
25.01	7.000	150.00	664.06	265.62	19.05	-0.49837	0.00932	6.803	149.03	25.00	7.000	150.00
25.00	7.000	155.00	657.07	262.83	18.74	-0.81855	0.01485	6.792	154.03	25.00	7.000	155.00
25.00	7.000	160.00	656.98	262.79	19.91	1.00000	0.00875	6.783	159.93	25.00	7.000	160.00
25.00	7.000	165.00	648.36	259.34	18.77	1.00000	0.01037	6.775	165.00	25.00	7.000	165.00
25.00	7.000	170.00	653.71	261.48	20.27	1.00000	0.01402	6.767	170.09	25.00	7.000	170.00
25.02	7.000	175.00	648.20	259.28	19.30	1.00000	0.01616	6.759	175.25	25.00	7.000	175.00
25.00	7.000	180.00	648.50	259.40	19.41	1.00000	0.01798	6.752	180.42	25.00	7.000	180.00
25.00	7.000	185.00	652.11	260.84	19.97	1.00000	0.02138	6.751	185.62	25.00	7.000	185.00
25.00	7.000	190.00	657.18	262.87	21.00	1.00000	0.02504	6.753	190.74	25.00	7.000	190.00
25.00	7.000	195.00	662.89	265.16	22.15	1.00000	0.02828	6.758	195.85	25.00	7.000	195.00
25.01	7.000	200.00	651.00	260.40	20.81	-1.00000	0.04547	6.768	200.12	25.00	7.000	200.00
25.00	7.000	205.00	656.35	262.54	20.69	-1.00000	0.04258	6.778	205.11	25.00	7.000	205.00
25.00	7.000	210.00	647.27	258.91	17.16	-1.00000	0.03672	6.790	210.22	25.00	7.000	210.00
25.00	7.000	215.00	661.45	264.58	18.26	1.00000	0.02520	6.804	215.22	25.00	7.000	215.00
25.00	7.000	220.00	688.93	275.57	20.44	-0.60691	0.03086	6.820	220.18	25.00	7.000	220.00
25.00	7.000	225.00	702.99	281.20	20.44	-0.55886	0.02921	6.838	225.08	25.00	7.000	225.00
25.00	7.000	230.00	712.14	284.86	18.61	-0.57559	0.02638	6.856	229.97	25.00	7.000	230.00
25.00	7.000	235.00	730.24	292.10	18.12	-0.56465	0.02376	6.874	234.86	25.00	7.000	235.00
25.01	7.000	240.00	751.22	300.49	17.12	-0.59878	0.02074	6.894	239.76	25.00	7.000	240.00
