Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	0.015	0.00	351.02	140.41	26.83	-0.01000	0.00099	0.015	2.69	77.50	0.015	0.00	
77.51	0.015	5.00	350.84	140.34	26.73	0.02538	0.00024	0.016	6.26	77.50	0.015	5.00	
77.50	0.015	10.00	351.07	140.43	26.19	0.04942	0.00012	0.016	11.32	77.50	0.015	10.00	
77.50	0.015	15.00	352.68	141.07	26.70	0.03153	0.00030	0.016	16.31	77.50	0.015	15.00	
77.51	0.015	20.00	353.39	141.35	26.15	0.02962	0.00024	0.015	21.64	77.50	0.015	20.00	
77.51	0.015	25.00	354.78	141.91	26.46	0.07910	0.00020	0.016	26.57	77.50	0.015	25.00	
77.50	0.015	30.00	356.35	142.54	26.70	0.01152	0.00012	0.016	31.48	77.50	0.015	30.00	
77.49	0.015	35.00	357.70	143.08	27.39	0.00293	0.00029	0.016	36.28	77.50	0.015	35.00	
77.50	0.014	40.00	359.14	143.66	27.72	0.01685	0.00045	0.016	40.88	77.50	0.015	40.00	
77.50	0.015	45.00	360.78	144.31	27.97	0.01404	0.00025	0.016	45.87	77.50	0.015	45.00	
77.50	0.015	50.00	361.02	144.41	26.52	0.05860	-0.00014	0.016	50.56	77.50	0.015	50.00	
77.50	0.014	55.00	362.85	145.14	27.31	0.01680	-0.00006	0.016	55.53	77.50	0.015	55.00	
77.50	0.015	60.00	364.68	145.87	28.17	0.02644	0.00023	0.016	60.27	77.50	0.015	60.00	
77.50	0.015	65.00	366.13	146.45	28.19	0.00788	0.00024	0.016	65.35	77.50	0.015	65.00	
77.50	0.015	70.00	367.84	147.13	29.42	0.01008	0.00037	0.016	70.59	77.50	0.015	70.00	
77.50	0.015	75.00	368.54	147.42	29.17	-0.00467	0.00038	0.016	75.43	77.50	0.015	75.00	
77.50	0.015	78.00	369.13	147.65	29.52	-0.05096	0.00034	0.016	78.54	77.50	0.015	78.00	
77.50	0.015	81.00	368.89	147.56	28.72	0.00645	0.00024	0.016	81.38	77.50	0.015	81.00	
77.50	0.015	84.00	368.35	147.34	27.72	0.06646	-0.00023	0.016	84.50	77.50	0.015	84.00	
77.50	0.015	86.00	368.36	147.34	27.68	-0.05202	-0.00006	0.016	86.99	77.50	0.015	86.00	
77.50	0.015	88.00	368.82	147.53	27.92	0.07331	-0.00056	0.016	88.78	77.50	0.015	88.00	
77.50	0.015	90.00	367.64	147.06	26.85	0.06902	-0.00059	0.015	91.28	77.50	0.015	90.00	
77.50	0.015	92.00	368.71	147.49	27.89	0.05246	-0.00025	0.015	93.64	77.50	0.015	92.00	
77.50	0.015	94.00	367.66	147.06	27.03	0.05640	-0.00023	0.016	95.07	77.50	0.015	94.00	
77.50	0.015	96.00	368.96	147.58	28.91	0.06796	-0.00028	0.015	97.42	77.50	0.015	96.00	
77.51	0.015	99.00	369.24	147.70	29.45	0.03826	0.00012	0.016	99.76	77.50	0.015	99.00	
77.49	0.015	102.00	368.68	147.47	29.16	0.05509	-0.00002	0.016	102.42	77.50	0.015	102.00	
77.50	0.015	105.00	368.60	147.44	29.67	0.02412	0.00025	0.016	105.76	77.50	0.015	105.00	
77.50	0.015	110.00	367.20	146.88	28.62	0.01842	-0.00028	0.016	110.35	77.50	0.015	110.00	
77.50	0.015	115.00	365.82	146.33	28.03	0.03301	-0.00015	0.016	114.73	77.50	0.015	115.00	
77.50	0.015	120.00	363.87	145.55	27.30	0.07621	-0.00028	0.016	119.60	77.50	0.015	120.00	
77.51	0.016	125.00	362.87	145.15	27.36	-0.03418	0.00018	0.016	125.09	77.50	0.015	125.00	
77.50	0.015	130.00	361.29	144.52	26.92	-0.00181	0.00028	0.016	129.15	77.50	0.015	130.00	
77.50	0.015	135.00	360.13	144.05	26.66	0.02503	0.00007	0.016	134.41	77.50	0.015	135.00	
77.50	0.015	140.00	361.17	144.47	28.60	0.05656	0.00020	0.016	139.34	77.50	0.015	140.00	
77.50	0.015	145.00	357.81	143.12	26.47	0.04909	0.00004	0.016	144.21	77.50	0.015	145.00	
77.50	0.015	150.00	358.27	143.31	27.48	0.02480	0.00036	0.016	149.44	77.50	0.015	150.00	
77.50	0.015	155.00	356.62	142.65	26.47	-0.00242	0.00048	0.016	154.42	77.50	0.015	155.00	
77.51	0.015	160.00	355.36	142.14	26.84	-0.08389	0.00025	0.016	159.03	77.50	0.015	160.00	
77.50	0.015	165.00	352.23	140.89	25.15	0.04787	-0.00023	0.016	163.30	77.50	0.015	165.00	
77.50	0.015	170.00	353.05	141.22	26.05	-0.00166	0.00024	0.016	167.96	77.50	0.015	170.00	
77.50	0.015	175.00	352.74	141.09	26.00	0.03133	-0.00001	0.016	172.94	77.50	0.015	175.00	
77.50	0.015	180.00	352.69	141.07	26.49	0.04283	0.00051	0.016	177.73	77.50	0.015	180.00	
77.50	0.015	185.00	351.89	140.76	26.43	0.02195	0.00018	0.016	182.29	77.50	0.015	185.00	
77.50	0.015	190.00	352.58	141.03	27.08	0.04225	0.00011	0.016	187.91	77.50	0.015	190.00	
77.51	0.015	195.00	350.91	140.37	26.28	0.02040	-0.00004	0.015	192.79	77.50	0.015	195.00	
77.50	0.015	200.00	351.83	140.73	26.84	0.03836	0.00030	0.016	197.29	77.50	0.015	200.00	
77.50	0.015	205.00	352.19	140.87	27.00	0.05094	0.00014	0.015	202.25	77.50	0.015	205.00	
77.50	0.015	210.00	351.59	140.63	25.44	0.01330	-0.00000	0.016	207.22	77.50	0.015	210.00	
77.50	0.015	215.00	352.24	140.90	25.82	0.04815	0.00004	0.015	212.14	77.50	0.015	215.00	
