Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.50	7.000	0.00	1.55	0.62	2.39	-0.10693	-0.10000	7.120	-0.16	77.50	7.000	0.00	
77.49	7.000	5.00	1.52	0.61	2.35	-0.08333	-0.10000	7.120	4.86	77.50	7.000	5.00	
77.49	7.000	10.00	1.59	0.64	2.41	-0.01476	-0.10000	7.120	9.78	77.50	7.000	10.00	
77.49	7.000	15.00	1.67	0.67	2.46	0.06457	-0.10000	7.116	14.69	77.50	7.000	15.00	
77.50	7.000	20.00	1.80	0.72	2.51	-0.00654	-0.10000	7.112	19.61	77.50	7.000	20.00	
77.50	7.000	25.00	2.00	0.80	2.61	-0.00829	-0.10000	7.105	24.53	77.50	7.000	25.00	
77.50	7.000	30.00	2.33	0.93	2.75	0.02026	-0.10000	7.097	29.46	77.50	7.000	30.00	
77.49	7.000	35.00	2.74	1.10	2.91	0.12296	-0.10000	7.088	34.37	77.50	7.000	35.00	
77.49	7.000	40.00	3.15	1.26	3.03	0.15763	-0.10000	7.078	39.29	77.50	7.000	40.00	
77.50	7.000	45.00	3.73	1.49	3.19	0.15813	-0.10000	7.067	44.23	77.50	7.000	45.00	
77.51	7.000	50.00	4.53	1.81	3.44	0.08843	-0.10000	7.053	49.17	77.50	7.000	50.00	
77.50	7.000	55.00	5.47	2.19	3.67	0.13251	-0.10000	7.039	54.13	77.50	7.000	55.00	
77.50	7.000	60.00	6.62	2.65	3.97	0.24369	-0.10000	7.028	59.14	77.50	7.000	60.00	
77.50	7.000	65.00	7.92	3.17	4.25	0.17250	-0.10000	7.018	64.17	77.50	7.000	65.00	
77.50	7.000	70.00	9.50	3.80	4.62	0.26044	-0.09476	7.008	69.22	77.50	7.000	70.00	
77.50	7.000	75.00	11.35	4.54	5.01	0.25124	-0.10000	6.998	74.29	77.50	7.000	75.00	
77.49	7.000	78.00	12.74	5.10	5.40	0.26405	-0.07959	6.993	77.34	77.50	7.000	78.00	
77.50	7.000	81.00	14.00	5.60	5.71	0.25970	-0.09135	6.988	80.40	77.50	7.000	81.00	
77.50	7.000	84.00	15.59	6.23	6.28	0.24391	-0.06756	6.984	83.48	77.50	7.000	84.00	
77.50	7.000	86.00	16.50	6.60	6.48	0.30978	-0.07936	6.982	85.53	77.50	7.000	86.00	
77.50	7.000	88.00	17.97	7.19	6.97	0.20282	-0.06396	6.980	87.59	77.50	7.000	88.00	
77.49	7.000	90.00	19.65	7.86	7.27	0.22488	-0.05934	6.978	89.65	77.50	7.000	90.00	
77.50	7.000	92.00	18.51	7.40	7.20	0.17015	-0.05143	6.977	91.74	77.50	7.000	92.00	
77.50	7.000	94.00	16.99	6.80	6.74	0.20043	-0.06513	6.976	93.81	77.50	7.000	94.00	
77.50	7.000	96.00	15.76	6.30	6.26	0.24106	-0.08364	6.976	95.86	77.50	7.000	96.00	
77.50	7.000	99.00	14.32	5.73	5.80	0.24491	-0.09577	6.975	98.88	77.50	7.000	99.00	
77.50	7.000	102.00	13.01	5.20	5.48	0.19584	-0.08743	6.972	101.83	77.50	7.000	102.00	
77.49	7.000	105.00	11.64	4.66	5.09	0.16868	-0.10000	6.967	104.76	77.50	7.000	105.00	
77.50	7.000	110.00	9.94	3.98	4.79	0.13085	-0.07094	6.954	109.62	77.50	7.000	110.00	
77.50	6.999	115.00	8.16	3.27	4.26	0.05850	-0.10000	6.936	114.49	77.50	7.000	115.00	
77.49	7.000	120.00	6.89	2.76	4.00	0.08458	-0.10000	6.915	119.38	77.50	7.000	120.00	
77.50	7.001	125.00	5.71	2.29	3.71	0.05021	-0.10000	6.894	124.28	77.50	7.000	125.00	
77.50	7.000	130.00	4.81	1.92	3.50	0.03310	-0.10000	6.874	129.23	77.50	7.000	130.00	
77.50	7.000	135.00	4.02	1.61	3.28	0.00363	-0.10000	6.854	134.21	77.50	7.000	135.00	
77.50	7.000	140.00	3.43	1.37	3.14	0.04120	-0.10000	6.837	139.21	77.50	7.000	140.00	
77.50	7.000	145.00	2.90	1.16	2.95	-0.05209	-0.10000	6.821	144.23	77.50	7.000	145.00	
77.51	7.000	150.00	2.47	0.99	2.79	-0.05870	-0.10000	6.806	149.24	77.50	7.000	150.00	
77.50	7.000	155.00	2.25	0.90	2.74	-0.03281	-0.10000	6.795	154.19	77.50	7.000	155.00	
77.49	7.000	160.00	2.00	0.80	2.62	-0.02695	-0.10000	6.784	159.13	77.50	7.000	160.00	
77.50	7.000	165.00	1.81	0.72	2.52	-0.08846	-0.10000	6.776	164.09	77.50	7.000	165.00	
77.50	7.000	170.00	1.71	0.68	2.47	-0.01836	-0.10000	6.768	169.09	77.50	7.000	170.00	
77.50	7.000	175.00	1.64	0.65	2.44	-0.13904	-0.10000	6.760	174.20	77.50	7.000	175.00	
77.50	6.999	180.00	1.63	0.65	2.45	-0.03071	-0.10000	6.753	179.47	77.50	7.000	180.00	
77.50	7.000	185.00	1.59	0.64	2.40	-0.17478	-0.10000	6.752	184.66	77.50	7.000	185.00	
77.51	7.000	190.00	1.67	0.67	2.45	-0.09332	-0.10000	6.754	189.80	77.50	7.000	190.00	
77.50	7.000	195.00	1.77	0.71	2.53	-0.05285	-0.10000	6.758	194.96	77.50	7.000	195.00	
77.50	7.000	200.00	1.86	0.74	2.52	-0.15829	-0.10000	6.765	200.13	77.50	7.000	200.00	
77.49	6.999	205.00	2.08	0.83	2.66	0.03769	-0.10000	6.775	205.25	77.50	7.000	205.00	
77.50	7.000	210.00	2.30	0.92	2.70	-0.14488	-0.10000	6.787	210.36	77.50	7.000	210.00	
77.49	7.000	215.00	2.68	1.07	2.87	0.10266	-0.10000	6.802	215.45	77.50	7.000	215.00	
77.49	7.000	220.00	3.16	1.26	3.06	0.08755	-0.10000	6.819	220.45	77.50	7.000	220.00	
77.50	7.000	225.00	3.79	1.52	3.25	0.15281	-0.10000	6.837	225.41	77.50	7.000	225.00	
77.50	7.000	230.00	4.44	1.77	3.39	0.09412	-0.10000	6.855	230.39	77.50	7.000	230.00	
77.50	7.000	235.00	5.41	2.16	3.71	0.12575	-0.10000	6.874	235.34	77.50	7.000	235.00	
77.50	7.000	240.00	6.47	2.59	3.93	0.16553	-0.10000	6.894	240.29	77.50	7.000	240.00	
