Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
60.02	2.000	0.00	305.92	122.37	16.09	0.02958	0.00013	2.080	-0.46	60.00	2.000	0.00	
60.00	2.000	5.00	304.56	121.82	15.86	0.02968	0.00010	2.080	4.52	60.00	2.000	5.00	
60.01	2.000	10.00	303.27	121.31	15.90	0.03671	0.00019	2.078	9.48	60.00	2.000	10.00	
60.00	2.000	15.00	304.02	121.61	15.99	-0.00234	0.00058	2.077	14.44	60.00	2.000	15.00	
60.00	2.000	20.00	300.83	120.33	15.82	0.01520	0.00063	2.075	19.37	60.00	2.000	20.00	
60.01	2.000	25.00	297.82	119.13	15.74	0.06208	0.00063	2.071	24.27	60.00	2.000	25.00	
60.00	2.000	30.00	294.18	117.67	15.49	0.07163	0.00056	2.066	29.15	60.00	2.000	30.00	
60.00	2.000	35.00	290.76	116.30	15.49	0.06915	0.00037	2.061	34.02	60.00	2.000	35.00	
60.00	2.000	40.00	287.26	114.91	15.27	0.05096	0.00059	2.055	38.89	60.00	2.000	40.00	
60.00	2.000	45.00	284.88	113.95	15.60	0.04875	0.00065	2.048	43.80	60.00	2.000	45.00	
60.00	2.000	50.00	281.56	112.62	15.30	0.03716	0.00055	2.039	48.71	60.00	2.000	50.00	
60.00	1.999	55.00	278.21	111.28	15.23	0.04288	0.00037	2.030	53.67	60.00	2.000	55.00	
60.01	2.000	60.00	274.86	109.95	15.18	0.02621	0.00014	2.021	58.66	60.00	2.000	60.00	
60.00	2.000	65.00	270.23	108.09	15.05	0.04868	0.00001	2.014	63.71	60.00	2.000	65.00	
60.00	2.000	70.00	264.02	105.61	14.88	0.02703	-0.00017	2.008	68.81	60.00	2.000	70.00	
60.00	2.000	75.00	254.29	101.72	14.45	0.03584	-0.00048	2.004	73.93	60.00	2.000	75.00	
60.00	2.000	78.00	246.67	98.67	14.08	0.04084	-0.00072	2.003	77.03	60.00	2.000	78.00	
60.00	2.000	81.00	237.30	94.92	13.58	0.04879	-0.00094	2.002	80.12	60.00	2.000	81.00	
60.00	2.000	84.00	227.42	90.97	12.57	0.09343	-0.00132	2.002	83.21	60.00	2.000	84.00	
60.00	2.000	86.00	223.88	89.55	11.90	0.10640	-0.00140	2.003	85.29	60.00	2.000	86.00	
60.00	2.000	88.00	226.08	90.43	10.44	0.09120	-0.00173	2.003	87.34	60.00	2.000	88.00	
60.00	2.000	90.00	235.55	94.22	9.43	0.11070	-0.00214	2.003	89.41	60.00	2.000	90.00	
60.00	2.000	92.00	230.54	92.22	9.71	0.10018	-0.00232	2.005	91.47	60.00	2.000	92.00	
60.00	2.000	94.00	222.85	89.14	10.94	0.11786	-0.00205	2.006	93.51	60.00	2.000	94.00	
60.00	2.000	96.00	225.26	90.11	12.43	0.04390	-0.00099	2.008	95.55	60.00	2.000	96.00	
