Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
29.99	0.300	0.00	2096.20	838.48	22.41	-0.16934	0.00063	0.317	-0.73	30.00	0.300	0.00
30.00	0.300	5.00	2071.11	828.44	20.34	0.01813	-0.00008	0.318	4.20	30.00	0.300	5.00
29.99	0.300	10.00	2070.02	828.01	20.28	-0.04886	-0.00002	0.318	9.16	30.00	0.300	10.00
30.00	0.300	15.00	2073.29	829.32	20.35	-0.00868	0.00000	0.319	14.17	30.00	0.300	15.00
30.00	0.300	20.00	2080.85	832.34	20.46	-0.09112	0.00006	0.318	19.09	30.00	0.300	20.00
29.99	0.300	25.00	2094.63	837.85	20.53	-0.04537	0.00009	0.317	23.98	30.00	0.300	25.00
30.00	0.300	30.00	2106.88	842.75	20.58	-0.03097	0.00015	0.316	28.76	30.00	0.300	30.00
30.00	0.300	35.00	2127.05	850.82	20.88	-0.08908	0.00020	0.313	33.52	30.00	0.300	35.00
30.00	0.300	40.00	2153.82	861.53	20.65	-0.02722	0.00019	0.310	38.23	30.00	0.300	40.00
30.00	0.300	45.00	2180.40	872.16	20.70	-0.06067	0.00018	0.307	42.96	30.00	0.300	45.00
30.00	0.300	50.00	2207.59	883.04	20.42	-0.02145	0.00015	0.304	47.76	30.00	0.300	50.00
29.99	0.300	55.00	2231.07	892.43	19.18	-0.05929	0.00011	0.300	52.63	30.00	0.300	55.00
30.00	0.300	60.00	--	--	--	--	--	0.297	57.62	30.00	0.300	60.00	Current limit exceeded.
29.99	0.300	65.00	--	--	--	--	--	0.294	62.74	30.00	0.300	65.00	Current limit exceeded.
30.00	0.300	70.00	--	--	--	--	--	0.292	67.99	30.00	0.300	70.00	Current limit exceeded.
30.00	0.300	75.00	--	--	--	--	--	0.290	73.27	30.00	0.300	75.00	Current limit exceeded.
29.99	0.300	78.00	--	--	--	--	--	0.290	76.60	30.00	0.300	78.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	30.00	0.300	81.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	84.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	86.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	92.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	94.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	96.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	99.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	30.00	0.300	102.00	Measurement skipped. (Current limit exceeded.)
30.00	0.300	105.00	--	--	--	--	--	0.292	103.41	30.00	0.300	105.00	Current limit exceeded.
30.00	0.300	110.00	--	--	--	--	--	0.296	109.38	30.00	0.300	110.00	Current limit exceeded.
29.99	0.301	115.00	--	--	--	--	--	0.296	114.41	30.00	0.300	115.00	Current limit exceeded.
