Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.52	0.050	0.00	294.05	117.62	21.71	0.08946	0.00027	0.051	0.28	77.50	0.050	0.00	
77.50	0.050	5.00	294.52	117.81	21.63	0.03975	0.00021	0.052	5.31	77.50	0.050	5.00	
77.52	0.050	10.00	296.52	118.61	21.47	-0.00339	-0.00020	0.052	10.19	77.50	0.050	10.00	
77.51	0.050	15.00	299.36	119.74	22.06	0.03039	0.00039	0.052	15.26	77.50	0.050	15.00	
77.50	0.050	20.00	301.45	120.58	22.34	0.01286	0.00031	0.051	20.25	77.50	0.050	20.00	
77.51	0.050	25.00	303.02	121.21	21.85	0.06044	0.00001	0.051	25.12	77.50	0.050	25.00	
77.50	0.051	30.00	307.69	123.07	22.61	0.00174	0.00037	0.052	30.09	77.50	0.050	30.00	
77.49	0.050	35.00	309.62	123.85	22.42	0.04229	0.00048	0.051	34.85	77.50	0.050	35.00	
77.49	0.050	40.00	313.76	125.50	22.85	0.02276	0.00042	0.051	39.81	77.50	0.050	40.00	
77.50	0.050	45.00	317.13	126.85	22.75	-0.02103	0.00025	0.050	44.61	77.50	0.050	45.00	
77.50	0.050	50.00	320.83	128.33	22.86	0.03932	0.00045	0.050	49.44	77.50	0.050	50.00	
77.50	0.051	55.00	326.29	130.52	23.05	0.01408	0.00040	0.051	54.24	77.50	0.050	55.00	
77.50	0.050	60.00	330.43	132.17	23.35	0.03823	0.00046	0.050	59.33	77.50	0.050	60.00	
77.50	0.051	65.00	335.55	134.22	24.52	-0.00958	0.00038	0.050	64.32	77.50	0.050	65.00	
77.50	0.051	70.00	341.17	136.47	24.54	0.00238	0.00041	0.049	69.43	77.50	0.050	70.00	
77.50	0.050	75.00	344.74	137.89	24.62	-0.01244	0.00029	0.049	74.43	77.50	0.050	75.00	
77.50	0.050	78.00	347.69	139.08	25.02	0.07051	-0.00003	0.049	77.63	77.50	0.050	78.00	
77.50	0.049	81.00	350.28	140.11	25.95	0.02769	0.00030	0.049	80.72	77.50	0.050	81.00	
77.50	0.050	84.00	352.14	140.85	26.19	0.09699	-0.00016	0.050	83.76	77.50	0.050	84.00	
77.50	0.050	86.00	353.11	141.25	26.07	0.05575	-0.00004	0.049	85.99	77.50	0.050	86.00	
77.50	0.049	88.00	352.32	140.93	25.33	0.01180	-0.00009	0.049	88.07	77.50	0.050	88.00	
77.50	0.050	90.00	353.03	141.21	25.37	0.02423	0.00001	0.050	90.15	77.50	0.050	90.00	
77.50	0.050	92.00	353.48	141.39	25.92	0.02303	0.00028	0.050	92.14	77.50	0.050	92.00	
77.50	0.050	94.00	351.98	140.79	25.27	0.00880	-0.00017	0.050	94.21	77.50	0.050	94.00	
77.50	0.050	96.00	351.41	140.56	25.16	0.00889	-0.00038	0.050	96.26	77.50	0.050	96.00	
77.50	0.050	99.00	350.73	140.29	25.86	0.06586	-0.00031	0.050	99.22	77.50	0.050	99.00	
77.50	0.050	102.00	348.18	139.27	24.88	-0.00214	0.00020	0.050	102.07	77.50	0.050	102.00	
77.50	0.050	105.00	345.82	138.33	24.59	0.01483	-0.00024	0.051	105.11	77.50	0.050	105.00	
77.50	0.050	110.00	342.29	136.91	24.86	0.00500	0.00029	0.051	110.03	77.50	0.050	110.00	
77.50	0.050	115.00	336.87	134.75	23.68	0.12099	-0.00057	0.050	115.06	77.50	0.050	115.00	
77.50	0.050	120.00	332.90	133.16	23.78	0.04336	0.00008	0.051	119.95	77.50	0.050	120.00	
77.50	0.050	125.00	329.30	131.72	24.35	-0.08145	0.00057	0.051	124.89	77.50	0.050	125.00	
77.50	0.051	130.00	324.17	129.67	23.35	-0.00329	0.00021	0.051	129.61	77.50	0.050	130.00	
77.50	0.050	135.00	320.35	128.14	23.14	0.04809	0.00015	0.051	134.69	77.50	0.050	135.00	
77.50	0.050	140.00	316.03	126.41	22.22	0.04963	0.00012	0.051	139.64	77.50	0.050	140.00	
77.50	0.051	145.00	313.70	125.48	22.83	0.05902	0.00006	0.051	144.89	77.50	0.050	145.00	
77.50	0.050	150.00	310.00	124.00	22.54	-0.00606	-0.00012	0.051	149.56	77.50	0.050	150.00	
77.50	0.050	155.00	308.39	123.36	22.99	0.05797	0.00078	0.051	154.60	77.50	0.050	155.00	
77.51	0.050	160.00	305.75	122.30	22.38	-0.01000	0.00003	0.051	159.26	77.50	0.050	160.00	
77.50	0.050	165.00	301.90	120.76	21.32	0.04607	-0.00010	0.051	164.33	77.50	0.050	165.00	
77.50	0.050	170.00	301.66	120.66	22.68	0.05646	0.00034	0.051	169.24	77.50	0.050	170.00	
77.50	0.050	175.00	299.25	119.70	22.21	-0.00989	-0.00009	0.051	174.32	77.50	0.050	175.00	
