r (m)	z (m)	Br (T)	Bz (T)	B (T)	Theta (°)	Ic (A)	I (A)	I/Ic (%)
0.000075	-0.108637	-0.001392	0.019993	0.020041	93.982437	--	0.000000	--
0.000745	-0.108665	-0.004800	0.019827	0.020400	103.608113	--	0.000000	--
0.000129	-0.108605	0.001182	0.020789	0.020822	86.746243	--	0.000000	--
0.000181	-0.108593	-0.004416	0.023049	0.023468	100.844982	--	0.000000	--
0.003348	-0.109559	-0.025176	0.007017	0.026136	164.424977	--	0.000000	--
0.000304	-0.108611	-0.002923	0.023044	0.023229	97.229850	--	0.000000	--
0.000875	-0.108620	-0.008285	0.022460	0.023939	110.246790	--	0.000000	--
0.003085	-0.108762	-0.024952	0.021870	0.033180	138.766740	--	0.000000	--
0.000438	-0.108614	-0.003962	0.022407	0.022755	100.026659	--	0.000000	--
0.002313	-0.108401	0.001752	0.023063	0.023129	85.656821	--	0.000000	--
0.000619	-0.108610	-0.007051	0.022659	0.023731	107.286009	--	0.000000	--
0.001670	-0.108419	0.000476	0.022422	0.022427	88.784411	--	0.000000	--
0.003595	-0.109790	-0.027097	-0.000710	0.027106	-178.500000	--	0.000000	--
0.001223	-0.108471	0.001487	0.022556	0.022605	86.229439	--	0.000000	--
0.003417	-0.109239	-0.030068	0.009685	0.031590	162.146635	--	0.000000	--
0.003326	-0.108914	-0.025376	0.012917	0.028474	153.023558	--	0.000000	--
0.000026	-0.108597	0.004746	0.017983	0.018599	75.215203	--	0.000000	--
0.001921	-0.108272	-0.001393	0.022757	0.022800	93.502772	--	0.000000	--
0.002995	-0.108348	-0.000628	0.023187	0.023195	91.551855	--	0.000000	--
0.000068	-0.108598	0.001433	0.022771	0.022816	86.400161	--	0.000000	--
0.000874	-0.108486	0.000675	0.022569	0.022579	88.287604	--	0.000000	--
0.002623	-0.108214	-0.000576	0.021699	0.021707	91.520020	--	0.000000	--
0.000094	-0.108583	-0.003857	0.022097	0.022431	99.902127	--	0.000000	--
0.001445	-0.108331	-0.001398	0.022233	0.022277	93.597878	--	0.000000	--
0.000181	-0.108547	0.003028	0.023177	0.023374	82.556548	--	0.000000	--
0.000285	-0.108510	-0.000715	0.024541	0.024551	91.670033	--	0.000000	--
0.001031	-0.108395	-0.001444	0.022803	0.022848	93.622428	--	0.000000	--
0.000437	-0.108502	0.000358	0.022495	0.022498	89.087715	--	0.000000	--
0.000010	-0.108582	-0.000000	0.032868	0.032868	90.000000	--	0.000000	--
0.000625	-0.108517	0.001735	0.022536	0.022603	85.597802	--	0.000000	--
0.000047	-0.108586	-0.001624	0.021965	0.022025	94.227262	--	0.000000	--
0.003829	-0.109647	-0.029432	0.006315	0.030102	167.889307	--	0.000000	--
0.000216	-0.108487	0.000224	0.021251	0.021253	89.397318	--	0.000000	--
0.000094	-0.108559	0.003046	0.022207	0.022415	82.189569	--	0.000000	--
0.000128	-0.108535	-0.002489	0.021561	0.021704	96.584984	--	0.000000	--
0.003738	-0.109331	-0.027373	0.006344	0.028099	166.950592	--	0.000000	--
0.000749	-0.108438	-0.001430	0.022135	0.022181	93.696769	--	0.000000	--
0.003556	-0.108670	-0.028807	0.021623	0.036019	143.107062	--	0.000000	--
0.000347	-0.108444	-0.001660	0.021485	0.021549	94.417673	--	0.000000	--
0.003227	-0.108195	-0.001461	0.022451	0.022498	93.724585	--	0.000000	--
0.000520	-0.108452	-0.001119	0.023222	0.023249	92.759948	--	0.000000	--
0.001989	-0.107951	-0.000002	0.022045	0.022045	90.005771	--	0.000000	--
0.002534	-0.107879	0.000257	0.022629	0.022630	89.348445	--	0.000000	--
0.004073	-0.109786	-0.031546	-0.001377	0.031576	-177.500000	--	0.000000	--
0.001391	-0.108067	0.000149	0.023636	0.023637	89.638892	--	0.000000	--
0.003548	-0.108365	-0.000317	0.022420	0.022422	90.810942	--	0.000000	--
