Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	1.500	0.00	61.08	24.43	10.18	-0.00696	-0.00133	1.573	-0.38	77.50	1.500	0.00	
77.51	1.500	5.00	60.97	24.39	10.13	0.04518	-0.00092	1.572	4.64	77.50	1.500	5.00	
77.51	1.500	10.00	60.57	24.23	10.07	0.03126	-0.00240	1.571	9.63	77.50	1.500	10.00	
77.50	1.500	15.00	60.04	24.02	10.01	0.04899	-0.00205	1.569	14.61	77.50	1.500	15.00	
77.50	1.500	20.00	59.50	23.80	10.03	0.06814	-0.00166	1.566	19.54	77.50	1.500	20.00	
77.50	1.499	25.00	59.03	23.61	10.05	0.02020	-0.00064	1.562	24.45	77.50	1.500	25.00	
77.50	1.500	30.00	58.70	23.48	10.09	0.02082	-0.00181	1.558	29.31	77.50	1.500	30.00	
77.50	1.500	35.00	58.61	23.44	10.22	0.08857	-0.00105	1.553	34.15	77.50	1.500	35.00	
77.49	1.500	40.00	58.51	23.40	10.19	0.08178	-0.00288	1.548	38.98	77.50	1.500	40.00	
77.49	1.500	45.00	58.76	23.50	10.35	0.05408	-0.00198	1.540	43.83	77.50	1.500	45.00	
77.50	1.500	50.00	59.29	23.72	10.43	0.05901	-0.00200	1.532	48.70	77.50	1.500	50.00	
77.50	1.500	55.00	60.14	24.05	10.71	0.05139	-0.00243	1.523	53.62	77.50	1.500	55.00	
77.50	1.500	60.00	61.17	24.47	11.01	0.06353	-0.00153	1.514	58.59	77.50	1.500	60.00	
77.50	1.500	65.00	62.11	24.85	11.23	0.05210	-0.00194	1.506	63.62	77.50	1.500	65.00	
77.50	1.500	70.00	62.71	25.08	11.36	0.06230	-0.00293	1.500	68.74	77.50	1.500	70.00	
77.50	1.500	75.00	63.15	25.26	11.60	0.01695	-0.00230	1.496	73.91	77.50	1.500	75.00	
77.50	1.500	78.00	63.16	25.27	11.85	0.07750	-0.00347	1.495	77.02	77.50	1.500	78.00	
77.50	1.500	81.00	63.24	25.29	12.33	0.03409	-0.00251	1.495	80.14	77.50	1.500	81.00	
77.50	1.500	84.00	62.92	25.17	12.41	0.07373	-0.00239	1.496	83.26	77.50	1.500	84.00	
77.50	1.500	86.00	63.34	25.33	12.71	0.05241	-0.00306	1.497	85.34	77.50	1.500	86.00	
77.50	1.500	88.00	65.17	26.07	12.73	0.07052	-0.00428	1.498	87.42	77.50	1.500	88.00	
77.50	1.500	90.00	69.61	27.85	13.86	0.06065	-0.00370	1.500	89.50	77.50	1.500	90.00	
77.50	1.500	92.00	67.71	27.08	13.38	0.06862	-0.00340	1.502	91.55	77.50	1.500	92.00	
77.50	1.500	94.00	64.20	25.68	12.62	0.00599	-0.00319	1.504	93.59	77.50	1.500	94.00	
77.50	1.500	96.00	63.22	25.29	12.49	0.06118	-0.00286	1.506	95.63	77.50	1.500	96.00	
77.50	1.500	99.00	63.30	25.32	12.10	0.07002	-0.00533	1.509	98.66	77.50	1.500	99.00	
77.50	1.500	102.00	63.78	25.51	12.05	0.05880	-0.00191	1.513	101.65	77.50	1.500	102.00	
77.50	1.500	105.00	63.83	25.53	11.88	0.06919	-0.00418	1.516	104.63	77.50	1.500	105.00	
77.50	1.500	110.00	63.70	25.48	11.57	0.03113	-0.00397	1.519	109.53	77.50	1.500	110.00	
77.50	1.500	115.00	63.09	25.24	11.25	0.08777	-0.00376	1.519	114.42	77.50	1.500	115.00	
77.50	1.500	120.00	62.24	24.90	10.97	0.07737	-0.00491	1.517	119.28	77.50	1.500	120.00	
77.50	1.500	125.00	61.63	24.65	10.97	0.07768	-0.00029	1.514	124.16	77.50	1.500	125.00	
77.50	1.500	130.00	60.91	24.36	10.90	-0.02010	0.00083	1.510	129.05	77.50	1.500	130.00	
77.50	1.500	135.00	60.15	24.06	10.49	0.05514	-0.00143	1.506	133.98	77.50	1.500	135.00	
77.50	1.500	140.00	59.76	23.90	10.36	0.06261	-0.00506	1.503	138.94	77.50	1.500	140.00	
77.50	1.500	145.00	59.63	23.85	10.19	0.03184	-0.00328	1.498	143.92	77.50	1.500	145.00	
77.50	1.500	150.00	60.14	24.05	10.42	0.05082	0.00024	1.494	148.88	77.50	1.500	150.00	
77.50	1.500	155.00	60.36	24.15	10.31	0.03445	-0.00172	1.490	153.86	77.50	1.500	155.00	
77.50	1.500	160.00	60.86	24.34	10.28	0.04370	-0.00110	1.487	158.85	77.50	1.500	160.00	
77.50	1.500	165.00	61.29	24.52	10.15	0.07742	-0.00218	1.483	163.89	77.50	1.500	165.00	
77.50	1.500	170.00	61.67	24.67	10.13	0.06592	-0.00228	1.481	168.96	77.50	1.500	170.00	
77.50	1.500	175.00	62.11	24.84	10.32	0.04589	-0.00087	1.480	174.14	77.50	1.500	175.00	
77.50	1.500	180.00	61.96	24.79	10.31	0.05554	-0.00191	1.479	179.36	77.50	1.500	180.00	
77.50	1.500	185.00	61.40	24.56	10.02	0.07707	-0.00371	1.480	184.52	77.50	1.500	185.00	
77.50	1.500	190.00	61.15	24.46	10.20	0.03609	-0.00175	1.482	189.72	77.50	1.500	190.00	
77.50	1.500	195.00	60.64	24.26	10.33	0.01070	-0.00003	1.485	194.93	77.50	1.500	195.00	
77.50	1.500	200.00	59.86	23.95	10.28	0.01179	0.00057	1.489	200.10	77.50	1.500	200.00	
77.50	1.500	205.00	58.97	23.59	10.09	0.04788	-0.00065	1.494	205.27	77.50	1.500	205.00	
77.50	1.500	210.00	58.38	23.35	10.11	0.06440	-0.00251	1.499	210.35	77.50	1.500	210.00	
77.50	1.501	215.00	58.16	23.27	10.24	0.01954	-0.00078	1.504	215.36	77.50	1.500	215.00	
77.50	1.500	220.00	58.32	23.33	10.48	0.04825	-0.00037	1.509	220.19	77.50	1.500	220.00	
77.50	1.500	225.00	58.61	23.44	10.61	0.00565	0.00058	1.514	225.03	77.50	1.500	225.00	
77.50	1.500	230.00	58.99	23.60	10.62	0.05569	0.00025	1.517	229.89	77.50	1.500	230.00	
77.50	1.500	235.00	59.81	23.93	10.87	0.05183	-0.00083	1.520	234.71	77.50	1.500	235.00	
77.50	1.500	240.00	60.61	24.24	10.99	0.05657	-0.00132	1.521	239.53	77.50	1.500	240.00	
