Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
24.99	2.000	0.00	1340.35	536.14	22.43	-0.18049	0.00131	2.080	-0.23	25.00	2.000	0.00
25.00	2.000	5.00	1323.35	529.34	20.29	0.02140	0.00042	2.082	4.74	25.00	2.000	5.00
25.00	2.000	10.00	1328.97	531.59	20.68	-0.10797	0.00108	2.082	9.68	25.00	2.000	10.00
25.00	2.000	15.00	1335.95	534.38	21.28	-0.10321	0.00136	2.080	14.59	25.00	2.000	15.00
25.01	2.000	20.00	1343.11	537.24	21.31	-0.07462	0.00151	2.078	19.46	25.00	2.000	20.00
25.00	2.000	25.00	1349.68	539.87	21.20	-0.03898	0.00152	2.074	24.33	25.00	2.000	25.00
25.00	2.000	30.00	1354.34	541.74	20.22	-0.06659	0.00149	2.069	29.18	25.00	2.000	30.00
25.00	2.000	35.00	1369.06	547.63	20.05	-0.06186	0.00157	2.062	34.04	25.00	2.000	35.00
25.00	2.000	40.00	1385.48	554.19	19.52	-0.02786	0.00156	2.054	38.89	25.00	2.000	40.00
25.00	2.000	45.00	1410.23	564.09	19.41	-0.06620	0.00150	2.044	43.76	25.00	2.000	45.00
25.00	2.000	50.00	1437.59	575.04	18.81	-0.09506	0.00143	2.034	48.65	25.00	2.000	50.00
25.00	2.000	55.00	1475.84	590.34	18.34	-0.05043	0.00128	2.023	53.59	25.00	2.000	55.00
25.00	2.000	60.00	1526.06	610.42	18.17	-0.05760	0.00116	2.013	58.59	25.00	2.000	60.00
25.00	2.000	65.00	1588.48	635.39	17.67	-0.16347	0.00105	2.004	63.62	25.00	2.000	65.00
25.03	2.000	70.00	1678.08	671.23	17.28	-0.04167	0.00076	1.995	68.68	25.00	2.000	70.00
25.00	2.000	75.00	1799.77	719.91	17.21	-0.09021	0.00062	1.988	73.80	25.00	2.000	75.00
24.99	2.000	78.00	1900.99	760.40	17.51	-0.07723	0.00056	1.984	76.91	25.00	2.000	78.00
24.98	2.000	81.00	2031.50	812.60	17.83	-0.12578	0.00042	1.981	80.01	25.00	2.000	81.00
25.00	2.000	84.00	2200.60	880.24	18.89	-0.07990	0.00031	1.978	83.08	25.00	2.000	84.00
24.99	2.000	86.00	--	--	--	--	--	1.977	85.22	25.00	2.000	86.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	25.00	2.000	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	2.000	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	2.000	92.00	Measurement skipped. (Current limit exceeded.)
24.99	2.000	94.00	--	--	--	--	--	1.973	93.30	25.00	2.000	94.00	Current limit exceeded.
25.00	2.000	96.00	2241.06	896.43	18.83	-0.14550	0.00001	1.974	95.58	25.00	2.000	96.00
25.00	2.000	99.00	2090.82	836.33	18.99	-0.09874	0.00002	1.970	98.56	25.00	2.000	99.00
25.00	2.000	102.00	1950.53	780.21	18.69	-0.14060	0.00006	1.983	101.60	25.00	2.000	102.00
