Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
25.00	2.000	105.00	1844.51	737.80	18.06	-0.11421	0.00001	1.987	104.57	25.00	2.000	105.00
24.99	2.000	110.00	1718.51	687.40	18.18	-0.04106	-0.00020	1.985	109.49	25.00	2.000	110.00
25.00	2.000	115.00	1633.06	653.23	18.61	-0.05130	-0.00015	1.982	114.44	25.00	2.000	115.00
25.00	2.000	120.00	1564.05	625.62	18.90	-0.08958	-0.00013	1.980	119.37	25.00	2.000	120.00
25.00	2.000	125.00	1515.00	606.00	19.25	-0.09741	0.00003	1.978	124.33	25.00	2.000	125.00
25.00	2.000	130.00	1468.68	587.47	19.48	-0.04063	0.00005	1.977	129.29	25.00	2.000	130.00
24.99	2.000	135.00	1443.92	577.57	19.84	-0.06487	0.00023	1.973	134.29	25.00	2.000	135.00
25.00	2.000	140.00	1419.86	567.94	20.28	-0.11217	0.00042	1.971	139.28	25.00	2.000	140.00
25.00	2.000	145.00	1400.76	560.30	20.72	-0.10723	0.00053	1.967	144.30	25.00	2.000	145.00
25.00	2.000	150.00	1390.77	556.31	21.92	-0.16311	0.00072	1.965	149.32	25.00	2.000	150.00
25.00	2.000	155.00	1372.99	549.20	21.57	-0.11779	0.00082	1.963	154.30	25.00	2.000	155.00
25.00	2.000	160.00	1362.62	545.05	21.88	-0.15289	0.00097	1.963	159.33	25.00	2.000	160.00
25.00	2.000	165.00	1351.57	540.63	21.64	-0.10617	0.00090	1.962	164.36	25.00	2.000	165.00
25.00	2.000	170.00	1344.00	537.60	21.45	-0.16536	0.00082	1.961	169.43	25.00	2.000	170.00
25.00	2.000	175.00	1334.26	533.70	20.71	-0.06302	0.00063	1.960	174.58	25.00	2.000	175.00
25.00	2.000	180.00	1319.65	527.86	18.44	0.03092	0.00019	1.960	179.80	25.00	2.000	180.00
25.00	2.000	185.00	1333.38	533.35	19.96	-0.04276	0.00075	1.961	184.96	25.00	2.000	185.00
25.00	2.000	190.00	1339.58	535.83	20.66	-0.10212	0.00134	1.963	190.11	25.00	2.000	190.00
25.01	2.000	195.00	1345.81	538.32	21.37	-0.21553	0.00186	1.967	195.27	25.00	2.000	195.00
25.01	2.000	200.00	1346.17	538.47	20.94	-0.19475	0.00190	1.971	200.37	25.00	2.000	200.00
25.01	2.000	205.00	1354.67	541.87	20.98	-0.19993	0.00217	1.976	205.42	25.00	2.000	205.00
25.01	2.000	210.00	1367.03	546.81	21.64	-0.19510	0.00226	1.982	210.46	25.00	2.000	210.00
25.01	2.000	215.00	1375.34	550.13	20.84	-0.13624	0.00225	1.989	215.45	25.00	2.000	215.00
25.00	2.000	220.00	1386.91	554.77	20.07	-0.12415	0.00220	1.996	220.37	25.00	2.000	220.00
25.01	2.000	225.00	1418.40	567.36	20.03	-0.16539	0.00224	2.002	225.24	25.00	2.000	225.00
25.00	2.000	230.00	1446.81	578.73	19.76	-0.13452	0.00208	2.007	230.12	25.00	2.000	230.00
25.00	2.000	235.00	1480.78	592.31	18.86	-0.16898	0.00204	2.011	234.97	25.00	2.000	235.00
25.01	2.000	240.00	1526.54	610.62	18.37	-0.15578	0.00193	2.014	239.81	25.00	2.000	240.00
