Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
55.00	0.049	0.00	1081.10	432.44	21.99	0.13698	0.00062	0.051	-0.47	55.00	0.050	0.00	
55.00	0.049	5.00	1080.36	432.15	22.06	0.10672	0.00007	0.053	3.71	55.00	0.050	5.00	
55.01	0.050	10.00	1074.93	429.97	21.03	0.00892	0.00004	0.053	8.80	55.00	0.050	10.00	
55.00	0.050	15.00	1076.39	430.56	21.17	0.02455	-0.00010	0.052	13.51	55.00	0.050	15.00	
55.00	0.050	20.00	1079.08	431.63	21.47	0.03054	0.00002	0.052	18.45	55.00	0.050	20.00	
55.01	0.050	25.00	1078.84	431.54	21.21	0.00915	0.00008	0.051	23.20	55.00	0.050	25.00	
55.00	0.051	30.00	1085.19	434.08	21.86	0.05003	0.00014	0.051	28.07	55.00	0.050	30.00	
55.00	0.050	35.00	1083.98	433.59	21.56	0.02016	-0.00003	0.051	32.92	55.00	0.050	35.00	
55.00	0.050	40.00	1087.51	435.00	21.67	0.04929	0.00006	0.050	37.63	55.00	0.050	40.00	
55.00	0.050	45.00	1091.45	436.58	22.17	0.03604	0.00007	0.050	42.60	55.00	0.050	45.00	
55.00	0.051	50.00	1093.72	437.49	22.19	0.00035	0.00006	0.050	47.50	55.00	0.050	50.00	
55.00	0.050	55.00	1095.68	438.27	22.35	-0.00347	0.00006	0.049	52.51	55.00	0.050	55.00	
55.00	0.050	60.00	1096.30	438.52	22.08	0.01281	-0.00001	0.049	57.51	55.00	0.050	60.00	
55.00	0.050	65.00	1096.71	438.68	21.60	0.06894	-0.00006	0.048	62.66	55.00	0.050	65.00	
55.00	0.050	70.00	1099.38	439.75	21.82	-0.00744	-0.00010	0.048	67.98	55.00	0.050	70.00	
55.00	0.050	75.00	1099.72	439.89	21.70	0.03383	-0.00021	0.049	73.14	55.00	0.050	75.00	
55.00	0.050	78.00	1099.29	439.72	21.51	0.02727	-0.00022	0.049	76.58	55.00	0.050	78.00	
55.00	0.051	81.00	1099.81	439.92	21.62	0.02015	-0.00022	0.048	79.92	55.00	0.050	81.00	
55.00	0.050	84.00	1101.05	440.42	21.79	0.05241	-0.00033	0.049	83.05	55.00	0.050	84.00	
55.00	0.050	86.00	1098.59	439.43	21.34	0.04695	-0.00035	0.049	85.26	55.00	0.050	86.00	
55.00	0.050	88.00	1100.81	440.32	21.75	0.01820	-0.00033	0.049	87.39	55.00	0.050	88.00	
55.00	0.050	90.00	1100.72	440.29	21.72	0.00852	-0.00028	0.048	89.70	55.00	0.050	90.00	
55.00	0.050	92.00	1099.33	439.73	21.39	-0.00656	-0.00036	0.049	91.71	55.00	0.050	92.00	
55.00	0.050	94.00	1101.36	440.54	21.87	0.01278	-0.00024	0.049	93.79	55.00	0.050	94.00	
55.00	0.050	96.00	1100.94	440.38	21.83	0.07665	-0.00038	0.049	96.00	55.00	0.050	96.00	
55.00	0.050	99.00	1101.21	440.48	21.98	0.05282	-0.00026	0.049	98.93	55.00	0.050	99.00	
55.00	0.050	102.00	1099.10	439.64	21.64	0.04965	-0.00037	0.049	102.20	55.00	0.050	102.00	
55.00	0.050	105.00	1098.54	439.42	21.67	0.00947	-0.00032	0.049	105.12	55.00	0.050	105.00	
55.00	0.050	110.00	1096.98	438.79	21.65	0.00443	-0.00039	0.049	110.36	55.00	0.050	110.00	
55.00	0.049	115.00	1094.08	437.63	21.41	0.07286	-0.00042	0.050	115.13	55.00	0.050	115.00	
55.01	0.050	120.00	1096.71	438.69	22.24	-0.00177	-0.00026	0.050	120.32	55.00	0.050	120.00	
55.00	0.050	125.00	1097.90	439.16	21.98	-0.01374	-0.00024	0.050	125.44	55.00	0.050	125.00	
54.99	0.050	130.00	1094.68	437.87	21.74	0.06622	-0.00016	0.050	130.39	55.00	0.050	130.00	
54.99	0.050	135.00	1093.82	437.53	22.06	0.01315	-0.00011	0.050	135.34	55.00	0.050	135.00	
54.99	0.050	140.00	1090.05	436.02	21.79	0.00836	-0.00016	0.050	140.75	55.00	0.050	140.00	
54.99	0.050	145.00	1091.71	436.68	22.34	0.00067	-0.00004	0.050	145.84	55.00	0.050	145.00	
54.99	0.050	150.00	1083.44	433.37	21.40	0.03858	-0.00038	0.050	150.89	55.00	0.050	150.00	
54.99	0.050	155.00	1084.96	433.99	21.33	0.02201	-0.00012	0.050	156.03	55.00	0.050	155.00	
55.00	0.050	160.00	1081.65	432.66	21.21	0.03414	-0.00013	0.051	160.94	55.00	0.050	160.00	
55.00	0.050	165.00	1080.57	432.23	21.52	0.07412	-0.00012	0.051	165.86	55.00	0.050	165.00	
55.00	0.050	170.00	1077.90	431.16	21.34	0.05063	-0.00009	0.051	170.98	55.00	0.050	170.00	
