Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
70.02	1.500	0.00	166.37	66.55	13.82	0.03752	0.00001	1.572	-0.38	70.00	1.500	0.00	
70.02	1.500	5.00	166.31	66.53	14.01	0.00342	0.00010	1.572	4.65	70.00	1.500	5.00	
70.00	1.500	10.00	165.20	66.08	13.95	0.05619	-0.00001	1.570	9.62	70.00	1.500	10.00	
70.00	1.500	15.00	163.37	65.35	13.68	0.05545	-0.00025	1.569	14.60	70.00	1.500	15.00	
70.00	1.500	20.00	161.80	64.72	13.80	0.05594	0.00021	1.566	19.53	70.00	1.500	20.00	
70.00	1.500	25.00	159.81	63.92	13.49	0.07140	-0.00021	1.562	24.44	70.00	1.500	25.00	
70.00	1.500	30.00	158.21	63.28	13.62	0.03926	-0.00011	1.558	29.28	70.00	1.500	30.00	
69.99	1.500	35.00	156.48	62.59	13.60	0.05244	0.00005	1.554	34.13	70.00	1.500	35.00	
70.00	1.500	40.00	155.12	62.05	13.60	0.03442	-0.00020	1.547	38.96	70.00	1.500	40.00	
70.00	1.499	45.00	154.00	61.60	13.54	0.05797	-0.00016	1.540	43.82	70.00	1.500	45.00	
70.00	1.500	50.00	152.90	61.16	13.48	0.06417	-0.00081	1.532	48.69	70.00	1.500	50.00	
70.00	1.500	55.00	153.18	61.27	14.09	0.03546	0.00034	1.524	53.61	70.00	1.500	55.00	
70.00	1.500	60.00	151.92	60.77	13.82	0.03464	-0.00079	1.514	58.57	70.00	1.500	60.00	
70.00	1.500	65.00	150.76	60.31	13.83	0.03646	-0.00103	1.507	63.60	70.00	1.500	65.00	
70.00	1.500	70.00	149.14	59.66	14.13	0.06709	-0.00050	1.500	68.71	70.00	1.500	70.00	
70.00	1.499	75.00	145.70	58.28	14.07	0.03964	-0.00081	1.496	73.88	70.00	1.500	75.00	
70.00	1.499	78.00	142.58	57.03	14.02	0.03710	-0.00137	1.495	76.99	70.00	1.500	78.00	
70.00	1.500	81.00	138.84	55.54	13.88	0.04251	-0.00162	1.495	80.10	70.00	1.500	81.00	
70.01	1.499	84.00	135.22	54.09	14.15	0.01608	-0.00074	1.496	83.23	70.00	1.500	84.00	
70.00	1.500	86.00	133.27	53.31	13.91	0.04484	-0.00136	1.497	85.31	70.00	1.500	86.00	
70.00	1.500	88.00	133.85	53.54	13.81	0.07191	-0.00076	1.498	87.39	70.00	1.500	88.00	
70.00	1.500	90.00	137.49	54.99	14.14	0.08706	-0.00189	1.500	89.46	70.00	1.500	90.00	
70.00	1.500	92.00	136.28	54.51	14.39	0.09478	-0.00160	1.502	91.50	70.00	1.500	92.00	
70.00	1.500	94.00	133.17	53.27	13.96	0.05164	-0.00125	1.504	93.55	70.00	1.500	94.00	
70.00	1.500	96.00	134.05	53.62	13.87	0.01934	-0.00063	1.506	95.59	70.00	1.500	96.00	
