Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
45.00	1.000	0.00	828.81	331.52	19.47	0.02495	0.00032	1.058	-0.02	45.00	1.000	0.00	
45.01	1.000	5.00	822.48	328.99	18.69	0.02627	-0.00008	1.060	5.01	45.00	1.000	5.00	
45.00	1.000	10.00	820.11	328.04	18.71	-0.02128	0.00015	1.060	10.02	45.00	1.000	10.00	
45.01	1.000	15.00	818.64	327.46	19.12	-0.01960	0.00063	1.059	14.97	45.00	1.000	15.00	
45.00	1.000	20.00	815.10	326.04	19.07	-0.02492	0.00076	1.058	19.86	45.00	1.000	20.00	
45.01	0.999	25.00	811.02	324.41	18.52	-0.00561	0.00064	1.055	24.70	45.00	1.000	25.00	
45.01	1.000	30.00	805.17	322.07	18.10	-0.00668	0.00055	1.050	29.49	45.00	1.000	30.00	
45.00	1.000	35.00	800.21	320.08	17.68	-0.02264	0.00055	1.045	34.25	45.00	1.000	35.00	
45.01	1.000	40.00	794.66	317.86	16.99	0.00956	0.00047	1.039	38.99	45.00	1.000	40.00	
45.01	1.000	45.00	791.33	316.53	16.52	0.02515	0.00036	1.030	43.76	45.00	1.000	45.00	
45.01	1.000	50.00	789.05	315.62	16.07	0.05522	0.00028	1.023	48.55	45.00	1.000	50.00	
45.01	1.000	55.00	787.76	315.10	15.55	0.03490	0.00027	1.014	53.44	45.00	1.000	55.00	
45.01	1.000	60.00	787.24	314.89	15.04	-0.03566	0.00030	1.006	58.41	45.00	1.000	60.00	
45.01	1.000	65.00	788.37	315.35	14.51	0.02492	0.00027	0.999	63.47	45.00	1.000	65.00	
45.00	1.000	70.00	788.49	315.39	13.54	0.06560	0.00014	0.994	68.61	45.00	1.000	70.00	
45.01	1.000	75.00	791.92	316.77	12.65	0.03392	0.00012	0.991	73.82	45.00	1.000	75.00	
45.01	1.000	78.00	798.24	319.30	12.10	-0.00252	0.00002	0.990	76.96	45.00	1.000	78.00	
45.01	1.000	81.00	810.17	324.07	11.25	0.00954	-0.00002	0.990	80.11	45.00	1.000	81.00	
45.01	1.000	84.00	843.43	337.37	10.90	0.04478	0.00003	0.991	83.25	45.00	1.000	84.00	
45.01	1.000	86.00	877.39	350.96	10.79	-0.03946	0.00005	0.992	85.35	45.00	1.000	86.00	
45.01	1.000	88.00	920.90	368.36	11.29	0.00186	0.00014	0.993	87.44	45.00	1.000	88.00	
45.01	1.001	90.00	943.70	377.48	11.61	-0.02455	0.00027	0.994	89.52	45.00	1.000	90.00	
45.01	1.000	92.00	929.33	371.73	11.29	0.00712	0.00014	0.995	91.58	45.00	1.000	92.00	
45.01	1.000	94.00	893.05	357.22	10.92	-0.03043	0.00019	0.997	93.64	45.00	1.000	94.00	
45.01	1.000	96.00	855.42	342.17	10.82	0.00594	0.00003	0.999	95.67	45.00	1.000	96.00	
45.01	1.000	99.00	820.40	328.16	11.31	0.04400	-0.00007	1.002	98.68	45.00	1.000	99.00	
45.00	1.000	102.00	803.58	321.43	11.87	0.03407	-0.00005	1.005	101.68	45.00	1.000	102.00	
45.01	1.000	105.00	797.88	319.15	12.54	0.08368	-0.00009	1.007	104.66	45.00	1.000	105.00	
45.01	1.000	110.00	796.82	318.73	13.62	0.02644	0.00006	1.010	109.57	45.00	1.000	110.00	
45.01	1.000	115.00	797.12	318.85	14.37	0.04991	-0.00010	1.012	114.45	45.00	1.000	115.00	
45.00	1.000	120.00	798.43	319.37	15.03	0.06739	-0.00002	1.013	119.32	45.00	1.000	120.00	
45.02	1.000	125.00	799.07	319.63	15.44	0.05448	0.00001	1.012	124.15	45.00	1.000	125.00	
44.98	1.000	130.00	805.10	322.04	16.70	-0.07821	0.00040	1.011	129.04	45.00	1.000	130.00	
44.99	1.000	135.00	808.85	323.54	17.27	-0.04661	0.00029	1.007	133.96	45.00	1.000	135.00	
45.00	1.000	140.00	812.66	325.06	17.79	0.00825	0.00038	1.004	138.93	45.00	1.000	140.00	
45.00	1.000	145.00	815.35	326.14	17.81	-0.02615	0.00052	1.002	143.96	45.00	1.000	145.00	
45.01	1.000	150.00	818.96	327.58	18.10	-0.00007	0.00045	0.999	149.00	45.00	1.000	150.00	
45.00	1.001	155.00	823.48	329.39	18.52	0.01952	0.00059	0.998	154.05	45.00	1.000	155.00	
45.01	1.000	160.00	828.75	331.50	19.22	0.00298	0.00046	0.997	159.10	45.00	1.000	160.00	
45.01	1.000	165.00	832.70	333.08	19.57	-0.09637	0.00073	0.996	164.19	45.00	1.000	165.00	
45.00	1.000	170.00	832.13	332.85	19.19	-0.02347	0.00048	0.995	169.35	45.00	1.000	170.00	
45.00	1.000	175.00	832.95	333.18	19.21	-0.00997	0.00018	0.994	174.56	45.00	1.000	175.00	
45.01	1.001	180.00	831.95	332.78	18.92	0.05444	-0.00016	0.994	179.78	45.00	1.000	180.00	
45.00	1.000	185.00	831.69	332.68	19.23	0.01896	0.00001	0.995	184.99	45.00	1.000	185.00	
45.00	1.000	190.00	828.98	331.59	19.08	-0.03668	0.00047	0.997	190.22	45.00	1.000	190.00	
45.01	1.000	195.00	821.71	328.68	18.55	-0.03190	0.00063	0.999	195.41	45.00	1.000	195.00	
45.00	1.000	200.00	818.43	327.37	18.94	-0.08141	0.00098	1.003	200.54	45.00	1.000	200.00	
45.01	1.000	205.00	811.46	324.58	18.55	-0.05407	0.00077	1.007	205.61	45.00	1.000	205.00	
45.00	1.000	210.00	805.17	322.07	17.92	-0.03316	0.00086	1.010	210.63	45.00	1.000	210.00	
45.00	1.000	215.00	800.50	320.20	17.50	-0.05079	0.00076	1.014	215.58	45.00	1.000	215.00	
45.00	1.000	220.00	797.39	318.96	17.22	-0.02138	0.00072	1.018	220.41	45.00	1.000	220.00	
45.00	1.000	225.00	793.26	317.30	16.51	0.01453	0.00067	1.020	225.21	45.00	1.000	225.00	
45.01	0.999	230.00	793.20	317.28	16.39	-0.07251	0.00059	1.022	230.00	45.00	1.000	230.00	
45.00	1.000	235.00	791.57	316.63	15.58	0.01127	0.00045	1.022	234.79	45.00	1.000	235.00	
45.01	1.000	240.00	794.61	317.84	15.36	0.02357	0.00041	1.022	239.59	45.00	1.000	240.00	
