Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.48	-0.000	0.00	362.24	144.90	27.18	0.01192	-0.00004	-0.001	-37.97	77.50	0.000	0.00	
77.52	0.000	5.00	362.72	145.09	27.35	0.02302	0.00001	-0.001	-11.62	77.50	0.000	5.00	
77.51	-0.000	10.00	363.23	145.29	27.25	0.03728	0.00004	-0.001	-14.50	77.50	0.000	10.00	
77.50	-0.000	15.00	364.13	145.65	28.11	0.07432	0.00011	-0.001	-20.50	77.50	0.000	15.00	
77.50	0.000	20.00	364.06	145.63	27.82	0.02410	0.00031	-0.001	-38.84	77.50	0.000	20.00	
77.51	-0.000	25.00	364.68	145.87	27.72	0.04488	0.00019	-0.000	-56.89	77.50	0.000	25.00	
77.50	-0.000	30.00	364.92	145.97	27.70	0.05197	0.00029	-0.001	-28.52	77.50	0.000	30.00	
77.50	-0.000	35.00	365.41	146.16	28.08	0.07512	0.00003	-0.001	-44.10	77.50	0.000	35.00	
77.50	0.000	40.00	365.00	146.00	27.61	0.06295	0.00016	0.001	97.30	77.50	0.000	40.00	
77.50	-0.000	45.00	365.16	146.07	28.02	0.06258	0.00016	-0.001	-34.55	77.50	0.000	45.00	
77.50	-0.001	50.00	365.20	146.08	28.31	0.02087	0.00026	-0.001	-18.63	77.50	0.000	50.00	
77.50	0.000	55.00	365.20	146.08	28.24	0.01767	0.00016	0.001	109.12	77.50	0.000	55.00	
77.50	-0.000	60.00	364.82	145.93	27.83	0.03976	0.00006	0.001	131.69	77.50	0.000	60.00	
77.50	0.000	65.00	365.00	146.00	27.94	0.05844	-0.00007	0.001	108.27	77.50	0.000	65.00	
77.50	-0.000	70.00	364.84	145.94	27.96	0.03890	0.00006	0.001	114.91	77.50	0.000	70.00	
77.50	-0.000	75.00	364.59	145.84	27.57	0.03869	-0.00014	0.001	110.31	77.50	0.000	75.00	
77.50	0.000	78.00	365.02	146.01	27.85	0.04162	0.00006	0.001	137.87	77.50	0.000	78.00	
77.50	-0.000	81.00	364.96	145.98	28.09	0.00882	-0.00002	0.001	124.62	77.50	0.000	81.00	
77.50	0.000	84.00	365.04	146.02	27.94	0.02535	-0.00028	0.001	111.26	77.50	0.000	84.00	
77.50	0.000	86.00	365.20	146.08	27.94	0.04244	-0.00009	0.001	112.29	77.50	0.000	86.00	
77.50	-0.000	88.00	365.45	146.18	28.27	0.03197	-0.00007	0.001	115.88	77.50	0.000	88.00	
77.50	-0.000	90.00	365.39	146.16	28.10	0.00441	-0.00012	0.001	117.06	77.50	0.000	90.00	
