Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
29.99	1.500	0.00	1250.51	500.20	20.78	-0.12725	0.00093	1.574	-0.63	30.00	1.500	0.00	
30.00	1.500	5.00	1236.85	494.74	19.29	0.00463	0.00014	1.575	4.36	30.00	1.500	5.00	
30.00	1.500	10.00	1238.32	495.33	19.44	-0.01776	0.00052	1.575	9.36	30.00	1.500	10.00	
30.00	1.500	15.00	1241.95	496.78	19.69	-0.08898	0.00082	1.575	14.29	30.00	1.500	15.00	
30.00	1.500	20.00	1246.56	498.63	20.00	-0.11672	0.00106	1.573	19.18	30.00	1.500	20.00	
30.00	1.500	25.00	1249.10	499.64	19.70	-0.11673	0.00104	1.569	24.03	30.00	1.500	25.00	
30.01	1.500	30.00	1251.13	500.45	18.98	-0.04597	0.00100	1.564	28.85	30.00	1.500	30.00	
30.00	1.500	35.00	1258.01	503.20	18.74	-0.03985	0.00090	1.557	33.66	30.00	1.500	35.00	
30.00	1.500	40.00	1266.39	506.55	18.13	-0.00049	0.00088	1.548	38.44	30.00	1.500	40.00	
30.00	1.500	45.00	1280.43	512.17	17.97	-0.07340	0.00089	1.538	43.25	30.00	1.500	45.00	
30.00	1.500	50.00	1296.84	518.74	17.25	0.01833	0.00078	1.528	48.10	30.00	1.500	50.00	
30.00	1.500	55.00	1320.58	528.23	16.88	-0.02767	0.00077	1.516	53.00	30.00	1.500	55.00	
30.00	1.500	60.00	1350.09	540.04	16.18	-0.05776	0.00067	1.506	57.98	30.00	1.500	60.00	
30.00	1.500	65.00	1390.99	556.40	15.81	-0.06274	0.00065	1.496	63.03	30.00	1.500	65.00	
30.00	1.500	70.00	1444.81	577.92	15.31	-0.01600	0.00050	1.489	68.13	30.00	1.500	70.00	
30.00	1.500	75.00	1522.60	609.04	14.88	-0.05384	0.00048	1.485	73.31	30.00	1.500	75.00	
30.00	1.500	78.00	1597.27	638.91	14.94	-0.08924	0.00045	1.481	76.42	30.00	1.500	78.00	
30.00	1.500	81.00	1685.63	674.25	14.83	-0.05262	0.00037	1.478	79.54	30.00	1.500	81.00	
29.99	1.500	84.00	1811.22	724.49	15.64	-0.08983	0.00037	1.476	82.66	30.00	1.500	84.00	
29.99	1.500	86.00	1900.49	760.19	16.28	-0.15622	0.00037	1.475	84.80	30.00	1.500	86.00	
29.99	1.500	88.00	1980.07	792.03	17.38	-0.17874	0.00028	1.473	86.87	30.00	1.500	88.00	
30.00	1.500	90.00	2022.78	809.11	17.93	-0.17545	0.00025	1.473	88.96	30.00	1.500	90.00	
29.99	1.500	92.00	2014.33	805.73	17.90	-0.16218	0.00025	1.473	91.04	30.00	1.500	92.00	
29.98	1.500	94.00	1960.87	784.35	17.23	-0.11653	0.00022	1.474	93.10	30.00	1.500	94.00	
29.98	1.500	96.00	1882.86	753.15	16.16	-0.09738	0.00012	1.476	95.14	30.00	1.500	96.00	
30.00	1.500	99.00	1766.82	706.73	15.72	-0.08100	0.00022	1.478	98.12	30.00	1.500	99.00	
30.00	1.500	102.00	1662.34	664.94	15.45	-0.08495	0.00022	1.481	101.11	30.00	1.500	102.00	
30.01	1.500	105.00	1585.07	634.03	15.49	-0.13841	0.00032	1.485	104.10	30.00	1.500	105.00	
30.01	1.500	110.00	1491.38	596.55	15.49	-0.01557	0.00000	1.489	109.01	30.00	1.500	110.00	
30.00	1.500	115.00	1431.73	572.69	16.32	-0.00370	0.00005	1.496	113.98	30.00	1.500	115.00	
30.00	1.500	120.00	1384.91	553.97	16.67	0.01822	0.00015	1.500	118.89	30.00	1.500	120.00	
30.00	1.500	125.00	1354.87	541.95	17.38	-0.02648	0.00019	1.499	123.78	30.00	1.500	125.00	
30.00	1.500	130.00	1328.39	531.35	17.71	-0.02725	0.00022	1.498	128.69	30.00	1.500	130.00	
30.00	1.500	135.00	1309.82	523.93	18.24	-0.10116	0.00036	1.494	133.66	30.00	1.500	135.00	
29.99	1.500	140.00	1295.89	518.36	18.68	-0.05539	0.00044	1.490	138.65	30.00	1.500	140.00	
29.99	1.500	145.00	1284.95	513.98	19.16	-0.04178	0.00044	1.487	143.68	30.00	1.500	145.00	
29.99	1.500	150.00	1273.70	509.48	19.20	-0.10724	0.00058	1.482	148.71	30.00	1.500	150.00	
30.00	1.500	155.00	1273.73	509.49	20.30	-0.07814	0.00070	1.483	153.74	30.00	1.500	155.00	
30.00	1.500	160.00	1264.58	505.83	19.93	-0.18105	0.00070	1.482	158.78	30.00	1.500	160.00	
30.01	1.500	165.00	1262.02	504.81	20.38	-0.08366	0.00065	1.481	163.84	30.00	1.500	165.00	
30.01	1.500	170.00	1252.05	500.82	19.58	-0.16907	0.00046	1.479	168.93	30.00	1.500	170.00	
30.01	1.500	175.00	1248.31	499.32	19.54	-0.09994	0.00018	1.479	174.11	30.00	1.500	175.00	
30.00	1.500	180.00	1244.98	497.99	19.26	-0.00061	-0.00004	1.479	179.35	30.00	1.500	180.00	
30.00	1.500	185.00	1243.77	497.51	19.10	-0.00474	0.00007	1.480	184.52	30.00	1.500	185.00	
30.01	1.500	190.00	1246.13	498.45	19.16	-0.01567	0.00052	1.482	189.67	30.00	1.500	190.00	
30.00	1.500	195.00	1249.99	500.00	19.72	-0.05423	0.00087	1.486	194.87	30.00	1.500	195.00	
30.00	1.500	200.00	1251.68	500.67	19.92	-0.15156	0.00123	1.490	200.00	30.00	1.500	200.00	
30.00	1.500	205.00	1255.06	502.03	19.90	-0.14948	0.00135	1.495	205.08	30.00	1.500	205.00	
30.00	1.500	210.00	1249.61	499.84	18.09	-0.16597	0.00132	1.500	210.11	30.00	1.500	210.00	
30.00	1.500	215.00	1267.98	507.19	19.42	-0.16552	0.00146	1.505	215.09	30.00	1.500	215.00	
30.00	1.500	220.00	1272.58	509.03	18.85	-0.05398	0.00125	1.510	219.96	30.00	1.500	220.00	
30.01	1.500	225.00	1284.12	513.65	18.35	-0.10574	0.00132	1.515	224.81	30.00	1.500	225.00	
30.01	1.500	230.00	1297.20	518.88	17.36	-0.10289	0.00129	1.518	229.65	30.00	1.500	230.00	
30.00	1.500	235.00	1320.58	528.23	17.08	-0.11714	0.00122	1.521	234.46	30.00	1.500	235.00	
30.00	1.500	240.00	1346.34	538.54	15.75	-0.09183	0.00112	1.522	239.29	30.00	1.500	240.00	
