Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	0.300	0.00	158.67	63.47	15.69	-0.04031	0.00075	0.316	-0.16	77.50	0.300	0.00	
77.51	0.300	5.00	159.22	63.69	15.85	0.07954	0.00046	0.316	4.91	77.50	0.300	5.00	
77.51	0.300	10.00	159.25	63.70	16.00	0.00274	0.00031	0.316	9.89	77.50	0.300	10.00	
77.50	0.300	15.00	158.95	63.58	15.89	0.01266	0.00044	0.316	14.92	77.50	0.300	15.00	
77.50	0.300	20.00	158.43	63.37	15.47	0.04379	-0.00011	0.315	19.86	77.50	0.300	20.00	
77.50	0.300	25.00	158.08	63.23	15.29	0.07239	-0.00030	0.315	24.78	77.50	0.300	25.00	
77.50	0.300	30.00	158.46	63.39	15.48	0.01541	0.00048	0.314	29.67	77.50	0.300	30.00	
77.50	0.300	35.00	158.83	63.53	15.60	0.05812	0.00035	0.313	34.52	77.50	0.300	35.00	
77.49	0.300	40.00	158.78	63.51	15.28	0.02619	0.00003	0.312	39.30	77.50	0.300	40.00	
77.49	0.300	45.00	159.38	63.75	15.26	0.07347	-0.00044	0.310	44.11	77.50	0.300	45.00	
77.50	0.300	50.00	160.71	64.28	15.39	0.05108	-0.00037	0.308	48.94	77.50	0.300	50.00	
77.50	0.300	55.00	162.33	64.93	15.36	0.04648	-0.00061	0.306	53.81	77.50	0.300	55.00	
77.50	0.300	60.00	164.63	65.85	15.65	0.01885	0.00013	0.303	58.74	77.50	0.300	60.00	
77.50	0.300	65.00	166.81	66.72	15.64	-0.00239	-0.00021	0.301	63.78	77.50	0.300	65.00	
77.49	0.301	70.00	169.87	67.95	15.98	0.02967	-0.00018	0.301	68.89	77.50	0.300	70.00	
77.50	0.300	75.00	173.51	69.40	16.09	0.05572	-0.00007	0.300	74.03	77.50	0.300	75.00	
77.50	0.300	78.00	176.75	70.70	16.36	0.03419	-0.00012	0.300	77.13	77.50	0.300	78.00	
77.50	0.300	81.00	181.47	72.59	16.75	0.02980	0.00030	0.300	80.25	77.50	0.300	81.00	
77.50	0.300	84.00	188.53	75.41	17.51	0.02763	-0.00023	0.300	83.35	77.50	0.300	84.00	
77.50	0.300	86.00	195.48	78.19	18.31	0.05356	-0.00039	0.300	85.45	77.50	0.300	86.00	
77.50	0.300	88.00	203.73	81.49	19.27	0.05476	-0.00012	0.301	87.45	77.50	0.300	88.00	
77.50	0.300	90.00	208.29	83.32	19.97	0.02349	0.00050	0.301	89.51	77.50	0.300	90.00	
77.51	0.300	92.00	206.68	82.67	20.11	0.05517	-0.00015	0.301	91.55	77.50	0.300	92.00	
77.50	0.300	94.00	198.93	79.57	18.38	0.00841	-0.00003	0.302	93.59	77.50	0.300	94.00	
77.50	0.299	96.00	192.04	76.81	17.92	-0.03325	0.00111	0.302	95.64	77.50	0.300	96.00	
77.50	0.300	99.00	183.30	73.32	17.07	0.03053	0.00035	0.304	98.64	77.50	0.300	99.00	
77.50	0.299	102.00	178.08	71.23	16.33	0.04405	-0.00088	0.305	101.61	77.50	0.300	102.00	
77.50	0.301	105.00	175.74	70.30	16.58	-0.00965	0.00011	0.306	104.60	77.50	0.300	105.00	
77.50	0.300	110.00	172.28	68.91	16.24	0.00442	0.00044	0.307	109.47	77.50	0.300	110.00	
77.50	0.300	115.00	169.91	67.96	15.80	0.00539	-0.00019	0.308	114.34	77.50	0.300	115.00	
77.50	0.300	120.00	167.87	67.15	15.80	0.08590	-0.00105	0.308	119.25	77.50	0.300	120.00	
77.50	0.299	125.00	166.31	66.53	15.82	0.01572	-0.00036	0.308	124.13	77.50	0.300	125.00	
77.50	0.300	130.00	164.44	65.78	15.60	0.02107	-0.00002	0.308	128.99	77.50	0.300	130.00	
77.50	0.300	135.00	164.15	65.66	16.01	-0.02964	0.00101	0.308	133.98	77.50	0.300	135.00	
77.50	0.300	140.00	162.58	65.03	15.53	-0.00388	-0.00021	0.307	138.97	77.50	0.300	140.00	
77.50	0.300	145.00	162.89	65.16	16.22	0.01833	0.00166	0.307	143.98	77.50	0.300	145.00	
77.50	0.300	150.00	161.57	64.63	15.45	0.05330	-0.00090	0.306	149.01	77.50	0.300	150.00	
77.50	0.299	155.00	162.09	64.83	15.80	0.03791	-0.00008	0.305	153.96	77.50	0.300	155.00	
77.50	0.300	160.00	162.71	65.09	16.38	0.00441	0.00108	0.305	158.94	77.50	0.300	160.00	
77.50	0.300	165.00	162.23	64.89	15.93	0.03203	-0.00049	0.304	164.00	77.50	0.300	165.00	
77.50	0.300	170.00	162.73	65.09	16.24	0.02027	0.00074	0.304	169.05	77.50	0.300	170.00	
77.50	0.300	175.00	162.43	64.97	16.16	0.07566	0.00009	0.305	174.18	77.50	0.300	175.00	
