Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
45.00	7.000	0.00	277.94	111.17	15.60	-0.48796	0.02410	7.121	-0.11	45.00	7.000	0.00	
45.00	7.000	5.00	274.11	109.64	14.48	-0.21889	0.02004	7.122	4.81	45.00	7.000	5.00	
45.00	7.000	10.00	273.58	109.43	14.32	-0.31074	0.02429	7.120	9.71	45.00	7.000	10.00	
44.99	7.000	15.00	274.79	109.92	14.66	-0.33021	0.02797	7.117	14.60	45.00	7.000	15.00	
45.00	7.000	20.00	278.82	111.53	16.34	-0.23313	0.03147	7.112	19.51	45.00	7.000	20.00	
45.00	7.000	25.00	281.85	112.74	18.18	-0.28293	0.03383	7.105	24.43	45.00	7.000	25.00	
45.00	7.000	30.00	281.75	112.70	16.63	-0.32430	0.03376	7.097	29.33	45.00	7.000	30.00	
45.00	7.000	35.00	286.05	114.42	17.58	-0.33453	0.03456	7.088	34.25	45.00	7.000	35.00	
45.00	7.000	40.00	288.73	115.49	16.78	-0.45426	0.03348	7.078	39.15	45.00	7.000	40.00	
45.00	7.000	45.00	294.29	117.72	17.57	-0.47679	0.03347	7.066	44.08	45.00	7.000	45.00	
45.01	7.000	50.00	297.83	119.13	17.42	-0.54109	0.03178	7.052	49.00	45.00	7.000	50.00	
45.01	7.000	55.00	299.48	119.79	16.28	-0.51806	0.02881	7.038	53.95	45.00	7.000	55.00	
45.01	7.000	60.00	299.78	119.91	15.38	-0.54053	0.02465	7.027	58.93	45.00	7.000	60.00	
44.99	7.000	65.00	295.00	118.00	13.44	-0.27975	0.01644	7.016	63.93	45.00	7.000	65.00	
45.01	7.000	70.00	293.21	117.28	13.37	-0.05157	0.00836	7.004	68.93	45.00	7.000	70.00	
45.01	7.000	75.00	290.34	116.13	13.56	0.10964	0.00384	6.995	73.93	45.00	7.000	75.00	
45.00	7.000	78.00	284.05	113.62	12.68	0.13999	0.00145	6.990	76.94	45.00	7.000	78.00	
44.98	7.000	81.00	277.70	111.08	11.83	0.17122	-0.00015	6.985	79.95	45.00	7.000	81.00	
45.00	7.000	84.00	273.30	109.32	9.94	0.24939	-0.00140	6.979	82.98	45.00	7.000	84.00	
45.00	7.000	86.00	283.70	113.48	8.22	0.25200	-0.00264	6.978	85.02	45.00	7.000	86.00	
45.00	7.000	88.00	349.22	139.69	7.14	0.26317	-0.00285	6.975	87.06	45.00	7.000	88.00	
45.01	7.000	90.00	543.30	217.32	8.01	0.18802	-0.00276	6.973	89.22	45.00	7.000	90.00	
45.00	7.000	92.00	455.08	182.03	8.02	0.17950	-0.00348	6.970	91.32	45.00	7.000	92.00	
45.00	7.000	94.00	314.98	125.99	7.83	0.19617	-0.00504	6.969	93.42	45.00	7.000	94.00	
45.00	7.000	96.00	279.51	111.81	9.24	0.26276	-0.00560	6.970	95.37	45.00	7.000	96.00	
45.00	7.000	99.00	277.92	111.17	11.63	0.23920	-0.00569	6.969	98.42	45.00	7.000	99.00	
45.00	7.000	102.00	286.41	114.56	13.27	0.14542	-0.00641	6.966	101.51	45.00	7.000	102.00	
45.00	7.000	105.00	294.84	117.94	14.41	0.20567	-0.00662	6.961	104.40	45.00	7.000	105.00	
44.99	7.000	110.00	303.36	121.34	15.69	0.19771	-0.00794	6.947	109.30	45.00	7.000	110.00	
44.99	7.000	115.00	307.01	122.80	16.60	0.11785	-0.00785	6.929	114.24	45.00	7.000	115.00	
44.99	7.000	120.00	306.47	122.59	16.57	0.10024	-0.00694	6.909	119.18	45.00	7.000	120.00	
44.98	7.000	125.00	304.10	121.64	16.59	0.01289	-0.00547	6.889	124.13	45.00	7.000	125.00	
45.00	7.000	130.00	300.70	120.28	16.53	-0.04974	-0.00345	6.869	129.12	45.00	7.000	130.00	
45.00	7.000	135.00	297.34	118.94	16.80	-0.04893	-0.00136	6.851	134.12	45.00	7.000	135.00	
44.99	7.000	140.00	291.86	116.74	15.98	-0.05022	0.00097	6.834	139.14	45.00	7.000	140.00	
45.00	7.000	145.00	287.85	115.14	15.87	-0.04392	0.00302	6.818	144.18	45.00	7.000	145.00	
45.01	7.000	150.00	285.13	114.05	16.07	-0.10209	0.00606	6.804	149.22	45.00	7.000	150.00	
45.00	7.000	155.00	282.10	112.84	15.55	-0.06226	0.00814	6.793	154.19	45.00	7.000	155.00	
45.00	7.000	160.00	280.66	112.26	15.56	-0.01385	0.01040	6.783	159.15	45.00	7.000	160.00	
45.00	7.000	165.00	278.93	111.57	15.12	0.03711	0.01258	6.775	164.13	45.00	7.000	165.00	
45.00	7.000	170.00	277.18	110.87	14.83	0.02462	0.01434	6.767	169.17	45.00	7.000	170.00	
45.00	7.000	175.00	276.32	110.53	14.82	-0.05252	0.01678	6.759	174.30	45.00	7.000	175.00	
44.99	7.000	180.00	272.57	109.03	13.49	0.02616	0.01759	6.753	179.56	45.00	7.000	180.00	
44.99	7.000	185.00	274.87	109.95	14.43	-0.03414	0.02131	6.752	184.74	45.00	7.000	185.00	
45.00	7.000	190.00	276.91	110.76	15.29	0.01821	0.02513	6.754	189.89	45.00	7.000	190.00	
45.00	7.000	195.00	277.86	111.15	16.53	0.00336	0.02802	6.759	195.03	45.00	7.000	195.00	
45.00	7.000	200.00	279.22	111.69	17.36	-0.00883	0.02981	6.766	200.16	45.00	7.000	200.00	
45.00	7.000	205.00	280.64	112.26	17.66	-0.14479	0.03206	6.776	205.26	45.00	7.000	205.00	
45.00	7.000	210.00	281.82	112.73	16.54	-0.03823	0.03252	6.788	210.36	45.00	7.000	210.00	
45.00	7.000	215.00	287.08	114.83	18.11	-0.07712	0.03292	6.803	215.42	45.00	7.000	215.00	
44.99	7.000	220.00	290.33	116.13	17.81	-0.14911	0.03140	6.820	220.40	45.00	7.000	220.00	
45.00	7.000	225.00	295.97	118.39	19.78	-0.26019	0.03313	6.837	225.36	45.00	7.000	225.00	
45.00	7.000	230.00	300.58	120.23	20.34	-0.20508	0.03149	6.856	230.31	45.00	7.000	230.00	
44.99	7.000	235.00	301.24	120.50	18.06	-0.25113	0.02942	6.875	235.24	45.00	7.000	235.00	
45.00	7.000	240.00	304.53	121.81	18.79	-0.37541	0.02771	6.894	240.16	45.00	7.000	240.00	
