Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
55.00	0.300	0.00	814.10	325.64	21.02	-0.11126	0.00070	0.316	-0.06	55.00	0.300	0.00	
55.00	0.300	5.00	809.23	323.69	20.15	-0.08714	0.00005	0.317	4.87	55.00	0.300	5.00	
55.01	0.301	10.00	809.26	323.70	20.28	0.09009	0.00019	0.317	9.90	55.00	0.300	10.00	
55.00	0.300	15.00	804.17	321.67	19.44	0.06841	-0.00010	0.317	14.87	55.00	0.300	15.00	
55.00	0.300	20.00	804.09	321.63	19.57	-0.00313	0.00016	0.316	19.80	55.00	0.300	20.00	
55.00	0.300	25.00	804.32	321.73	19.90	-0.04533	0.00040	0.315	24.65	55.00	0.300	25.00	
55.00	0.300	30.00	803.36	321.34	19.76	-0.07316	0.00054	0.313	29.47	55.00	0.300	30.00	
55.00	0.301	35.00	799.81	319.93	19.36	-0.07279	0.00046	0.313	34.27	55.00	0.300	35.00	
55.00	0.300	40.00	799.57	319.83	19.23	-0.04538	0.00062	0.311	39.02	55.00	0.300	40.00	
55.00	0.300	45.00	797.41	318.96	18.85	-0.00739	0.00045	0.308	43.82	55.00	0.300	45.00	
55.00	0.301	50.00	796.54	318.61	18.65	-0.04403	0.00051	0.307	48.64	55.00	0.300	50.00	
55.00	0.300	55.00	795.77	318.31	18.40	-0.02026	0.00053	0.304	53.54	55.00	0.300	55.00	
55.00	0.300	60.00	794.66	317.87	17.90	-0.01226	0.00050	0.302	58.48	55.00	0.300	60.00	
55.00	0.300	65.00	793.78	317.51	17.48	-0.02551	0.00044	0.300	63.53	55.00	0.300	65.00	
55.00	0.300	70.00	793.06	317.22	17.09	-0.05141	0.00042	0.298	68.69	55.00	0.300	70.00	
55.00	0.300	75.00	792.57	317.03	16.55	-0.03935	0.00043	0.298	73.85	55.00	0.300	75.00	
54.98	0.300	78.00	787.36	314.95	15.36	-0.03033	0.00006	0.298	77.07	55.00	0.300	78.00	
55.00	0.300	81.00	790.16	316.06	15.28	-0.00134	0.00019	0.297	80.23	55.00	0.300	81.00	
54.99	0.300	84.00	791.04	316.42	15.00	0.00186	0.00011	0.298	83.31	55.00	0.300	84.00	
55.00	0.300	86.00	792.23	316.89	14.74	-0.02922	-0.00013	0.298	85.50	55.00	0.300	86.00	
54.99	0.300	88.00	792.54	317.02	14.77	-0.01240	-0.00001	0.299	87.56	55.00	0.300	88.00	
55.00	0.300	90.00	790.04	316.01	14.47	0.01602	-0.00015	0.299	89.59	55.00	0.300	90.00	
54.99	0.300	92.00	790.39	316.15	14.66	-0.04650	-0.00009	0.300	91.63	55.00	0.300	92.00	
55.00	0.300	94.00	789.34	315.74	14.69	0.05839	-0.00021	0.300	93.72	55.00	0.300	94.00	
54.99	0.299	96.00	787.78	315.11	14.71	0.01289	-0.00006	0.301	95.73	55.00	0.300	96.00	
55.00	0.300	99.00	787.34	314.94	15.00	0.01330	0.00005	0.301	98.74	55.00	0.300	99.00	
54.98	0.300	102.00	787.22	314.89	15.35	-0.02285	0.00018	0.303	101.67	55.00	0.300	102.00	
55.00	0.300	105.00	790.11	316.04	16.14	0.01229	0.00007	0.303	104.71	55.00	0.300	105.00	
55.00	0.300	110.00	795.38	318.15	17.34	-0.09951	0.00014	0.304	109.58	55.00	0.300	110.00	
55.00	0.300	115.00	799.28	319.71	17.77	-0.11640	0.00069	0.305	114.53	55.00	0.300	115.00	
55.00	0.300	120.00	799.90	319.96	18.13	-0.09710	0.00055	0.305	119.46	55.00	0.300	120.00	
55.01	0.300	125.00	802.30	320.92	18.55	0.03520	0.00042	0.306	124.34	55.00	0.300	125.00	
55.01	0.300	130.00	806.09	322.44	19.42	-0.10747	0.00062	0.305	129.27	55.00	0.300	130.00	
54.98	0.300	135.00	805.37	322.15	19.19	-0.08545	0.00049	0.305	134.28	55.00	0.300	135.00	
54.99	0.300	140.00	805.81	322.32	19.40	-0.04782	0.00028	0.304	139.33	55.00	0.300	140.00	
54.98	0.300	145.00	807.96	323.18	19.83	-0.09560	0.00043	0.304	144.37	55.00	0.300	145.00	
55.01	0.300	150.00	809.98	323.99	20.35	-0.02453	0.00042	0.303	149.41	55.00	0.300	150.00	
55.00	0.300	155.00	812.57	325.03	21.15	-0.06102	0.00033	0.303	154.49	55.00	0.300	155.00	
55.00	0.300	160.00	810.81	324.32	20.34	-0.00908	0.00037	0.303	159.55	55.00	0.300	160.00	
55.00	0.300	165.00	810.09	324.03	20.61	-0.00021	0.00017	0.304	164.59	55.00	0.300	165.00	
55.00	0.300	170.00	809.58	323.83	20.49	-0.00290	0.00006	0.304	169.72	55.00	0.300	170.00	
