Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	5.000	0.00	8.07	3.23	4.44	0.06506	-0.02692	5.118	-0.51	77.50	5.000	0.00	
77.51	5.000	5.00	8.07	3.23	4.43	0.12274	-0.04055	5.117	4.50	77.50	5.000	5.00	
77.51	5.000	10.00	8.31	3.32	4.59	0.04869	0.00226	5.115	9.42	77.50	5.000	10.00	
77.50	5.000	15.00	8.31	3.32	4.52	0.21042	-0.02556	5.112	14.35	77.50	5.000	15.00	
77.51	5.000	20.00	8.50	3.40	4.54	0.06754	-0.02809	5.106	19.27	77.50	5.000	20.00	
77.50	5.000	25.00	8.63	3.45	4.41	0.16696	-0.07670	5.100	24.18	77.50	5.000	25.00	
77.50	5.000	30.00	9.27	3.71	4.63	0.07171	-0.03658	5.092	29.09	77.50	5.000	30.00	
77.50	5.000	35.00	9.77	3.91	4.65	0.10852	-0.05367	5.084	34.01	77.50	5.000	35.00	
77.50	5.000	40.00	10.72	4.29	4.97	0.19265	-0.02729	5.074	38.93	77.50	5.000	40.00	
77.49	5.000	45.00	11.68	4.67	5.19	0.20526	-0.02071	5.063	43.87	77.50	5.000	45.00	
77.50	5.000	50.00	12.65	5.06	5.32	0.17633	-0.02692	5.052	48.82	77.50	5.000	50.00	
77.49	5.000	55.00	13.89	5.56	5.55	0.15181	-0.02153	5.040	53.80	77.50	5.000	55.00	
77.50	5.000	60.00	15.19	6.07	5.66	0.18086	-0.02937	5.030	58.81	77.50	5.000	60.00	
77.49	5.000	65.00	17.19	6.87	6.36	0.05777	-0.00064	5.019	63.86	77.50	5.000	65.00	
77.49	5.000	70.00	18.82	7.53	6.56	0.12590	-0.01548	5.010	68.93	77.50	5.000	70.00	
77.50	5.000	75.00	20.84	8.34	7.15	0.10070	-0.00713	5.002	74.02	77.50	5.000	75.00	
77.50	5.000	78.00	21.93	8.77	7.38	0.05556	-0.01416	4.998	77.09	77.50	5.000	78.00	
77.50	5.000	81.00	23.23	9.29	8.04	0.07367	-0.00893	4.994	80.18	77.50	5.000	81.00	
77.50	5.000	84.00	24.26	9.70	8.45	0.09669	-0.01123	4.991	83.26	77.50	5.000	84.00	
77.50	5.000	86.00	25.28	10.11	8.95	0.06984	-0.00795	4.990	85.32	77.50	5.000	86.00	
77.50	5.000	88.00	26.56	10.62	9.32	0.04689	-0.01221	4.989	87.38	77.50	5.000	88.00	
77.50	5.000	90.00	28.64	11.46	10.05	0.05865	-0.00408	4.988	89.46	77.50	5.000	90.00	
77.50	5.000	92.00	27.50	11.00	9.51	0.07817	-0.01259	4.988	91.55	77.50	5.000	92.00	
77.50	5.000	94.00	26.00	10.40	9.36	0.03030	-0.00614	4.987	93.62	77.50	5.000	94.00	
77.50	5.000	96.00	24.75	9.90	8.61	0.08356	-0.01475	4.987	95.67	77.50	5.000	96.00	
77.50	4.999	99.00	23.59	9.44	8.06	0.06092	-0.01692	4.987	98.71	77.50	5.000	99.00	
77.50	5.000	102.00	22.64	9.06	7.75	0.01733	-0.00857	4.985	101.69	77.50	5.000	102.00	
77.50	5.000	105.00	21.53	8.61	7.44	0.03547	-0.00855	4.983	104.63	77.50	5.000	105.00	
77.50	5.000	110.00	19.53	7.81	6.76	0.02898	-0.01272	4.975	109.50	77.50	5.000	110.00	
77.50	5.000	115.00	17.36	6.94	6.01	0.11553	-0.04115	4.962	114.37	77.50	5.000	115.00	
77.50	5.000	120.00	16.19	6.48	6.04	0.06263	-0.01449	4.947	119.26	77.50	5.000	120.00	
77.50	5.000	125.00	14.64	5.86	5.65	0.05556	-0.02841	4.933	124.18	77.50	5.000	125.00	
77.50	5.000	130.00	13.50	5.40	5.55	0.04132	-0.00980	4.918	129.13	77.50	5.000	130.00	
77.50	5.000	135.00	12.47	4.99	5.37	0.01468	-0.00258	4.904	134.11	77.50	5.000	135.00	
