Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
80.01	0.020	0.00	258.13	103.25	22.10	0.02295	0.00079	0.021	0.63	80.00	0.020	0.00	
80.00	0.020	5.00	258.50	103.40	21.96	0.00845	0.00074	0.021	4.86	80.00	0.020	5.00	
80.00	0.020	10.00	258.94	103.58	21.70	0.05037	0.00011	0.021	9.80	80.00	0.020	10.00	
79.99	0.020	15.00	260.78	104.31	22.11	-0.02891	0.00081	0.021	14.70	80.00	0.020	15.00	
80.00	0.020	20.00	261.96	104.78	22.66	-0.00517	0.00079	0.021	19.27	80.00	0.020	20.00	
80.00	0.020	25.00	263.58	105.43	22.35	0.08635	0.00033	0.021	24.40	80.00	0.020	25.00	
80.01	0.020	30.00	265.32	106.13	22.86	0.02136	0.00072	0.021	29.05	80.00	0.020	30.00	
80.00	0.021	35.00	267.17	106.87	22.96	0.04146	0.00027	0.021	33.85	80.00	0.020	35.00	
80.00	0.020	40.00	268.94	107.58	22.86	0.03331	0.00027	0.021	38.85	80.00	0.020	40.00	
80.00	0.020	45.00	272.39	108.96	23.34	0.00004	0.00035	0.021	43.31	80.00	0.020	45.00	
80.00	0.020	50.00	274.32	109.73	23.49	0.04202	0.00023	0.020	48.33	80.00	0.020	50.00	
80.00	0.020	55.00	276.94	110.78	24.00	0.00350	0.00032	0.020	53.08	80.00	0.020	55.00	
79.99	0.020	60.00	279.42	111.77	24.50	0.01182	0.00048	0.021	58.02	80.00	0.020	60.00	
80.00	0.020	65.00	280.94	112.38	23.96	0.03910	0.00024	0.020	63.02	80.00	0.020	65.00	
80.00	0.020	70.00	283.07	113.23	24.53	0.01219	0.00023	0.020	68.10	80.00	0.020	70.00	
80.00	0.020	75.00	284.47	113.79	24.79	0.02920	0.00037	0.020	73.34	80.00	0.020	75.00	
80.01	0.020	78.00	285.50	114.20	25.13	0.01835	0.00030	0.020	76.37	80.00	0.020	78.00	
80.00	0.020	81.00	286.17	114.47	25.35	0.02661	0.00047	0.020	79.30	80.00	0.020	81.00	
80.00	0.020	84.00	285.91	114.36	24.77	0.00395	0.00027	0.020	82.68	80.00	0.020	84.00	
80.00	0.020	86.00	285.79	114.32	24.84	-0.00440	0.00035	0.020	84.86	80.00	0.020	86.00	
80.00	0.020	88.00	285.96	114.38	24.92	0.03123	0.00025	0.020	86.98	80.00	0.020	88.00	
80.00	0.020	90.00	286.37	114.55	25.06	0.01832	0.00061	0.020	88.81	80.00	0.020	90.00	
80.00	0.020	92.00	285.94	114.38	24.83	0.03283	0.00003	0.020	90.72	80.00	0.020	92.00	
80.01	0.020	94.00	286.14	114.45	25.22	0.05564	-0.00024	0.020	93.06	80.00	0.020	94.00	
80.01	0.020	96.00	286.04	114.42	25.20	-0.02165	0.00020	0.020	95.19	80.00	0.020	96.00	
80.01	0.020	99.00	284.81	113.92	24.58	0.03617	0.00022	0.020	97.79	80.00	0.020	99.00	
80.00	0.020	102.00	283.94	113.58	24.36	0.03736	-0.00018	0.020	101.39	80.00	0.020	102.00	
80.00	0.020	105.00	283.74	113.50	24.72	-0.05365	0.00050	0.020	104.25	80.00	0.020	105.00	
79.99	0.020	110.00	280.85	112.34	23.89	0.05578	-0.00022	0.020	109.03	80.00	0.020	110.00	
79.99	0.020	115.00	279.14	111.66	23.95	0.08418	-0.00000	0.020	114.57	80.00	0.020	115.00	
80.00	0.020	120.00	278.13	111.25	24.14	-0.00142	-0.00020	0.021	119.42	80.00	0.020	120.00	
80.00	0.020	125.00	276.19	110.48	24.11	0.14315	-0.00007	0.020	124.55	80.00	0.020	125.00	
80.00	0.020	130.00	274.02	109.61	23.69	-0.05095	0.00021	0.020	129.47	80.00	0.020	130.00	
79.99	0.020	135.00	271.19	108.48	23.33	0.02692	0.00039	0.020	134.56	80.00	0.020	135.00	
80.00	0.020	140.00	270.24	108.10	23.57	0.03414	0.00055	0.020	139.90	80.00	0.020	140.00	
80.01	0.020	145.00	267.50	107.00	23.12	0.01778	-0.00014	0.020	144.76	80.00	0.020	145.00	
80.00	0.020	150.00	265.26	106.10	22.29	0.08543	-0.00034	0.020	149.70	80.00	0.020	150.00	
80.00	0.020	155.00	264.38	105.75	22.69	0.06290	0.00002	0.020	154.91	80.00	0.020	155.00	
80.00	0.020	160.00	262.72	105.09	22.41	0.07372	0.00023	0.020	159.73	80.00	0.020	160.00	
80.00	0.020	165.00	261.60	104.64	22.62	-0.03564	0.00059	0.020	164.75	80.00	0.020	165.00	
80.00	0.020	170.00	260.62	104.25	22.59	-0.02454	0.00058	0.020	169.53	80.00	0.020	170.00	
80.00	0.020	175.00	259.33	103.73	22.26	0.07885	0.00041	0.020	174.54	80.00	0.020	175.00	
80.00	0.020	180.00	257.86	103.14	21.86	0.07116	-0.00042	0.020	179.41	80.00	0.020	180.00	
80.01	0.020	185.00	259.35	103.74	22.60	0.01756	0.00071	0.020	184.04	80.00	0.020	185.00	
80.01	0.020	190.00	259.69	103.88	22.19	-0.00573	0.00041	0.020	189.79	80.00	0.020	190.00	
80.01	0.020	195.00	258.47	103.39	22.38	0.04548	-0.00007	0.020	194.74	80.00	0.020	195.00	
79.99	0.020	200.00	259.60	103.84	22.58	0.02611	0.00013	0.020	199.73	80.00	0.020	200.00	
80.00	0.020	205.00	260.37	104.15	22.71	0.00398	0.00047	0.020	205.04	80.00	0.020	205.00	
80.00	0.020	210.00	260.74	104.30	22.65	0.01799	0.00010	0.020	210.01	80.00	0.020	210.00	
80.00	0.020	215.00	262.10	104.84	23.07	0.04987	0.00008	0.020	215.07	80.00	0.020	215.00	
80.00	0.020	220.00	263.53	105.41	22.67	-0.00752	0.00053	0.021	220.06	80.00	0.020	220.00	
80.00	0.020	225.00	263.55	105.42	22.61	0.03180	-0.00002	0.020	224.93	80.00	0.020	225.00	
80.00	0.020	230.00	265.41	106.16	23.34	0.03880	0.00033	0.020	229.68	80.00	0.020	230.00	
80.00	0.020	235.00	266.70	106.68	23.54	0.00456	0.00031	0.020	234.53	80.00	0.020	235.00	
80.00	0.020	240.00	268.52	107.41	23.71	0.00131	0.00020	0.020	239.81	80.00	0.020	240.00	
