Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
45.00	0.150	0.00	1386.27	554.51	20.36	-0.04674	0.00048	0.157	-0.14	45.00	0.150	0.00	
45.01	0.150	5.00	1370.84	548.34	18.88	0.04316	-0.00012	0.158	4.51	45.00	0.150	5.00	
45.01	0.150	10.00	1378.12	551.25	18.92	0.01972	-0.00003	0.159	9.53	45.00	0.150	10.00	
44.99	0.150	15.00	1382.15	552.86	19.17	-0.05559	0.00006	0.158	14.46	45.00	0.150	15.00	
44.99	0.150	20.00	1383.38	553.35	19.15	-0.04639	0.00003	0.158	19.41	45.00	0.150	20.00	
44.99	0.150	25.00	1387.86	555.15	19.25	0.01670	0.00002	0.158	24.31	45.00	0.150	25.00	
44.99	0.150	30.00	1391.60	556.64	19.08	0.01319	0.00009	0.157	29.11	45.00	0.150	30.00	
44.99	0.150	35.00	1400.31	560.12	19.49	-0.05838	0.00015	0.156	33.86	45.00	0.150	35.00	
44.99	0.150	40.00	1405.50	562.20	19.37	0.00391	0.00013	0.155	38.60	45.00	0.150	40.00	
44.99	0.150	45.00	1414.28	565.71	18.97	-0.04692	0.00017	0.154	43.37	45.00	0.150	45.00	
44.99	0.150	50.00	1427.25	570.90	19.22	-0.01147	0.00017	0.152	48.20	45.00	0.150	50.00	
45.00	0.150	55.00	1433.73	573.49	18.64	-0.02745	0.00014	0.150	53.08	45.00	0.150	55.00	
44.99	0.150	60.00	1444.01	577.61	18.68	-0.04451	0.00011	0.149	58.07	45.00	0.150	60.00	
44.99	0.150	65.00	1456.94	582.78	18.71	-0.09461	0.00011	0.148	63.20	45.00	0.150	65.00	
44.99	0.150	70.00	1462.73	585.09	18.29	-0.03506	0.00003	0.147	68.36	45.00	0.150	70.00	
44.99	0.150	75.00	1469.33	587.73	18.27	0.00295	-0.00006	0.146	73.60	45.00	0.150	75.00	
44.99	0.150	78.00	1469.57	587.83	18.06	0.00946	-0.00013	0.146	76.97	45.00	0.150	78.00	
44.99	0.150	81.00	1475.01	590.00	18.09	-0.03352	-0.00019	0.146	80.12	45.00	0.150	81.00	
44.99	0.150	84.00	1478.38	591.35	18.34	-0.04206	-0.00009	0.147	83.30	45.00	0.150	84.00	
44.99	0.150	86.00	1475.26	590.10	18.14	0.05394	-0.00030	0.146	85.51	45.00	0.150	86.00	
44.99	0.150	88.00	1473.92	589.57	18.02	0.00870	-0.00026	0.147	87.50	45.00	0.150	88.00	
44.99	0.150	90.00	1473.25	589.30	18.02	-0.00655	-0.00025	0.147	89.62	45.00	0.150	90.00	
44.99	0.150	92.00	1473.51	589.40	17.83	0.02110	-0.00033	0.147	91.70	45.00	0.150	92.00	
44.99	0.150	94.00	1474.91	589.97	18.03	0.01664	-0.00031	0.147	93.83	45.00	0.150	94.00	
44.99	0.150	96.00	1478.27	591.31	18.42	0.01912	-0.00023	0.148	95.82	45.00	0.150	96.00	
44.99	0.150	99.00	1468.69	587.47	17.81	-0.08086	-0.00027	0.148	98.80	45.00	0.150	99.00	
44.99	0.150	102.00	1471.55	588.62	18.28	-0.00324	-0.00024	0.149	101.81	45.00	0.150	102.00	
44.99	0.150	105.00	1464.41	585.76	18.15	-0.01017	-0.00037	0.149	104.86	45.00	0.150	105.00	
44.99	0.150	110.00	1457.22	582.89	18.16	-0.03551	-0.00020	0.149	109.77	45.00	0.150	110.00	
44.99	0.150	115.00	1450.06	580.03	18.20	-0.06266	-0.00012	0.149	114.75	45.00	0.150	115.00	
44.99	0.150	120.00	1440.74	576.30	18.37	-0.03697	-0.00021	0.150	119.75	45.00	0.150	120.00	
44.99	0.150	125.00	1436.41	574.57	18.60	-0.00072	-0.00016	0.150	124.71	45.00	0.150	125.00	
45.00	0.150	130.00	1429.56	571.82	18.87	0.02516	-0.00013	0.150	129.70	45.00	0.150	130.00	
45.00	0.150	135.00	1422.03	568.81	18.97	-0.00992	-0.00015	0.150	134.74	45.00	0.150	135.00	
45.01	0.150	140.00	1412.36	564.94	18.78	0.00176	-0.00022	0.150	139.88	45.00	0.150	140.00	
45.00	0.150	145.00	1407.93	563.17	19.17	0.01952	-0.00009	0.150	144.89	45.00	0.150	145.00	
44.99	0.150	150.00	1401.10	560.44	19.32	-0.01389	-0.00005	0.151	149.99	45.00	0.150	150.00	
44.99	0.150	155.00	1393.98	557.59	19.20	0.05689	-0.00012	0.151	155.03	45.00	0.150	155.00	
44.99	0.150	160.00	1391.73	556.69	19.40	0.00833	-0.00008	0.151	159.98	45.00	0.150	160.00	
45.00	0.150	165.00	1386.89	554.76	19.11	0.03215	-0.00011	0.152	164.92	45.00	0.150	165.00	
45.00	0.150	170.00	1380.67	552.27	18.67	0.04008	-0.00023	0.152	170.04	45.00	0.150	170.00	
44.99	0.150	175.00	1379.13	551.65	18.81	0.05952	-0.00012	0.152	175.05	45.00	0.150	175.00	
45.01	0.150	180.00	1379.38	551.75	19.00	0.02513	-0.00010	0.153	180.30	45.00	0.150	180.00	
45.01	0.150	185.00	1375.90	550.36	18.61	0.00364	-0.00008	0.153	185.33	45.00	0.150	185.00	
45.00	0.150	190.00	1375.36	550.14	18.64	0.06193	-0.00005	0.153	190.29	45.00	0.150	190.00	
45.01	0.150	195.00	1379.78	551.91	18.83	-0.01080	-0.00006	0.154	195.35	45.00	0.150	195.00	
45.01	0.150	200.00	1383.57	553.43	18.83	-0.02753	0.00003	0.154	200.41	45.00	0.150	200.00	
45.00	0.150	205.00	1384.33	553.73	18.49	0.01787	-0.00003	0.154	205.41	45.00	0.150	205.00	
45.02	0.151	210.00	1391.30	556.52	18.55	-0.03495	0.00007	0.155	210.40	45.00	0.150	210.00	
45.00	0.150	215.00	1394.36	557.74	18.20	-0.02290	0.00001	0.156	215.33	45.00	0.150	215.00	
45.01	0.150	220.00	1405.05	562.02	18.30	-0.02257	0.00013	0.156	220.14	45.00	0.150	220.00	
45.00	0.150	225.00	1415.22	566.09	18.25	-0.01899	0.00015	0.156	224.95	45.00	0.150	225.00	
45.01	0.150	230.00	1429.53	571.81	18.25	-0.04728	0.00011	0.156	229.77	45.00	0.150	230.00	
44.99	0.150	235.00	1442.96	577.19	18.36	-0.01817	0.00017	0.156	234.57	45.00	0.150	235.00	
44.99	0.150	240.00	1458.21	583.28	18.33	-0.03707	0.00012	0.156	239.37	45.00	0.150	240.00	
