Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
80.01	0.015	0.00	266.28	106.51	23.25	-0.03925	0.00160	0.015	0.84	80.00	0.015	0.00	
79.99	0.016	5.00	266.84	106.74	23.01	0.02891	0.00053	0.016	4.48	80.00	0.015	5.00	
80.00	0.015	10.00	267.17	106.87	22.94	-0.01058	0.00056	0.016	9.43	80.00	0.015	10.00	
80.00	0.015	15.00	268.71	107.48	23.56	0.01936	0.00055	0.016	14.78	80.00	0.015	15.00	
80.01	0.015	20.00	269.20	107.68	22.97	0.01985	0.00018	0.016	19.73	80.00	0.015	20.00	
80.00	0.015	25.00	271.02	108.41	23.19	0.05080	0.00013	0.016	24.17	80.00	0.015	25.00	
80.00	0.015	30.00	272.70	109.08	23.60	0.02651	0.00010	0.016	29.24	80.00	0.015	30.00	
80.00	0.015	35.00	274.11	109.64	23.80	0.03024	0.00030	0.015	33.74	80.00	0.015	35.00	
79.99	0.015	40.00	274.35	109.74	23.45	0.02160	0.00029	0.015	38.38	80.00	0.015	40.00	
80.01	0.015	45.00	277.91	111.17	24.38	-0.00200	0.00050	0.015	43.04	80.00	0.015	45.00	
80.00	0.015	50.00	279.92	111.97	24.49	0.04764	0.00026	0.015	48.23	80.00	0.015	50.00	
80.00	0.015	55.00	281.51	112.60	25.12	0.02424	0.00043	0.015	53.20	80.00	0.015	55.00	
80.00	0.015	60.00	282.02	112.81	24.25	0.00402	0.00015	0.015	57.84	80.00	0.015	60.00	
80.00	0.015	65.00	283.69	113.47	24.72	0.04715	0.00018	0.015	63.03	80.00	0.015	65.00	
80.01	0.015	70.00	284.86	113.94	25.26	0.00241	0.00032	0.015	68.11	80.00	0.015	70.00	
80.00	0.015	75.00	286.00	114.40	25.36	0.04851	-0.00008	0.015	72.98	80.00	0.015	75.00	
80.00	0.015	78.00	286.01	114.41	25.21	0.06199	0.00030	0.015	76.50	80.00	0.015	78.00	
80.01	0.015	81.00	286.27	114.51	25.45	-0.02275	0.00028	0.015	79.53	80.00	0.015	81.00	
80.00	0.015	84.00	286.45	114.58	25.38	0.03967	-0.00012	0.015	82.81	80.00	0.015	84.00	
80.00	0.015	86.00	286.78	114.71	25.66	0.00388	-0.00001	0.015	85.22	80.00	0.015	86.00	
80.00	0.015	88.00	286.61	114.64	25.34	0.01801	0.00006	0.015	87.66	80.00	0.015	88.00	
80.01	0.015	90.00	286.79	114.72	25.61	0.03218	0.00022	0.015	88.84	80.00	0.015	90.00	
80.00	0.015	92.00	285.96	114.38	25.05	0.06251	-0.00029	0.015	91.46	80.00	0.015	92.00	
80.00	0.015	94.00	286.09	114.43	25.25	-0.01915	0.00013	0.015	93.32	80.00	0.015	94.00	
80.00	0.015	96.00	285.92	114.37	25.26	0.02625	-0.00001	0.015	95.48	80.00	0.015	96.00	
80.01	0.015	99.00	285.54	114.22	25.21	-0.00438	-0.00015	0.015	98.19	80.00	0.015	99.00	
80.00	0.015	102.00	285.07	114.03	25.19	0.06697	0.00011	0.015	101.34	80.00	0.015	102.00	
80.00	0.015	105.00	283.62	113.45	24.37	0.04876	-0.00010	0.015	104.16	80.00	0.015	105.00	
80.01	0.015	110.00	282.90	113.16	24.68	-0.01093	-0.00018	0.015	109.54	80.00	0.015	110.00	
80.00	0.015	115.00	281.98	112.79	24.55	0.05524	0.00032	0.015	114.19	80.00	0.015	115.00	
79.99	0.015	120.00	280.13	112.05	24.33	-0.00774	0.00030	0.015	120.11	80.00	0.015	120.00	
80.00	0.015	125.00	279.26	111.71	24.71	-0.00351	0.00048	0.015	124.37	80.00	0.015	125.00	
80.00	0.015	130.00	277.59	111.04	24.00	0.00599	0.00048	0.015	129.79	80.00	0.015	130.00	
80.00	0.015	135.00	275.69	110.28	23.54	0.03179	0.00005	0.015	134.74	80.00	0.015	135.00	
80.00	0.015	140.00	273.59	109.43	22.94	0.07985	-0.00022	0.015	139.67	80.00	0.015	140.00	
80.00	0.015	145.00	274.20	109.68	24.06	-0.02207	0.00083	0.015	144.73	80.00	0.015	145.00	
80.00	0.015	150.00	272.39	108.96	23.28	0.01639	0.00006	0.015	149.42	80.00	0.015	150.00	
80.00	0.015	155.00	271.15	108.46	23.20	-0.00651	0.00019	0.015	154.48	80.00	0.015	155.00	
79.99	0.015	160.00	270.05	108.02	23.43	0.01052	0.00023	0.015	159.73	80.00	0.015	160.00	
80.01	0.015	165.00	268.99	107.60	23.23	0.01434	0.00087	0.015	164.38	80.00	0.015	165.00	
80.01	0.015	170.00	266.51	106.60	22.16	0.06614	-0.00042	0.015	169.36	80.00	0.015	170.00	
80.00	0.015	175.00	268.15	107.26	23.82	-0.00888	0.00060	0.015	173.97	80.00	0.015	175.00	
80.00	0.015	180.00	268.41	107.36	23.67	0.01517	0.00088	0.015	179.64	80.00	0.015	180.00	
79.99	0.015	185.00	266.98	106.79	23.35	0.02277	-0.00002	0.015	184.23	80.00	0.015	185.00	
79.99	0.015	190.00	266.96	106.79	23.08	0.01706	0.00036	0.015	189.63	80.00	0.015	190.00	
80.00	0.015	195.00	268.12	107.25	23.25	0.07357	0.00020	0.015	194.28	80.00	0.015	195.00	
80.01	0.015	200.00	268.26	107.30	23.51	0.02917	0.00010	0.015	200.00	80.00	0.015	200.00	
79.99	0.015	205.00	268.53	107.41	22.92	-0.00315	0.00032	0.015	204.67	80.00	0.015	205.00	
80.00	0.015	210.00	268.92	107.57	23.08	0.03080	0.00007	0.015	210.26	80.00	0.015	210.00	
80.00	0.015	215.00	269.15	107.66	23.40	0.04284	-0.00010	0.015	215.16	80.00	0.015	215.00	
80.00	0.015	220.00	270.34	108.14	23.69	0.04572	0.00019	0.015	220.00	80.00	0.015	220.00	
79.99	0.015	225.00	270.96	108.38	23.79	0.01604	-0.00002	0.015	225.09	80.00	0.015	225.00	
80.00	0.015	230.00	271.47	108.59	23.56	0.00336	-0.00002	0.015	229.98	80.00	0.015	230.00	
80.01	0.015	235.00	272.50	109.00	24.13	0.04335	0.00004	0.015	235.03	80.00	0.015	235.00	
79.99	0.015	240.00	273.20	109.28	24.06	0.00239	0.00020	0.015	239.76	80.00	0.015	240.00	
