Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
45.00	0.010	0.00	1585.01	634.00	21.18	-0.06262	0.00027	0.011	-5.41	45.00	0.010	0.00	
45.01	0.010	5.00	1582.33	632.93	21.00	-0.02721	-0.00000	0.011	-1.82	45.00	0.010	5.00	
44.99	0.010	10.00	1583.41	633.36	20.70	0.00429	-0.00004	0.011	3.15	45.00	0.010	10.00	
44.99	0.010	15.00	1581.54	632.62	20.56	0.04378	0.00002	0.011	7.72	45.00	0.010	15.00	
44.99	0.010	20.00	1582.34	632.94	20.79	-0.03045	0.00009	0.011	11.71	45.00	0.010	20.00	
44.99	0.010	25.00	1587.52	635.01	21.21	-0.05512	0.00013	0.011	17.01	45.00	0.010	25.00	
44.99	0.010	30.00	1583.09	633.24	20.82	-0.00983	0.00002	0.011	21.51	45.00	0.010	30.00	
44.99	0.010	35.00	1584.20	633.68	21.14	-0.00776	0.00012	0.011	26.36	45.00	0.010	35.00	
44.99	0.010	40.00	1581.89	632.76	20.89	0.02290	0.00001	0.011	31.39	45.00	0.010	40.00	
44.99	0.010	45.00	1585.86	634.35	21.09	0.00867	-0.00000	0.011	36.07	45.00	0.010	45.00	
44.99	0.010	50.00	1584.90	633.96	21.04	0.01294	-0.00001	0.010	40.95	45.00	0.010	50.00	
44.99	0.010	55.00	1587.01	634.80	21.08	-0.02133	-0.00006	0.010	46.40	45.00	0.010	55.00	
44.99	0.010	60.00	1588.81	635.52	20.93	-0.00730	-0.00012	0.010	52.11	45.00	0.010	60.00	
44.99	0.010	65.00	1587.73	635.09	20.84	0.01733	-0.00014	0.009	58.01	45.00	0.010	65.00	
44.99	0.010	70.00	1588.57	635.43	21.09	0.00784	-0.00016	0.010	64.08	45.00	0.010	70.00	
44.99	0.010	75.00	1588.58	635.43	21.12	0.04161	-0.00020	0.010	70.38	45.00	0.010	75.00	
44.99	0.010	78.00	1587.85	635.14	20.99	-0.03080	-0.00017	0.009	74.64	45.00	0.010	78.00	
44.99	0.010	81.00	1585.63	634.25	20.82	-0.06558	-0.00023	0.009	77.99	45.00	0.010	81.00	
44.99	0.010	84.00	1588.03	635.21	20.88	-0.03521	-0.00027	0.009	82.01	45.00	0.010	84.00	
44.99	0.010	86.00	1586.02	634.41	20.76	0.01053	-0.00029	0.009	84.13	45.00	0.010	86.00	
44.99	0.010	88.00	1588.91	635.56	21.35	-0.00032	-0.00026	0.010	86.58	45.00	0.010	88.00	
44.99	0.010	90.00	1586.50	634.60	21.18	0.04543	-0.00029	0.009	89.36	45.00	0.010	90.00	
44.99	0.010	92.00	1586.02	634.41	20.77	0.00045	-0.00033	0.009	91.39	45.00	0.010	92.00	
44.99	0.010	94.00	1589.18	635.67	21.08	-0.01282	-0.00031	0.009	94.88	45.00	0.010	94.00	
44.99	0.010	96.00	1588.16	635.26	21.13	-0.01100	-0.00033	0.009	96.88	45.00	0.010	96.00	
44.99	0.010	99.00	1590.38	636.15	21.12	0.03460	-0.00036	0.010	99.69	45.00	0.010	99.00	
44.99	0.010	102.00	1587.53	635.01	20.87	0.00836	-0.00032	0.010	103.68	45.00	0.010	102.00	
44.99	0.010	105.00	1589.75	635.90	21.38	-0.01449	-0.00028	0.010	107.19	45.00	0.010	105.00	
44.99	0.010	110.00	1590.27	636.11	21.10	0.02222	-0.00034	0.009	112.59	45.00	0.010	110.00	
44.99	0.010	115.00	1588.91	635.57	21.04	-0.05063	-0.00021	0.010	118.70	45.00	0.010	115.00	
44.99	0.010	120.00	1590.12	636.05	21.27	-0.01727	-0.00016	0.010	123.37	45.00	0.010	120.00	
45.00	0.010	125.00	1588.39	635.35	21.24	0.06516	-0.00026	0.010	129.07	45.00	0.010	125.00	
45.01	0.010	130.00	1584.19	633.68	20.78	0.07939	-0.00037	0.010	134.38	45.00	0.010	130.00	
45.01	0.011	135.00	1586.79	634.72	21.09	0.05342	-0.00014	0.010	140.47	45.00	0.010	135.00	
44.98	0.010	140.00	1584.52	633.81	20.97	0.02463	-0.00014	0.010	147.99	45.00	0.010	140.00	
45.00	0.010	145.00	1584.61	633.85	21.12	0.00055	-0.00008	0.010	151.99	45.00	0.010	145.00	
45.00	0.010	150.00	1584.19	633.68	21.13	0.01899	-0.00006	0.011	157.23	45.00	0.010	150.00	
44.99	0.010	155.00	1589.16	635.67	20.86	-0.05156	0.00003	0.011	161.54	45.00	0.010	155.00	
44.99	0.010	160.00	1588.09	635.24	20.86	-0.08761	-0.00002	0.011	167.38	45.00	0.010	160.00	
44.99	0.010	165.00	1587.43	634.97	20.93	-0.02119	-0.00005	0.010	172.67	45.00	0.010	165.00	
44.99	0.010	170.00	1585.99	634.39	20.82	-0.03120	-0.00006	0.011	177.70	45.00	0.010	170.00	
44.99	0.010	175.00	1585.10	634.04	21.13	-0.00634	-0.00006	0.011	182.08	45.00	0.010	175.00	
44.99	0.010	180.00	1583.97	633.59	20.57	-0.02457	-0.00007	0.011	187.06	45.00	0.010	180.00	
44.99	0.010	185.00	1585.83	634.33	20.86	-0.02682	-0.00006	0.011	191.07	45.00	0.010	185.00	
44.99	0.010	190.00	1585.86	634.34	20.92	0.00150	-0.00002	0.011	195.80	45.00	0.010	190.00	
44.99	0.010	195.00	1584.23	633.69	20.80	0.00562	-0.00004	0.011	200.90	45.00	0.010	195.00	
44.98	0.010	200.00	1585.20	634.08	21.00	0.01806	-0.00001	0.012	205.52	45.00	0.010	200.00	
44.98	0.010	205.00	1583.28	633.31	20.89	0.01396	-0.00004	0.012	210.30	45.00	0.010	205.00	
44.99	0.010	210.00	1577.59	631.04	19.64	0.02768	-0.00011	0.012	215.13	45.00	0.010	210.00	
44.99	0.010	215.00	1589.49	635.79	20.97	0.02416	-0.00002	0.012	220.24	45.00	0.010	215.00	
44.99	0.010	220.00	1588.27	635.31	20.86	0.00433	-0.00002	0.012	224.66	45.00	0.010	220.00	
44.99	0.010	225.00	1588.92	635.57	21.04	-0.03867	-0.00001	0.012	229.64	45.00	0.010	225.00	
44.99	0.010	230.00	1589.74	635.89	21.01	-0.04466	-0.00004	0.012	233.98	45.00	0.010	230.00	
44.99	0.010	235.00	1588.96	635.59	21.17	-0.00941	-0.00006	0.012	238.13	45.00	0.010	235.00	
44.99	0.010	240.00	1587.07	634.83	20.99	0.00224	-0.00007	0.012	243.23	45.00	0.010	240.00	
