Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
55.00	0.700	0.00	621.93	248.77	19.58	-0.01808	0.00063	0.742	-0.04	55.00	0.700	0.00	
55.00	0.700	5.00	617.86	247.15	19.10	-0.00205	-0.00008	0.743	4.99	55.00	0.700	5.00	
55.00	0.700	10.00	616.27	246.51	19.03	-0.00115	0.00027	0.743	10.01	55.00	0.700	10.00	
54.99	0.700	15.00	612.88	245.15	18.96	-0.06406	0.00053	0.743	14.93	55.00	0.700	15.00	
55.01	0.700	20.00	609.96	243.99	19.11	-0.01960	0.00061	0.741	19.88	55.00	0.700	20.00	
55.01	0.700	25.00	605.68	242.27	18.88	-0.01291	0.00069	0.740	24.73	55.00	0.700	25.00	
55.00	0.700	30.00	601.25	240.50	18.66	0.02131	0.00052	0.736	29.53	55.00	0.700	30.00	
55.00	0.700	35.00	596.95	238.78	18.65	-0.01124	0.00059	0.733	34.30	55.00	0.700	35.00	
54.99	0.700	40.00	591.87	236.75	18.15	0.00436	0.00064	0.729	39.07	55.00	0.700	40.00	
55.00	0.700	45.00	586.87	234.75	17.49	-0.02721	0.00052	0.724	43.85	55.00	0.700	45.00	
55.00	0.700	50.00	582.24	232.90	17.02	0.01466	0.00027	0.719	48.66	55.00	0.700	50.00	
55.00	0.700	55.00	578.73	231.49	16.63	0.05684	0.00017	0.712	53.55	55.00	0.700	55.00	
55.00	0.700	60.00	575.70	230.28	16.55	0.02287	0.00028	0.708	58.50	55.00	0.700	60.00	
55.00	0.700	65.00	571.73	228.69	16.02	0.02564	0.00021	0.703	63.56	55.00	0.700	65.00	
55.01	0.700	70.00	564.88	225.95	15.19	0.05622	0.00003	0.699	68.66	55.00	0.700	70.00	
55.00	0.699	75.00	556.33	222.53	14.39	0.02988	-0.00003	0.696	73.90	55.00	0.700	75.00	
55.00	0.700	78.00	552.37	220.95	14.13	0.03711	0.00019	0.697	77.01	55.00	0.700	78.00	
55.00	0.700	81.00	547.07	218.83	13.13	0.08128	-0.00015	0.696	80.18	55.00	0.700	81.00	
55.00	0.700	84.00	547.23	218.89	12.27	0.03213	-0.00006	0.697	83.31	55.00	0.700	84.00	
54.98	0.700	86.00	552.80	221.12	11.79	0.01204	-0.00010	0.698	85.40	55.00	0.700	86.00	
55.00	0.700	88.00	561.07	224.43	11.47	0.04491	-0.00011	0.698	87.49	55.00	0.700	88.00	
54.99	0.700	90.00	567.64	227.06	11.61	0.04984	-0.00008	0.699	89.53	55.00	0.700	90.00	
55.00	0.700	92.00	563.64	225.46	11.56	0.05583	0.00003	0.700	91.62	55.00	0.700	92.00	
55.00	0.700	94.00	554.53	221.81	11.75	0.03073	-0.00015	0.702	93.64	55.00	0.700	94.00	
55.00	0.700	96.00	547.52	219.01	12.08	0.06882	-0.00021	0.703	95.72	55.00	0.700	96.00	
54.98	0.700	99.00	547.19	218.87	13.14	0.02919	-0.00004	0.706	98.70	55.00	0.700	99.00	
