Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
24.99	3.000	0.00	1098.17	439.27	21.74	-0.12029	0.00269	3.098	-0.24	25.00	3.000	0.00
25.00	3.000	5.00	1087.70	435.08	20.27	-0.04625	0.00242	3.099	4.69	25.00	3.000	5.00
25.00	3.000	10.00	1096.80	438.72	21.81	-0.18243	0.00346	3.098	9.60	25.00	3.000	10.00
25.01	3.000	15.00	1096.51	438.60	21.28	-0.10894	0.00359	3.096	14.48	25.00	3.000	15.00
25.01	3.000	20.00	1097.30	438.92	20.92	-0.07297	0.00378	3.093	19.35	25.00	3.000	20.00
25.00	3.000	25.00	1103.14	441.25	21.12	-0.09949	0.00387	3.089	24.22	25.00	3.000	25.00
25.00	3.000	30.00	1103.48	441.39	19.46	-0.12609	0.00404	3.082	29.09	25.00	3.000	30.00
25.01	3.000	35.00	1113.12	445.25	19.32	-0.06925	0.00401	3.076	33.97	25.00	3.000	35.00
25.01	3.000	40.00	1125.48	450.19	18.74	-0.12227	0.00391	3.067	38.86	25.00	3.000	40.00
25.00	3.000	45.00	1142.32	456.93	18.34	-0.10351	0.00368	3.057	43.76	25.00	3.000	45.00
25.00	3.000	50.00	1163.31	465.32	17.67	-0.10746	0.00342	3.047	48.68	25.00	3.000	50.00
25.00	3.000	55.00	1193.12	477.25	17.28	-0.13128	0.00302	3.038	53.63	25.00	3.000	55.00
25.00	3.000	60.00	1233.35	493.34	16.92	-0.13251	0.00261	3.027	58.62	25.00	3.000	60.00
25.00	3.000	65.00	1282.50	513.00	15.96	-0.11618	0.00208	3.018	63.64	25.00	3.000	65.00
25.00	3.000	70.00	1353.91	541.56	15.47	-0.04774	0.00152	3.010	68.70	25.00	3.000	70.00
25.00	3.000	75.00	1458.07	583.23	15.09	-0.03692	0.00103	3.004	73.78	25.00	3.000	75.00
25.00	3.000	78.00	1567.59	627.04	15.19	-0.06638	0.00081	2.998	76.80	25.00	3.000	78.00
25.00	3.000	81.00	1689.11	675.64	15.46	-0.10949	0.00057	2.994	79.85	25.00	3.000	81.00
25.00	3.000	84.00	1891.89	756.76	16.18	-0.04200	0.00023	2.989	82.92	25.00	3.000	84.00
25.00	3.000	86.00	2073.98	829.59	18.04	-0.08079	0.00010	2.987	84.98	25.00	3.000	86.00
25.00	3.000	88.00	2257.77	903.11	19.37	-0.00821	-0.00014	2.984	87.05	25.00	3.000	88.00	Current limit exceeded.
25.00	3.000	90.00	--	--	--	--	--	2.980	89.14	25.00	3.000	90.00	Current limit exceeded.
25.00	3.000	92.00	--	--	--	--	--	2.973	91.24	25.00	3.000	92.00	Current limit exceeded.
25.00	3.000	94.00	2184.40	873.76	21.36	-0.09562	-0.00038	2.970	93.35	25.00	3.000	94.00
25.00	3.000	96.00	1997.99	799.20	18.73	-0.05085	-0.00053	2.968	95.43	25.00	3.000	96.00
25.01	3.000	99.00	1768.93	707.57	16.95	0.04381	-0.00081	2.966	98.43	25.00	3.000	99.00
25.00	3.000	102.00	1622.42	648.97	16.74	0.02388	-0.00091	2.979	101.43	25.00	3.000	102.00
24.99	3.000	105.00	1517.18	606.87	16.43	0.05394	-0.00106	2.981	104.44	25.00	3.000	105.00
25.00	3.000	110.00	1406.50	562.60	17.14	0.03625	-0.00113	2.979	109.38	25.00	3.000	110.00
25.00	3.000	115.00	1330.17	532.07	17.97	0.00813	-0.00103	2.976	114.33	25.00	3.000	115.00
25.01	3.000	120.00	1269.34	507.74	18.04	0.00412	-0.00091	2.972	119.28	25.00	3.000	120.00
25.00	3.000	125.00	1228.30	491.32	18.80	-0.01427	-0.00075	2.968	124.22	25.00	3.000	125.00
25.00	3.000	130.00	1199.36	479.74	19.75	-0.06194	-0.00043	2.962	129.18	25.00	3.000	130.00
25.00	3.000	135.00	1176.39	470.56	19.99	-0.02388	-0.00013	2.956	134.17	25.00	3.000	135.00
25.00	3.000	140.00	1160.47	464.19	21.05	-0.05620	0.00028	2.950	139.22	25.00	3.000	140.00
25.00	3.000	145.00	1142.51	457.00	21.24	-0.07148	0.00065	2.944	144.24	25.00	3.000	145.00
25.00	3.000	150.00	1125.21	450.08	20.60	-0.10428	0.00110	2.939	149.27	25.00	3.000	150.00
