Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.52	0.070	0.00	270.33	108.13	20.75	0.04290	0.00084	0.072	0.17	77.50	0.070	0.00	
77.51	0.070	5.00	271.01	108.41	20.58	-0.01984	0.00049	0.073	5.19	77.50	0.070	5.00	
77.51	0.070	10.00	271.88	108.75	20.06	0.03582	-0.00006	0.073	10.24	77.50	0.070	10.00	
77.50	0.070	15.00	274.07	109.63	20.43	0.04135	0.00036	0.073	15.25	77.50	0.070	15.00	
77.50	0.070	20.00	276.02	110.41	20.95	-0.03671	0.00056	0.073	20.26	77.50	0.070	20.00	
77.51	0.070	25.00	278.49	111.40	20.54	0.03188	0.00046	0.073	25.19	77.50	0.070	25.00	
77.50	0.070	30.00	280.34	112.13	20.33	0.06841	0.00013	0.073	30.10	77.50	0.070	30.00	
77.49	0.070	35.00	283.24	113.30	20.59	-0.00018	0.00055	0.073	34.91	77.50	0.070	35.00	
77.49	0.070	40.00	285.84	114.34	20.81	0.03264	0.00045	0.072	39.58	77.50	0.070	40.00	
77.50	0.070	45.00	289.03	115.61	20.84	-0.02549	0.00051	0.072	44.41	77.50	0.070	45.00	
77.50	0.070	50.00	292.90	117.16	20.97	0.01616	0.00062	0.071	49.22	77.50	0.070	50.00	
77.50	0.070	55.00	296.97	118.79	21.18	0.01824	0.00059	0.071	54.05	77.50	0.070	55.00	
77.50	0.070	60.00	301.91	120.76	21.13	0.01580	0.00046	0.070	59.04	77.50	0.070	60.00	
77.50	0.070	65.00	307.44	122.97	21.57	0.03061	0.00032	0.070	64.00	77.50	0.070	65.00	
77.49	0.070	70.00	314.55	125.82	22.45	0.01330	0.00065	0.070	69.04	77.50	0.070	70.00	
77.51	0.070	75.00	320.87	128.35	22.95	0.01570	0.00040	0.069	74.12	77.50	0.070	75.00	
77.50	0.071	78.00	324.65	129.86	23.01	-0.05219	0.00034	0.070	77.27	77.50	0.070	78.00	
77.50	0.070	81.00	328.76	131.50	23.82	-0.00094	0.00042	0.070	80.39	77.50	0.070	81.00	
77.50	0.070	84.00	331.80	132.72	23.51	0.02405	0.00021	0.070	83.49	77.50	0.070	84.00	
77.50	0.070	86.00	333.07	133.23	23.93	0.01665	0.00017	0.070	85.72	77.50	0.070	86.00	
77.50	0.070	88.00	333.57	133.43	24.11	0.06217	-0.00030	0.070	87.64	77.50	0.070	88.00	
77.50	0.070	90.00	334.08	133.63	24.43	0.02921	-0.00008	0.070	89.76	77.50	0.070	90.00	
77.50	0.070	92.00	334.96	133.98	24.80	-0.03582	0.00053	0.070	91.81	77.50	0.070	92.00	
77.50	0.070	94.00	333.57	133.43	24.46	-0.03455	-0.00002	0.070	93.97	77.50	0.070	94.00	
