Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
45.00	0.015	0.00	1587.99	635.20	21.60	-0.09658	0.00049	0.016	-3.14	45.00	0.015	0.00	
45.01	0.015	5.00	1579.16	631.66	20.86	0.03238	-0.00003	0.017	0.31	45.00	0.015	5.00	
45.01	0.015	10.00	1580.45	632.18	21.03	0.02264	0.00003	0.017	5.67	45.00	0.015	10.00	
44.99	0.015	15.00	1581.35	632.54	20.64	-0.02303	-0.00004	0.016	9.95	45.00	0.015	15.00	
44.99	0.015	20.00	1579.74	631.90	20.46	0.01282	-0.00001	0.017	14.98	45.00	0.015	20.00	
44.98	0.015	25.00	1583.58	633.43	21.09	-0.03136	0.00004	0.016	19.59	45.00	0.015	25.00	
44.99	0.015	30.00	1580.52	632.21	20.82	-0.03232	0.00007	0.016	24.09	45.00	0.015	30.00	
44.99	0.015	35.00	1583.62	633.45	20.91	-0.00393	0.00006	0.016	28.68	45.00	0.015	35.00	
44.99	0.015	40.00	1582.42	632.97	20.82	-0.03485	0.00003	0.016	33.87	45.00	0.015	40.00	
44.99	0.015	45.00	1579.97	631.99	20.67	-0.02139	-0.00005	0.016	38.59	45.00	0.015	45.00	
44.99	0.015	50.00	1581.98	632.79	21.00	0.00870	-0.00002	0.016	43.64	45.00	0.015	50.00	
44.99	0.015	55.00	1584.11	633.64	21.06	-0.01854	-0.00007	0.015	48.53	45.00	0.015	55.00	
44.99	0.015	60.00	1583.12	633.25	20.84	-0.01273	-0.00010	0.015	53.73	45.00	0.015	60.00	
44.99	0.014	65.00	1584.14	633.66	21.09	-0.00148	-0.00013	0.015	59.72	45.00	0.015	65.00	
44.99	0.015	70.00	1587.94	635.18	21.01	0.00212	-0.00014	0.014	65.52	45.00	0.015	70.00	
44.99	0.015	75.00	1588.00	635.20	20.94	0.00390	-0.00022	0.015	71.47	45.00	0.015	75.00	
44.99	0.015	78.00	1585.80	634.32	20.76	-0.00770	-0.00029	0.014	75.13	45.00	0.015	78.00	
44.99	0.015	81.00	1586.49	634.60	21.06	-0.00526	-0.00027	0.014	78.65	45.00	0.015	81.00	
44.99	0.015	84.00	1586.66	634.66	21.14	-0.01641	-0.00021	0.014	82.55	45.00	0.015	84.00	
44.99	0.015	86.00	1584.32	633.73	20.98	0.03347	-0.00028	0.014	84.76	45.00	0.015	86.00	
44.99	0.015	88.00	1582.02	632.81	20.82	0.00232	-0.00033	0.014	87.13	45.00	0.015	88.00	
44.99	0.015	90.00	1581.61	632.64	20.74	0.05376	-0.00039	0.014	89.02	45.00	0.015	90.00	
44.99	0.015	92.00	1582.35	632.94	20.87	-0.04492	-0.00029	0.014	91.25	45.00	0.015	92.00	
44.99	0.015	94.00	1587.66	635.06	21.27	-0.01649	-0.00026	0.014	93.87	45.00	0.015	94.00	
44.99	0.015	96.00	1586.68	634.67	21.19	-0.04656	-0.00025	0.014	96.43	45.00	0.015	96.00	
44.99	0.015	99.00	1583.48	633.39	21.05	-0.01631	-0.00029	0.015	99.36	45.00	0.015	99.00	
44.99	0.015	102.00	1586.87	634.75	21.06	-0.03017	-0.00030	0.015	103.00	45.00	0.015	102.00	
44.99	0.015	105.00	1583.86	633.54	20.87	-0.02254	-0.00029	0.015	105.31	45.00	0.015	105.00	
44.99	0.015	110.00	1583.75	633.50	20.96	-0.03135	-0.00033	0.014	112.15	45.00	0.015	110.00	
44.99	0.015	115.00	1589.76	635.90	21.15	-0.04749	-0.00022	0.014	117.46	45.00	0.015	115.00	
44.99	0.015	120.00	1585.04	634.02	20.78	-0.05217	-0.00025	0.015	122.40	45.00	0.015	120.00	
45.00	0.015	125.00	1584.34	633.74	20.84	0.03182	-0.00021	0.015	128.42	45.00	0.015	125.00	
45.00	0.015	130.00	1583.83	633.53	20.85	-0.01219	-0.00020	0.015	133.85	45.00	0.015	130.00	
45.00	0.015	135.00	1583.92	633.57	20.97	0.03165	-0.00014	0.015	139.35	45.00	0.015	135.00	
45.00	0.015	140.00	1582.32	632.93	21.00	-0.02516	-0.00013	0.015	143.40	45.00	0.015	140.00	
45.00	0.015	145.00	1580.63	632.25	20.96	0.04812	-0.00018	0.016	147.99	45.00	0.015	145.00	
45.00	0.015	150.00	1580.21	632.08	20.89	0.01282	-0.00012	0.015	154.08	45.00	0.015	150.00	
45.00	0.015	155.00	1577.45	630.98	20.73	-0.02108	-0.00019	0.016	159.07	45.00	0.015	155.00	
44.99	0.015	160.00	1585.48	634.19	20.90	0.02668	-0.00015	0.016	163.80	45.00	0.015	160.00	
44.99	0.015	165.00	1581.84	632.74	20.67	-0.00908	-0.00005	0.016	169.04	45.00	0.015	165.00	
44.99	0.015	170.00	1584.89	633.96	21.00	0.03166	-0.00009	0.016	173.92	45.00	0.015	170.00	
44.99	0.015	175.00	1580.55	632.22	20.59	-0.03405	-0.00011	0.016	178.61	45.00	0.015	175.00	
44.99	0.015	180.00	1581.56	632.62	20.74	0.02312	-0.00009	0.016	183.63	45.00	0.015	180.00	
44.99	0.015	185.00	1582.50	633.00	20.99	0.04906	0.00001	0.016	188.44	45.00	0.015	185.00	
44.99	0.015	190.00	1584.59	633.84	20.87	0.00736	-0.00005	0.016	193.10	45.00	0.015	190.00	
44.99	0.015	195.00	1586.95	634.78	21.45	-0.02378	0.00002	0.017	198.23	45.00	0.015	195.00	
44.99	0.015	200.00	1581.43	632.57	20.70	-0.00272	-0.00000	0.017	203.32	45.00	0.015	200.00	
44.98	0.015	205.00	1583.14	633.25	21.11	-0.05180	-0.00002	0.017	208.19	45.00	0.015	205.00	
44.99	0.015	210.00	1585.45	634.18	20.96	0.04076	-0.00004	0.017	213.25	45.00	0.015	210.00	
44.99	0.015	215.00	1585.52	634.21	20.94	-0.01024	-0.00001	0.017	218.41	45.00	0.015	215.00	
44.99	0.015	220.00	1586.23	634.49	20.90	0.00707	-0.00004	0.017	223.09	45.00	0.015	220.00	
44.99	0.015	225.00	1587.73	635.09	20.73	0.02006	-0.00004	0.017	228.00	45.00	0.015	225.00	
44.99	0.015	230.00	1588.04	635.22	20.90	-0.01068	-0.00003	0.017	232.75	45.00	0.015	230.00	
44.99	0.015	235.00	1588.44	635.38	21.21	-0.03856	-0.00005	0.017	237.46	45.00	0.015	235.00	
44.99	0.015	240.00	1586.57	634.63	20.96	-0.00933	-0.00006	0.017	242.11	45.00	0.015	240.00	
