Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
64.99	2.000	0.00	219.84	87.93	14.86	0.02166	0.00062	2.081	-0.17	65.00	2.000	0.00	
64.99	2.000	5.00	218.51	87.40	14.57	0.00569	0.00017	2.081	4.83	65.00	2.000	5.00	
64.99	2.000	10.00	217.44	86.98	14.49	0.00420	-0.00029	2.080	9.78	65.00	2.000	10.00	
65.00	2.000	15.00	215.75	86.30	14.58	0.06301	0.00049	2.078	14.72	65.00	2.000	15.00	
65.00	2.000	20.00	214.06	85.62	14.45	0.05515	0.00064	2.076	19.63	65.00	2.000	20.00	
65.01	2.000	25.00	211.70	84.68	14.46	0.04617	0.00045	2.073	24.55	65.00	2.000	25.00	
65.00	1.999	30.00	209.38	83.75	14.31	0.04694	0.00039	2.068	29.42	65.00	2.000	30.00	
65.00	2.000	35.00	207.18	82.87	14.26	0.06043	-0.00008	2.064	34.30	65.00	2.000	35.00	
65.00	1.999	40.00	205.66	82.26	14.34	0.03195	0.00045	2.057	39.18	65.00	2.000	40.00	
64.99	2.000	45.00	204.05	81.62	14.32	0.03108	0.00053	2.050	44.07	65.00	2.000	45.00	
65.02	2.000	50.00	202.66	81.06	14.45	0.02336	0.00026	2.041	48.98	65.00	2.000	50.00	
65.01	2.000	55.00	201.20	80.48	14.39	0.02324	0.00025	2.033	53.94	65.00	2.000	55.00	
65.01	2.000	60.00	199.49	79.80	14.52	0.05343	-0.00039	2.024	58.93	65.00	2.000	60.00	
65.01	2.000	65.00	197.00	78.80	14.49	0.05838	-0.00024	2.018	63.98	65.00	2.000	65.00	
65.01	2.000	70.00	193.15	77.26	14.47	0.03438	-0.00032	2.012	69.06	65.00	2.000	70.00	
64.99	2.000	75.00	186.46	74.58	14.36	0.06471	-0.00073	2.008	74.18	65.00	2.000	75.00	
65.01	2.000	78.00	181.28	72.51	14.29	0.08331	-0.00082	2.006	77.27	65.00	2.000	78.00	
65.00	2.000	81.00	174.79	69.92	14.02	0.03611	-0.00077	2.005	80.36	65.00	2.000	81.00	
65.00	2.000	84.00	168.23	67.29	13.88	0.06574	-0.00071	2.005	83.45	65.00	2.000	84.00	
65.00	2.000	86.00	164.29	65.71	13.23	0.12065	-0.00128	2.007	85.52	65.00	2.000	86.00	
65.00	2.000	88.00	163.82	65.53	12.27	0.09706	-0.00213	2.008	87.58	65.00	2.000	88.00	
65.00	2.000	90.00	167.03	66.81	11.47	0.09850	-0.00249	2.009	89.63	65.00	2.000	90.00	
65.00	2.000	92.00	164.81	65.92	12.07	0.04867	-0.00184	2.010	91.68	65.00	2.000	92.00	
64.99	2.000	94.00	163.72	65.49	13.00	0.10297	-0.00180	2.012	93.73	65.00	2.000	94.00	
65.00	2.000	96.00	166.62	66.65	13.54	0.10332	-0.00178	2.012	95.76	65.00	2.000	96.00	
65.01	2.000	99.00	174.00	69.60	14.01	0.05880	-0.00097	2.014	98.78	65.00	2.000	99.00	
65.00	2.000	102.00	181.39	72.56	14.34	0.07413	-0.00081	2.016	101.79	65.00	2.000	102.00	
65.00	2.000	105.00	187.50	75.00	14.64	-0.00896	-0.00045	2.017	104.77	65.00	2.000	105.00	
