Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
24.98	0.500	0.00	2212.69	885.07	23.77	-0.19221	0.00060	0.530	-0.26	25.00	0.500	0.00	
25.00	0.500	5.00	2185.44	874.18	21.75	-0.03516	-0.00003	0.532	4.77	25.00	0.500	5.00	
25.00	0.500	10.00	2190.58	876.23	21.92	-0.07388	0.00002	0.531	9.73	25.00	0.500	10.00	
25.02	0.500	15.00	2194.03	877.61	21.80	-0.02442	0.00008	0.531	14.73	25.00	0.500	15.00	
25.00	0.500	20.00	2209.78	883.91	22.26	-0.06521	0.00017	0.530	19.64	25.00	0.500	20.00	
25.00	0.500	25.00	2222.70	889.08	22.07	-0.07885	0.00022	0.529	24.53	25.00	0.500	25.00	
25.00	0.500	30.00	2236.90	894.76	21.86	-0.04713	0.00023	0.527	29.32	25.00	0.500	30.00	
25.01	0.500	35.00	2254.71	901.88	20.58	-0.07219	0.00027	0.524	34.05	25.00	0.500	35.00	
25.00	0.500	40.00	--	--	--	--	--	0.519	38.73	25.00	0.500	40.00	Current limit exceeded.
25.00	0.500	45.00	--	--	--	--	--	0.513	43.42	25.00	0.500	45.00	Current limit exceeded.
25.00	0.500	50.00	--	--	--	--	--	0.506	48.20	25.00	0.500	50.00	Current limit exceeded.
25.00	0.500	55.00	--	--	--	--	--	0.500	53.09	25.00	0.500	55.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	25.00	0.500	60.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	65.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	70.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	75.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	78.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	81.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	84.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	86.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	92.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	94.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	96.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	99.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	102.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	105.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	110.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	115.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	25.00	0.500	120.00	Measurement skipped. (Current limit exceeded.)
25.00	0.500	125.00	--	--	--	--	--	0.490	124.18	25.00	0.500	125.00	Current limit exceeded.
25.00	0.500	130.00	--	--	--	--	--	0.502	129.62	25.00	0.500	130.00	Current limit exceeded.
25.01	0.500	135.00	--	--	--	--	--	0.505	134.58	25.00	0.500	135.00	Current limit exceeded.
24.98	0.500	140.00	--	--	--	--	--	0.504	139.56	25.00	0.500	140.00	Current limit exceeded.
24.99	0.500	145.00	--	--	--	--	--	0.504	144.61	25.00	0.500	145.00	Current limit exceeded.
24.99	0.500	150.00	2261.83	904.73	20.45	-0.06082	-0.00010	0.502	149.67	25.00	0.500	150.00	
24.99	0.500	155.00	2239.08	895.63	20.46	-0.04625	-0.00007	0.503	154.70	25.00	0.500	155.00	
25.00	0.500	160.00	2236.06	894.42	22.49	-0.05883	0.00004	0.505	159.75	25.00	0.500	160.00	
25.00	0.500	165.00	2216.92	886.77	21.79	-0.05411	-0.00001	0.506	164.73	25.00	0.500	165.00	
25.00	0.500	170.00	2208.87	883.55	22.01	-0.06140	-0.00005	0.507	169.81	25.00	0.500	170.00	
24.99	0.500	175.00	2204.31	881.72	22.27	-0.13349	0.00003	0.508	174.95	25.00	0.500	175.00	
25.00	0.500	180.00	2197.78	879.11	21.90	-0.10503	-0.00005	0.508	180.10	25.00	0.500	180.00	
