Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
50.01	0.700	0.00	768.39	307.36	19.83	-0.01355	0.00026	0.741	-0.22	50.00	0.700	0.00	
50.00	0.700	5.00	762.52	305.01	18.94	0.05903	-0.00022	0.742	4.79	50.00	0.700	5.00	
49.99	0.699	10.00	761.60	304.64	19.07	-0.05725	0.00023	0.743	9.81	50.00	0.700	10.00	
49.99	0.700	15.00	758.22	303.29	18.90	-0.01437	0.00025	0.743	14.78	50.00	0.700	15.00	
50.00	0.701	20.00	756.26	302.50	19.19	0.00725	0.00076	0.743	19.72	50.00	0.700	20.00	
50.00	0.700	25.00	753.24	301.30	19.09	0.00905	0.00074	0.740	24.58	50.00	0.700	25.00	
50.00	0.700	30.00	748.97	299.59	18.71	-0.00267	0.00065	0.737	29.37	50.00	0.700	30.00	
50.00	0.700	35.00	745.02	298.01	18.25	0.01967	0.00053	0.733	34.13	50.00	0.700	35.00	
49.99	0.700	40.00	739.82	295.93	17.78	-0.04287	0.00054	0.729	38.86	50.00	0.700	40.00	
49.99	0.700	45.00	735.32	294.13	17.24	0.02674	0.00040	0.724	43.64	50.00	0.700	45.00	
49.99	0.700	50.00	734.20	293.68	17.37	0.03578	0.00043	0.718	48.45	50.00	0.700	50.00	
49.99	0.700	55.00	731.14	292.45	16.71	-0.00646	0.00054	0.712	53.32	50.00	0.700	55.00	
49.99	0.700	60.00	728.11	291.24	16.12	0.00587	0.00032	0.706	58.27	50.00	0.700	60.00	
49.98	0.699	65.00	723.16	289.26	15.05	0.02904	0.00013	0.700	63.34	50.00	0.700	65.00	
49.99	0.700	70.00	720.70	288.28	14.46	0.02725	0.00012	0.696	68.47	50.00	0.700	70.00	
50.00	0.699	75.00	717.96	287.19	13.68	0.03103	0.00001	0.695	73.69	50.00	0.700	75.00	
50.00	0.699	78.00	718.49	287.39	13.13	-0.01217	-0.00000	0.694	76.83	50.00	0.700	78.00	
50.00	0.700	81.00	721.31	288.52	12.36	-0.01633	0.00018	0.694	79.98	50.00	0.700	81.00	
50.00	0.700	84.00	732.38	292.95	11.70	0.01681	0.00005	0.694	83.13	50.00	0.700	84.00	
50.00	0.700	86.00	748.70	299.48	11.69	0.04887	0.00014	0.695	85.24	50.00	0.700	86.00	
49.99	0.700	88.00	764.49	305.79	11.66	-0.04802	0.00018	0.695	87.31	50.00	0.700	88.00	
50.00	0.700	90.00	770.54	308.22	11.45	-0.05403	0.00009	0.697	89.37	50.00	0.700	90.00	
49.99	0.700	92.00	769.91	307.96	11.69	-0.01190	0.00033	0.698	91.44	50.00	0.700	92.00	
50.00	0.700	94.00	753.88	301.55	11.45	0.00362	0.00004	0.700	93.48	50.00	0.700	94.00	
50.00	0.700	96.00	739.31	295.72	11.57	-0.04242	0.00030	0.701	95.51	50.00	0.700	96.00	
50.00	0.700	99.00	723.27	289.31	11.89	-0.00793	-0.00008	0.702	98.51	50.00	0.700	99.00	
50.00	0.700	102.00	718.72	287.49	12.60	0.02616	-0.00009	0.704	101.49	50.00	0.700	102.00	
