Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
40.00	1.500	0.00	863.49	345.40	19.66	-0.05685	0.00058	1.571	-0.38	40.00	1.500	0.00	
39.99	1.500	5.00	855.07	342.03	18.53	0.03703	-0.00003	1.572	4.57	40.00	1.500	5.00	
39.99	1.500	10.00	855.26	342.10	18.92	-0.02474	0.00047	1.571	9.57	40.00	1.500	10.00	
40.01	1.500	15.00	856.62	342.65	19.68	-0.07328	0.00100	1.572	14.55	40.00	1.500	15.00	
39.99	1.500	20.00	850.79	340.31	19.11	-0.02418	0.00077	1.569	19.43	40.00	1.500	20.00	
40.01	1.500	25.00	847.24	338.90	18.50	0.05107	0.00084	1.567	24.34	40.00	1.500	25.00	
39.99	1.500	30.00	842.65	337.06	17.93	0.01613	0.00069	1.560	29.14	40.00	1.500	30.00	
39.99	1.500	35.00	838.61	335.45	17.48	-0.00789	0.00071	1.555	33.97	40.00	1.500	35.00	
39.98	1.500	40.00	835.89	334.36	17.02	0.02872	0.00066	1.547	38.77	40.00	1.500	40.00	
39.99	1.499	45.00	834.31	333.72	16.72	-0.02719	0.00064	1.539	43.59	40.00	1.500	45.00	
40.01	1.500	50.00	832.45	332.98	16.01	-0.01983	0.00054	1.528	48.45	40.00	1.500	50.00	
39.99	1.499	55.00	831.04	332.42	15.09	0.01833	0.00046	1.519	53.36	40.00	1.500	55.00	
40.01	1.500	60.00	834.46	333.78	14.56	0.01226	0.00041	1.508	58.34	40.00	1.500	60.00	
39.98	1.499	65.00	838.55	335.42	13.85	0.03554	0.00029	1.500	63.37	40.00	1.500	65.00	
40.01	1.500	70.00	845.66	338.26	12.91	0.01244	0.00017	1.492	68.51	40.00	1.500	70.00	
39.99	1.500	75.00	858.87	343.55	12.03	0.04656	0.00012	1.490	73.67	40.00	1.500	75.00	
39.98	1.500	78.00	874.95	349.98	11.49	-0.00152	0.00010	1.488	76.79	40.00	1.500	78.00	
39.99	1.501	81.00	902.31	360.93	10.78	0.02234	-0.00002	1.487	79.91	40.00	1.500	81.00	
39.98	1.500	84.00	960.58	384.23	10.51	0.02273	0.00003	1.487	83.04	40.00	1.500	84.00	
39.98	1.500	86.00	1029.82	411.93	10.77	-0.01044	0.00015	1.487	85.12	40.00	1.500	86.00	
39.98	1.501	88.00	1112.23	444.89	11.47	-0.06501	0.00015	1.487	87.19	40.00	1.500	88.00	
39.98	1.500	90.00	1168.48	467.39	12.29	-0.05253	0.00020	1.487	89.25	40.00	1.500	90.00	
39.98	1.501	92.00	1151.62	460.65	12.03	-0.06816	0.00013	1.487	91.31	40.00	1.500	92.00	
39.98	1.500	94.00	1086.07	434.43	11.49	-0.03967	0.00011	1.488	93.37	40.00	1.500	94.00	
39.99	1.500	96.00	1010.08	404.03	10.95	-0.03811	0.00011	1.489	95.41	40.00	1.500	96.00	
39.98	1.500	99.00	930.26	372.10	10.84	0.00279	-0.00017	1.491	98.42	40.00	1.500	99.00	
39.98	1.500	102.00	889.85	355.94	11.17	0.01200	-0.00032	1.494	101.44	40.00	1.500	102.00	
39.99	1.500	105.00	875.23	350.09	12.09	-0.01589	-0.00012	1.499	104.43	40.00	1.500	105.00	
39.99	1.500	110.00	858.85	343.54	13.03	0.00224	-0.00025	1.502	109.35	40.00	1.500	110.00	
39.99	1.500	115.00	848.44	339.38	13.52	0.03639	-0.00038	1.503	114.27	40.00	1.500	115.00	
39.99	1.500	120.00	848.72	339.49	14.76	0.01474	0.00001	1.502	119.16	40.00	1.500	120.00	
39.99	1.500	125.00	846.19	338.47	15.55	-0.04402	0.00001	1.501	124.06	40.00	1.500	125.00	
39.99	1.500	130.00	845.29	338.12	16.09	0.01820	0.00012	1.500	128.99	40.00	1.500	130.00	
39.99	1.500	135.00	846.27	338.51	16.66	0.01579	0.00014	1.498	133.93	40.00	1.500	135.00	
40.00	1.500	140.00	848.72	339.49	17.12	0.04013	0.00013	1.494	138.91	40.00	1.500	140.00	
40.00	1.500	145.00	851.06	340.42	17.51	-0.00234	0.00020	1.489	143.94	40.00	1.500	145.00	
40.00	1.500	150.00	856.63	342.65	18.22	-0.03026	0.00038	1.485	148.92	40.00	1.500	150.00	
39.99	1.500	155.00	858.97	343.59	18.48	-0.04271	0.00041	1.483	153.90	40.00	1.500	155.00	
40.01	1.500	160.00	864.32	345.73	19.31	0.02799	0.00050	1.481	158.92	40.00	1.500	160.00	
39.98	1.500	165.00	866.66	346.66	19.45	-0.04818	0.00046	1.480	163.92	40.00	1.500	165.00	
40.02	1.500	170.00	867.30	346.92	19.32	-0.03061	0.00044	1.479	169.06	40.00	1.500	170.00	
39.98	1.500	175.00	868.37	347.35	19.55	-0.05938	0.00024	1.479	174.23	40.00	1.500	175.00	
40.02	1.500	180.00	864.33	345.73	18.89	0.02386	-0.00036	1.478	179.46	40.00	1.500	180.00	
39.98	1.500	185.00	863.59	345.43	19.02	0.06302	-0.00034	1.480	184.61	40.00	1.500	185.00	
40.01	1.500	190.00	863.78	345.51	19.21	0.04061	0.00035	1.482	189.84	40.00	1.500	190.00	
39.98	1.500	195.00	860.22	344.09	19.31	-0.06832	0.00081	1.486	194.98	40.00	1.500	195.00	
40.02	1.500	200.00	857.47	342.99	19.91	-0.02883	0.00092	1.490	200.14	40.00	1.500	200.00	
39.98	1.500	205.00	848.92	339.57	19.01	-0.07119	0.00124	1.495	205.24	40.00	1.500	205.00	
40.02	1.500	210.00	840.93	336.37	18.07	0.01071	0.00092	1.500	210.31	40.00	1.500	210.00	
39.98	1.500	215.00	836.36	334.54	17.75	0.06405	0.00091	1.506	215.29	40.00	1.500	215.00	
40.01	1.500	220.00	831.87	332.75	17.09	0.00368	0.00071	1.511	220.13	40.00	1.500	220.00	
40.01	1.500	225.00	822.00	328.80	15.46	0.04707	0.00069	1.516	224.96	40.00	1.500	225.00	
40.01	1.500	230.00	821.96	328.78	15.29	-0.00035	-0.00003	1.519	230.14	40.00	1.500	230.00	
39.98	1.500	235.00	830.59	332.24	15.40	-0.04677	0.00099	1.522	234.60	40.00	1.500	235.00	
39.98	1.500	240.00	840.61	336.25	16.03	-0.08156	0.00133	1.522	239.42	40.00	1.500	240.00	
