Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
39.99	0.030	0.00	1898.64	759.46	24.03	-0.24375	0.00080	0.030	-2.81	40.00	0.030	0.00	
39.99	0.030	5.00	1871.25	748.50	21.25	-0.02406	0.00000	0.031	0.83	40.00	0.030	5.00	
40.01	0.030	10.00	1872.14	748.86	21.42	-0.01817	-0.00004	0.031	5.93	40.00	0.030	10.00	
40.00	0.030	15.00	1872.49	749.00	21.64	-0.05825	0.00009	0.031	10.92	40.00	0.030	15.00	
40.00	0.030	20.00	1869.99	748.00	21.44	-0.01964	0.00003	0.031	16.01	40.00	0.030	20.00	
40.00	0.030	25.00	1869.53	747.81	21.36	-0.02854	0.00004	0.031	21.09	40.00	0.030	25.00	
40.00	0.030	30.00	1870.53	748.21	21.27	-0.04237	0.00006	0.031	25.79	40.00	0.030	30.00	
40.01	0.031	35.00	1872.74	749.10	21.35	0.01139	0.00005	0.030	30.33	40.00	0.030	35.00	
40.01	0.030	40.00	1873.17	749.27	21.48	0.02108	0.00004	0.030	35.39	40.00	0.030	40.00	
40.01	0.030	45.00	1899.54	759.82	21.55	0.00702	0.00003	0.029	40.09	40.00	0.030	45.00	
40.01	0.030	50.00	1900.48	760.19	21.78	-0.00509	-0.00003	0.029	45.15	40.00	0.030	50.00	
40.01	0.030	55.00	1900.04	760.01	21.63	-0.02074	-0.00005	0.029	50.30	40.00	0.030	55.00	
40.01	0.030	60.00	1898.74	759.49	21.57	-0.03822	-0.00010	0.029	55.56	40.00	0.030	60.00	
40.01	0.030	65.00	1890.78	756.31	21.42	0.01253	-0.00016	0.028	61.06	40.00	0.030	65.00	
40.01	0.030	70.00	1901.89	760.76	21.51	-0.02870	-0.00017	0.028	66.84	40.00	0.030	70.00	
40.01	0.030	75.00	1900.87	760.35	21.56	-0.01626	-0.00021	0.027	72.71	40.00	0.030	75.00	
40.01	0.030	78.00	1898.05	759.22	21.31	-0.00744	-0.00024	0.028	76.37	40.00	0.030	78.00	
40.01	0.030	81.00	1896.64	758.66	21.33	-0.01088	-0.00027	0.028	79.49	40.00	0.030	81.00	
40.01	0.030	84.00	1896.07	758.43	21.58	-0.04625	-0.00027	0.028	83.00	40.00	0.030	84.00	
40.01	0.030	86.00	1896.27	758.51	21.72	-0.01146	-0.00027	0.028	85.57	40.00	0.030	86.00	
40.01	0.030	88.00	1892.27	756.91	21.40	0.02792	-0.00035	0.028	87.73	40.00	0.030	88.00	
40.01	0.030	90.00	1892.18	756.87	21.59	0.02943	-0.00034	0.028	89.92	40.00	0.030	90.00	
40.01	0.030	92.00	1887.96	755.18	21.27	0.03946	-0.00038	0.028	92.08	40.00	0.030	92.00	
40.01	0.030	94.00	1888.45	755.38	21.44	0.01677	-0.00033	0.028	94.71	40.00	0.030	94.00	
40.01	0.030	96.00	1887.72	755.09	21.49	0.00326	-0.00032	0.028	96.78	40.00	0.030	96.00	
40.01	0.030	99.00	1888.50	755.40	21.81	0.00795	-0.00026	0.028	99.81	40.00	0.030	99.00	
40.00	0.030	102.00	1884.14	753.65	21.57	-0.00418	-0.00041	0.029	102.92	40.00	0.030	102.00	
40.01	0.030	105.00	1877.32	750.93	20.92	0.03711	-0.00035	0.029	106.06	40.00	0.030	105.00	
