Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
29.99	7.000	0.00	539.17	215.67	17.44	0.00071	0.01877	7.117	-0.12	30.00	7.000	0.00
29.98	7.000	5.00	538.07	215.23	17.34	-0.30108	0.02237	7.118	4.73	30.00	7.000	5.00
29.99	7.000	10.00	540.32	216.13	17.88	-0.49418	0.02659	7.118	9.63	30.00	7.000	10.00
30.00	7.000	15.00	542.67	217.07	18.59	-0.68496	0.03094	7.114	14.49	30.00	7.000	15.00
30.00	7.000	20.00	544.26	217.71	18.93	-0.87731	0.03351	7.109	19.37	30.00	7.000	20.00
30.00	7.000	25.00	544.31	217.73	18.56	-0.93221	0.03510	7.103	24.27	30.00	7.000	25.00
29.99	7.000	30.00	543.64	217.46	17.61	-1.00000	0.03457	7.094	29.19	30.00	7.000	30.00
30.00	6.999	35.00	545.71	218.29	17.01	-1.00000	0.03320	7.086	34.02	30.00	7.000	35.00
30.00	7.000	40.00	549.08	219.63	16.44	-1.00000	0.03123	7.075	38.97	30.00	7.000	40.00
30.00	7.000	45.00	554.93	221.97	16.00	-1.00000	0.02761	7.063	43.77	30.00	7.000	45.00
30.00	7.000	50.00	563.35	225.34	15.64	-0.94681	0.02419	7.048	48.76	30.00	7.000	50.00
29.99	7.000	55.00	570.15	228.06	14.93	-0.54919	0.01836	7.035	53.54	30.00	7.000	55.00
30.00	7.000	60.00	581.01	232.40	14.45	-0.57398	0.01405	7.022	58.62	30.00	7.000	60.00
30.00	7.000	65.00	591.80	236.72	13.56	-0.33244	0.00914	7.012	63.58	30.00	7.000	65.00
30.00	7.000	70.00	607.91	243.16	12.59	-0.13495	0.00546	7.001	68.55	30.00	7.000	70.00
30.00	7.000	75.00	633.07	253.23	11.50	-0.04906	0.00287	6.991	73.54	30.00	7.000	75.00
30.00	7.000	78.00	659.67	263.87	10.85	-0.02229	0.00172	6.985	76.55	30.00	7.000	78.00
30.00	7.000	81.00	703.52	281.41	10.08	0.06764	0.00064	6.980	79.55	30.00	7.000	81.00
30.00	7.000	84.00	802.55	321.02	9.77	0.09123	-0.00015	6.974	82.57	30.00	7.000	84.00
30.00	7.000	86.00	942.55	377.02	9.89	0.07157	-0.00056	6.970	84.61	30.00	7.000	86.00
30.00	7.000	88.00	1213.36	485.35	10.83	0.20585	-0.00155	6.965	86.56	30.00	7.000	88.00
30.00	7.000	90.00	1635.27	654.11	15.30	0.43743	-0.00284	6.959	88.56	30.00	7.000	90.00
29.99	7.000	92.00	1571.13	628.45	16.88	0.52872	-0.00379	6.952	90.62	30.00	7.000	92.00
29.99	7.000	94.00	1198.58	479.43	12.92	0.42100	-0.00394	6.943	92.84	30.00	7.000	94.00
29.99	7.000	96.00	946.14	378.46	11.11	0.34491	-0.00435	6.942	94.93	30.00	7.000	96.00
30.00	7.000	99.00	771.44	308.58	10.75	0.29549	-0.00512	6.944	97.99	30.00	7.000	99.00
30.00	7.000	102.00	698.36	279.35	11.36	0.27901	-0.00586	6.949	101.07	30.00	7.000	102.00
30.00	7.000	105.00	660.62	264.25	12.09	0.32919	-0.00652	6.949	104.04	30.00	7.000	105.00
29.99	7.000	110.00	629.58	251.83	13.52	0.29346	-0.00699	6.938	108.88	30.00	7.000	110.00
30.00	7.000	115.00	609.59	243.83	14.57	0.25559	-0.00724	6.921	113.90	30.00	7.000	115.00
30.00	7.000	120.00	596.78	238.71	15.64	0.18261	-0.00659	6.903	118.81	30.00	7.000	120.00
30.00	7.000	125.00	588.85	235.54	17.01	0.11660	-0.00531	6.883	123.84	30.00	7.000	125.00
29.99	7.000	130.00	577.12	230.85	17.26	0.06284	-0.00369	6.866	128.74	30.00	7.000	130.00
30.00	7.000	135.00	568.39	227.35	17.78	-0.04522	-0.00163	6.848	133.89	30.00	7.000	135.00
30.01	7.000	140.00	560.35	224.14	18.10	-0.15136	0.00120	6.831	138.94	30.00	7.000	140.00
30.01	7.000	145.00	551.36	220.54	18.00	-0.14020	0.00391	6.816	144.01	30.00	7.000	145.00
30.00	7.000	150.00	545.46	218.18	18.27	-0.28465	0.00773	6.803	149.08	30.00	7.000	150.00
30.00	7.000	155.00	537.04	214.82	17.57	-0.41522	0.01158	6.792	154.10	30.00	7.000	155.00
29.99	7.000	160.00	535.86	214.34	16.64	-0.36864	0.01412	6.782	159.07	30.00	7.000	160.00
30.00	7.000	165.00	528.10	211.24	15.66	-0.55951	0.01781	6.774	164.13	30.00	7.000	165.00
30.01	7.000	170.00	538.59	215.43	19.31	-1.00000	0.02760	6.766	169.13	30.00	7.000	170.00
30.00	7.000	175.00	533.57	213.43	18.55	-1.00000	0.03191	6.759	174.34	30.00	7.000	175.00
29.99	7.000	180.00	512.06	204.82	14.68	1.00000	0.02230	6.753	179.59	30.00	7.000	180.00
30.00	7.000	185.00	521.64	208.66	15.40	0.30820	0.03037	6.753	184.80	30.00	7.000	185.00
30.00	7.000	190.00	525.63	210.25	16.49	1.00000	0.03008	6.755	189.87	30.00	7.000	190.00
30.01	7.000	195.00	527.98	211.19	16.48	1.00000	0.03151	6.760	195.05	30.00	7.000	195.00
30.00	7.000	200.00	522.30	208.92	15.46	-1.00000	0.03718	6.767	200.10	30.00	7.000	200.00
30.00	7.000	205.00	530.04	212.02	16.61	-0.31112	0.03227	6.777	205.20	30.00	7.000	205.00
29.99	7.000	210.00	548.41	219.37	19.06	-0.37946	0.03280	6.789	210.21	30.00	7.000	210.00
30.00	7.000	215.00	557.17	222.87	19.42	-0.43960	0.03269	6.803	215.31	30.00	7.000	215.00
30.00	7.000	220.00	561.61	224.64	18.70	-0.49683	0.03108	6.820	220.18	30.00	7.000	220.00
30.00	7.000	225.00	569.26	227.70	18.32	-0.50883	0.02970	6.837	225.20	30.00	7.000	225.00
30.00	7.000	230.00	577.90	231.16	18.03	-0.53705	0.02711	6.855	230.00	30.00	7.000	230.00
30.00	7.000	235.00	585.43	234.17	17.20	-0.50266	0.02439	6.874	235.04	30.00	7.000	235.00
29.99	7.000	240.00	592.73	237.09	15.78	-0.59340	0.02098	6.894	239.74	30.00	7.000	240.00
