Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
80.01	0.030	0.00	241.03	96.41	20.21	0.01557	0.00003	0.031	0.34	80.00	0.030	0.00	
80.00	0.030	5.00	240.91	96.37	19.97	0.05539	0.00007	0.031	4.95	80.00	0.030	5.00	
80.00	0.030	10.00	242.82	97.13	20.39	0.03949	-0.00016	0.032	9.94	80.00	0.030	10.00	
80.00	0.030	15.00	244.41	97.76	20.49	0.03039	-0.00015	0.031	14.88	80.00	0.030	15.00	
80.00	0.030	20.00	245.76	98.30	20.66	0.06292	0.00007	0.032	19.84	80.00	0.030	20.00	
79.99	0.030	25.00	247.82	99.13	20.62	0.02759	0.00030	0.031	24.44	80.00	0.030	25.00	
80.01	0.030	30.00	250.72	100.29	20.96	0.04850	0.00007	0.031	29.34	80.00	0.030	30.00	
80.01	0.030	35.00	253.89	101.56	21.53	0.03621	0.00045	0.031	34.20	80.00	0.030	35.00	
80.00	0.030	40.00	256.17	102.47	21.86	0.01826	0.00067	0.031	38.99	80.00	0.030	40.00	
80.01	0.030	45.00	259.50	103.80	22.02	0.03576	0.00068	0.031	43.85	80.00	0.030	45.00	
80.01	0.030	50.00	262.27	104.91	21.95	0.02532	0.00040	0.030	48.54	80.00	0.030	50.00	
80.01	0.030	55.00	266.31	106.52	22.44	0.03576	0.00054	0.030	53.23	80.00	0.030	55.00	
80.00	0.030	60.00	269.84	107.94	22.57	-0.01288	0.00056	0.031	58.17	80.00	0.030	60.00	
80.00	0.030	65.00	273.89	109.56	23.15	0.01592	0.00060	0.030	63.21	80.00	0.030	65.00	
80.00	0.030	70.00	277.12	110.85	23.66	0.03811	0.00050	0.029	68.42	80.00	0.030	70.00	
80.01	0.030	75.00	280.07	112.03	24.16	-0.00240	0.00037	0.030	73.50	80.00	0.030	75.00	
80.00	0.030	78.00	280.95	112.38	23.68	0.01114	-0.00020	0.030	76.69	80.00	0.030	78.00	
79.99	0.030	81.00	281.59	112.64	23.67	0.02851	0.00041	0.030	79.96	80.00	0.030	81.00	
80.00	0.030	84.00	282.32	112.93	23.77	0.04628	0.00010	0.030	83.09	80.00	0.030	84.00	
80.00	0.030	86.00	282.77	113.11	23.80	0.01614	0.00009	0.030	85.12	80.00	0.030	86.00	
80.00	0.030	88.00	282.64	113.06	23.82	0.01414	-0.00004	0.030	87.56	80.00	0.030	88.00	
80.01	0.030	90.00	283.46	113.38	24.36	-0.00485	0.00024	0.029	89.46	80.00	0.030	90.00	
79.99	0.030	92.00	282.94	113.18	24.06	0.01290	-0.00033	0.030	91.22	80.00	0.030	92.00	
80.00	0.030	94.00	282.78	113.11	24.00	0.01217	-0.00008	0.030	93.41	80.00	0.030	94.00	
80.00	0.030	96.00	282.52	113.01	24.08	-0.00736	0.00039	0.030	95.71	80.00	0.030	96.00	
80.00	0.030	99.00	281.05	112.42	23.75	0.02425	0.00003	0.030	98.61	80.00	0.030	99.00	
80.00	0.030	102.00	279.92	111.97	23.92	0.01130	0.00013	0.030	101.88	80.00	0.030	102.00	
80.00	0.030	105.00	278.55	111.42	23.73	0.04728	0.00017	0.030	104.53	80.00	0.030	105.00	
80.00	0.029	110.00	275.49	110.19	23.08	-0.00843	0.00002	0.030	109.40	80.00	0.030	110.00	
80.01	0.030	115.00	273.19	109.27	23.11	-0.07262	0.00055	0.031	114.22	80.00	0.030	115.00	
80.00	0.030	120.00	268.97	107.59	22.21	0.03038	-0.00016	0.030	119.43	80.00	0.030	120.00	
80.00	0.030	125.00	266.60	106.64	22.87	0.01483	0.00080	0.030	124.27	80.00	0.030	125.00	
