Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.51	0.200	0.00	191.25	76.50	16.79	0.05591	-0.00028	0.210	-0.04	77.50	0.200	0.00	
77.51	0.200	5.00	191.31	76.52	16.58	0.02817	-0.00032	0.209	4.92	77.50	0.200	5.00	
77.50	0.200	10.00	191.98	76.79	16.70	0.03365	0.00047	0.209	9.95	77.50	0.200	10.00	
77.50	0.200	15.00	192.79	77.12	17.10	0.03720	0.00027	0.210	14.99	77.50	0.200	15.00	
77.50	0.200	20.00	192.65	77.06	16.78	0.02849	0.00012	0.209	19.90	77.50	0.200	20.00	
77.50	0.200	25.00	193.05	77.22	16.88	0.00123	0.00039	0.209	24.85	77.50	0.200	25.00	
77.50	0.200	30.00	193.56	77.42	16.86	0.04569	0.00053	0.208	29.71	77.50	0.200	30.00	
77.50	0.200	35.00	193.69	77.48	16.60	0.06179	0.00009	0.208	34.52	77.50	0.200	35.00	
77.50	0.200	40.00	195.09	78.04	16.90	0.03691	0.00054	0.207	39.32	77.50	0.200	40.00	
77.49	0.200	45.00	195.96	78.38	16.85	0.04464	0.00021	0.205	44.16	77.50	0.200	45.00	
77.50	0.200	50.00	197.95	79.18	17.13	0.02834	0.00062	0.204	48.98	77.50	0.200	50.00	
77.50	0.200	55.00	199.60	79.84	16.93	0.00320	0.00013	0.203	53.93	77.50	0.200	55.00	
77.49	0.200	60.00	204.04	81.62	16.92	0.05756	0.00012	0.201	58.86	77.50	0.200	60.00	
77.50	0.200	65.00	207.57	83.03	17.37	0.00874	0.00031	0.200	63.80	77.50	0.200	65.00	
77.50	0.200	70.00	211.83	84.73	17.64	0.02283	0.00006	0.199	68.88	77.50	0.200	70.00	
77.50	0.200	75.00	217.67	87.07	17.67	0.04746	-0.00018	0.198	74.08	77.50	0.200	75.00	
77.50	0.200	78.00	222.57	89.03	17.94	0.00782	0.00018	0.199	77.16	77.50	0.200	78.00	
77.50	0.200	81.00	229.47	91.79	18.65	0.03281	0.00044	0.199	80.25	77.50	0.200	81.00	
77.50	0.200	84.00	237.88	95.15	19.33	0.01465	0.00018	0.199	83.40	77.50	0.200	84.00	
77.50	0.200	86.00	244.49	97.80	20.42	0.04311	0.00008	0.199	85.49	77.50	0.200	86.00	
77.50	0.200	88.00	249.58	99.83	21.03	0.00690	0.00003	0.200	87.54	77.50	0.200	88.00	
77.50	0.200	90.00	252.71	101.08	22.10	0.01430	0.00048	0.200	89.52	77.50	0.200	90.00	
77.50	0.200	92.00	251.35	100.54	21.64	-0.03705	0.00069	0.201	91.61	77.50	0.200	92.00	
77.50	0.200	94.00	246.74	98.70	21.25	0.03590	0.00043	0.201	93.68	77.50	0.200	94.00	
77.50	0.201	96.00	240.36	96.14	20.18	0.03173	0.00033	0.201	95.66	77.50	0.200	96.00	
77.50	0.200	99.00	231.20	92.48	19.09	0.04938	-0.00023	0.202	98.64	77.50	0.200	99.00	
77.50	0.200	102.00	223.43	89.37	18.15	0.04809	-0.00017	0.203	101.62	77.50	0.200	102.00	
77.50	0.200	105.00	218.40	87.36	17.68	0.09593	0.00004	0.203	104.60	77.50	0.200	105.00	
77.50	0.200	110.00	213.00	85.20	17.59	0.01199	0.00020	0.204	109.46	77.50	0.200	110.00	
77.50	0.200	115.00	209.09	83.64	17.46	0.03799	0.00029	0.204	114.35	77.50	0.200	115.00	
77.50	0.200	120.00	206.31	82.52	17.72	0.01549	-0.00009	0.205	119.26	77.50	0.200	120.00	
77.50	0.200	125.00	203.63	81.45	17.23	0.01706	-0.00015	0.205	124.16	77.50	0.200	125.00	
77.50	0.200	130.00	201.87	80.75	17.19	0.02507	0.00047	0.205	129.10	77.50	0.200	130.00	
77.50	0.200	135.00	199.64	79.86	16.85	0.09042	-0.00067	0.205	134.09	77.50	0.200	135.00	
77.50	0.200	140.00	198.27	79.31	16.68	0.07321	-0.00016	0.204	139.10	77.50	0.200	140.00	
77.50	0.200	145.00	197.01	78.80	16.66	0.09298	-0.00067	0.203	144.11	77.50	0.200	145.00	
77.50	0.201	150.00	197.46	78.98	17.50	0.04865	0.00090	0.204	149.07	77.50	0.200	150.00	
77.50	0.200	155.00	196.86	78.74	17.48	0.10683	-0.00039	0.203	154.04	77.50	0.200	155.00	
77.50	0.200	160.00	196.56	78.62	17.58	-0.02202	0.00201	0.203	159.04	77.50	0.200	160.00	
77.50	0.199	165.00	195.56	78.22	16.97	-0.02674	0.00109	0.203	163.97	77.50	0.200	165.00	
77.50	0.200	170.00	195.29	78.11	17.29	-0.02932	0.00072	0.203	169.05	77.50	0.200	170.00	
77.50	0.200	175.00	194.73	77.89	17.18	0.08355	0.00024	0.203	174.13	77.50	0.200	175.00	
77.50	0.200	180.00	193.91	77.56	16.89	0.05771	-0.00049	0.203	179.23	77.50	0.200	180.00	
77.50	0.200	185.00	194.16	77.66	17.53	-0.02306	0.00065	0.203	184.31	77.50	0.200	185.00	
77.50	0.200	190.00	192.79	77.11	17.05	0.07341	-0.00015	0.203	189.36	77.50	0.200	190.00	
77.50	0.200	195.00	192.47	76.99	17.14	0.04870	0.00033	0.204	194.49	77.50	0.200	195.00	
77.50	0.200	200.00	192.00	76.80	17.09	0.01105	0.00056	0.204	199.56	77.50	0.200	200.00	
77.50	0.200	205.00	192.31	76.93	16.93	0.03580	0.00034	0.205	204.66	77.50	0.200	205.00	
77.50	0.200	210.00	193.77	77.51	17.00	-0.02283	0.00080	0.205	209.68	77.50	0.200	210.00	
77.50	0.200	215.00	194.64	77.85	17.21	0.04154	0.00022	0.205	214.66	77.50	0.200	215.00	
77.50	0.200	220.00	195.16	78.07	16.78	0.05112	-0.00013	0.206	219.44	77.50	0.200	220.00	
77.50	0.200	225.00	196.91	78.76	16.96	0.03072	0.00034	0.206	224.20	77.50	0.200	225.00	
77.50	0.200	230.00	198.82	79.53	16.80	0.00920	0.00005	0.205	229.05	77.50	0.200	230.00	
77.50	0.200	235.00	202.22	80.89	17.42	0.06622	0.00032	0.205	233.91	77.50	0.200	235.00	
77.50	0.200	240.00	205.90	82.36	17.44	0.01602	0.00036	0.205	238.78	77.50	0.200	240.00	
