Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
65.00	7.000	0.00	56.38	22.55	8.08	0.03077	0.00056	7.122	-0.10	65.00	7.000	0.00	
65.00	7.000	5.00	56.20	22.48	8.03	0.06201	0.00285	7.122	4.87	65.00	7.000	5.00	
64.99	7.000	10.00	56.61	22.65	8.22	0.11578	0.01075	7.121	9.78	65.00	7.000	10.00	
64.99	7.000	15.00	56.97	22.79	8.28	0.11239	0.01127	7.118	14.68	65.00	7.000	15.00	
65.01	7.000	20.00	56.93	22.77	8.00	0.08668	0.01724	7.113	19.60	65.00	7.000	20.00	
65.01	7.000	25.00	58.55	23.42	8.35	0.09008	0.02235	7.106	24.52	65.00	7.000	25.00	
65.01	7.000	30.00	60.59	24.23	8.63	0.09692	0.02478	7.097	29.43	65.00	7.000	30.00	
65.00	7.000	35.00	63.68	25.47	8.95	0.15755	0.02526	7.088	34.35	65.00	7.000	35.00	
64.99	7.000	40.00	66.06	26.42	9.00	0.15081	0.02417	7.079	39.27	65.00	7.000	40.00	
65.00	7.000	45.00	69.26	27.70	9.34	0.10692	0.02530	7.066	44.20	65.00	7.000	45.00	
65.01	7.001	50.00	72.89	29.16	9.59	-0.01262	0.02377	7.053	49.14	65.00	7.000	50.00	
65.00	7.000	55.00	76.38	30.55	9.83	0.04828	0.02163	7.039	54.11	65.00	7.000	55.00	
65.01	7.000	60.00	79.97	31.99	10.22	-0.01584	0.01967	7.027	59.11	65.00	7.000	60.00	
65.01	7.000	65.00	82.81	33.12	10.58	-0.02976	0.01616	7.017	64.14	65.00	7.000	65.00	
65.01	7.000	70.00	85.42	34.17	10.91	-0.06112	0.01136	7.007	69.18	65.00	7.000	70.00	
65.00	7.000	75.00	86.85	34.74	11.48	0.02584	0.00716	6.998	74.25	65.00	7.000	75.00	
65.00	7.000	78.00	86.57	34.63	11.65	0.03585	0.00306	6.992	77.28	65.00	7.000	78.00	
65.00	7.000	81.00	85.27	34.11	12.15	0.04599	0.00098	6.987	80.33	65.00	7.000	81.00	
65.00	7.000	84.00	82.69	33.08	12.48	0.09079	-0.00020	6.983	83.39	65.00	7.000	84.00	
65.00	7.000	86.00	81.40	32.56	12.61	0.05070	-0.00213	6.981	85.45	65.00	7.000	86.00	
65.00	7.000	88.00	82.24	32.89	11.72	0.03941	-0.00438	6.978	87.50	65.00	7.000	88.00	
65.00	7.000	90.00	89.56	35.82	9.85	0.04932	-0.00637	6.977	89.56	65.00	7.000	90.00	
65.00	7.000	92.00	83.92	33.57	11.02	0.14839	-0.00718	6.976	91.64	65.00	7.000	92.00	
65.00	7.000	94.00	81.07	32.43	12.49	0.09304	-0.00684	6.975	93.72	65.00	7.000	94.00	
65.00	7.000	96.00	82.19	32.87	12.45	0.03753	-0.00839	6.975	95.78	65.00	7.000	96.00	
65.00	7.000	99.00	85.44	34.18	12.31	0.10168	-0.00876	6.974	98.80	65.00	7.000	99.00	
65.00	7.000	102.00	87.46	34.98	12.01	0.05718	-0.00762	6.971	101.76	65.00	7.000	102.00	
65.00	7.000	105.00	88.25	35.30	11.75	0.03446	-0.00798	6.966	104.70	65.00	7.000	105.00	
65.00	7.000	110.00	87.00	34.80	11.03	0.05106	-0.00997	6.952	109.55	65.00	7.000	110.00	
65.00	7.000	115.00	84.56	33.83	10.54	0.09938	-0.00889	6.934	114.43	65.00	7.000	115.00	
65.00	7.000	120.00	81.24	32.50	10.07	0.02986	-0.00901	6.913	119.32	65.00	7.000	120.00	
65.00	7.000	125.00	77.79	31.12	9.93	-0.00905	-0.00696	6.892	124.24	65.00	7.000	125.00	
65.00	7.000	130.00	74.05	29.62	9.46	0.03026	-0.00680	6.873	129.19	65.00	7.000	130.00	
65.00	7.000	135.00	70.51	28.20	9.09	0.10889	-0.00810	6.853	134.17	65.00	7.000	135.00	
65.00	7.000	140.00	67.60	27.04	8.91	0.03993	-0.00313	6.836	139.18	65.00	7.000	140.00	
65.00	7.000	145.00	64.99	25.99	8.77	0.08406	-0.00257	6.820	144.21	65.00	7.000	145.00	
65.00	7.000	150.00	62.73	25.09	8.60	0.08826	-0.00056	6.806	149.22	65.00	7.000	150.00	
65.00	7.000	155.00	61.62	24.65	8.54	0.03798	0.00400	6.794	154.18	65.00	7.000	155.00	
65.00	7.000	160.00	60.41	24.17	8.47	0.01643	0.00543	6.784	159.13	65.00	7.000	160.00	
65.00	7.000	165.00	59.82	23.93	8.48	0.07084	0.00913	6.776	164.09	65.00	7.000	165.00	
65.00	7.000	170.00	58.39	23.36	8.03	0.11866	0.00413	6.768	169.11	65.00	7.000	170.00	
65.00	7.000	175.00	57.78	23.11	7.85	0.18102	0.00300	6.760	174.24	65.00	7.000	175.00	
64.99	7.000	180.00	58.77	23.51	8.45	0.00904	0.01426	6.753	179.49	65.00	7.000	180.00	
65.00	7.000	185.00	57.38	22.95	7.83	0.15784	0.00822	6.752	184.67	65.00	7.000	185.00	
65.00	7.000	190.00	59.39	23.76	9.39	0.17475	0.02317	6.754	189.82	65.00	7.000	190.00	
65.00	7.000	195.00	57.42	22.97	7.76	0.15203	0.00987	6.758	194.98	65.00	7.000	195.00	
65.00	7.000	200.00	58.75	23.50	8.32	0.15615	0.02014	6.766	200.12	65.00	7.000	200.00	
65.01	7.000	205.00	60.23	24.09	8.64	0.07077	0.02657	6.776	205.25	65.00	7.000	205.00	
65.00	7.000	210.00	61.19	24.48	8.39	0.19643	0.02292	6.788	210.37	65.00	7.000	210.00	
65.00	7.000	215.00	64.30	25.72	9.23	0.05145	0.02746	6.803	215.46	65.00	7.000	215.00	
65.00	7.000	220.00	66.24	26.50	8.93	0.14492	0.02370	6.819	220.45	65.00	7.000	220.00	
65.00	7.000	225.00	69.89	27.96	9.71	0.05718	0.02731	6.837	225.41	65.00	7.000	225.00	
65.00	7.000	230.00	72.69	29.08	9.98	0.01551	0.02775	6.855	230.39	65.00	7.000	230.00	
64.99	7.000	235.00	75.65	30.26	9.94	0.06671	0.02296	6.875	235.34	65.00	7.000	235.00	
65.00	7.000	240.00	79.62	31.85	10.71	0.00937	0.02332	6.894	240.29	65.00	7.000	240.00	
