Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
64.99	5.000	0.00	95.85	38.34	10.05	0.00182	-0.00081	5.117	-0.17	65.00	5.000	0.00	
65.00	5.000	5.00	96.15	38.46	9.96	0.00538	0.00085	5.117	4.83	65.00	5.000	5.00	
65.00	5.000	10.00	96.38	38.55	10.12	-0.00794	0.00391	5.116	9.74	65.00	5.000	10.00	
65.01	5.000	15.00	95.74	38.30	9.95	0.06533	0.00347	5.113	14.65	65.00	5.000	15.00	
65.01	5.000	20.00	96.77	38.71	10.38	-0.03645	0.01054	5.109	19.55	65.00	5.000	20.00	
65.01	5.000	25.00	97.79	39.12	10.70	-0.04195	0.01288	5.103	24.47	65.00	5.000	25.00	
65.00	5.000	30.00	98.27	39.31	10.40	0.07840	0.01115	5.097	29.37	65.00	5.000	30.00	
64.99	5.000	35.00	99.73	39.89	10.57	0.11916	0.01157	5.089	34.27	65.00	5.000	35.00	
65.00	5.000	40.00	101.67	40.67	10.76	-0.05552	0.01104	5.080	39.19	65.00	5.000	40.00	
65.00	5.000	45.00	103.97	41.59	11.00	0.05760	0.01110	5.070	44.12	65.00	5.000	45.00	
65.01	5.000	50.00	105.88	42.35	11.04	0.09306	0.00882	5.058	49.07	65.00	5.000	50.00	
65.01	5.000	55.00	108.11	43.25	11.28	0.06023	0.00867	5.047	54.04	65.00	5.000	55.00	
65.01	5.000	60.00	110.33	44.13	11.66	-0.03288	0.00744	5.037	59.04	65.00	5.000	60.00	
65.01	5.000	65.00	111.74	44.70	11.86	0.07654	0.00517	5.027	64.08	65.00	5.000	65.00	
65.01	5.000	70.00	112.58	45.03	12.27	0.02047	0.00360	5.018	69.14	65.00	5.000	70.00	
65.00	5.000	75.00	111.59	44.64	12.87	0.03463	0.00265	5.011	74.22	65.00	5.000	75.00	
65.00	5.000	78.00	109.51	43.80	13.04	0.06069	0.00087	5.007	77.28	65.00	5.000	78.00	
65.00	5.000	81.00	105.78	42.31	13.07	0.03558	-0.00093	5.004	80.34	65.00	5.000	81.00	
65.00	5.000	84.00	101.52	40.61	13.42	0.04909	-0.00097	5.001	83.41	65.00	5.000	84.00	
64.99	5.000	86.00	98.93	39.57	13.19	0.08935	-0.00169	5.000	85.47	65.00	5.000	86.00	
65.00	5.000	88.00	99.20	39.68	12.04	0.08943	-0.00323	4.999	87.53	65.00	5.000	88.00	
65.00	4.999	90.00	104.97	41.99	10.40	0.07990	-0.00457	4.997	89.59	65.00	5.000	90.00	
65.00	5.000	92.00	100.87	40.35	11.64	0.09469	-0.00417	4.997	91.66	65.00	5.000	92.00	
65.00	5.000	94.00	98.49	39.39	13.00	0.07434	-0.00468	4.997	93.73	65.00	5.000	94.00	
65.00	5.000	96.00	100.49	40.20	13.34	0.01771	-0.00377	4.997	95.78	65.00	5.000	96.00	
65.00	5.000	99.00	105.24	42.10	13.32	0.09473	-0.00462	4.997	98.82	65.00	5.000	99.00	
65.00	5.000	102.00	109.34	43.74	13.27	0.07476	-0.00461	4.995	101.80	65.00	5.000	102.00	
65.00	5.000	105.00	111.73	44.69	12.69	0.02766	-0.00524	4.993	104.75	65.00	5.000	105.00	
64.99	5.000	110.00	113.60	45.44	12.45	0.06901	-0.00494	4.984	109.63	65.00	5.000	110.00	
65.00	5.000	115.00	113.50	45.40	12.20	-0.00254	-0.00452	4.972	114.50	65.00	5.000	115.00	
64.99	5.000	120.00	111.27	44.51	11.69	0.03123	-0.00508	4.957	119.38	65.00	5.000	120.00	
65.00	5.000	125.00	109.13	43.65	11.26	0.04814	-0.00426	4.943	124.29	65.00	5.000	125.00	
65.00	5.000	130.00	107.31	42.92	11.17	0.06611	-0.00305	4.927	129.23	65.00	5.000	130.00	
65.00	5.000	135.00	106.67	42.67	11.45	0.05570	-0.00156	4.912	134.21	65.00	5.000	135.00	
65.01	5.000	140.00	104.23	41.69	10.98	0.00701	-0.00122	4.898	139.20	65.00	5.000	140.00	
