Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
29.99	2.000	0.00	1107.67	443.07	20.88	-0.18864	0.00139	2.081	-0.70	30.00	2.000	0.00	
30.00	2.000	5.00	1094.69	437.88	19.20	-0.02530	0.00055	2.082	4.26	30.00	2.000	5.00	
30.00	2.000	10.00	1098.97	439.59	19.76	-0.07799	0.00115	2.082	9.23	30.00	2.000	10.00	
30.00	2.000	15.00	1101.94	440.77	20.25	-0.06731	0.00148	2.081	14.15	30.00	2.000	15.00	
30.00	2.000	20.00	1103.53	441.41	20.30	-0.02170	0.00149	2.079	19.02	30.00	2.000	20.00	
30.00	2.000	25.00	1101.69	440.68	19.44	-0.02825	0.00144	2.075	23.90	30.00	2.000	25.00	
30.00	2.001	30.00	1104.43	441.77	19.18	-0.06301	0.00153	2.071	28.76	30.00	2.000	30.00	
30.00	2.000	35.00	1106.15	442.46	18.26	-0.06579	0.00143	2.063	33.62	30.00	2.000	35.00	
30.00	2.000	40.00	1113.58	445.43	18.06	-0.03640	0.00139	2.056	38.47	30.00	2.000	40.00	
30.00	2.000	45.00	1121.19	448.48	17.19	-0.03803	0.00133	2.047	43.35	30.00	2.000	45.00	
30.00	2.000	50.00	1137.58	455.03	17.09	-0.03794	0.00129	2.037	48.24	30.00	2.000	50.00	
30.00	2.000	55.00	1152.70	461.08	16.11	-0.04356	0.00111	2.027	53.18	30.00	2.000	55.00	
30.00	2.000	60.00	1177.91	471.16	15.57	-0.02496	0.00102	2.017	58.17	30.00	2.000	60.00	
30.00	2.000	65.00	1212.37	484.95	14.98	-0.00878	0.00089	2.008	63.21	30.00	2.000	65.00	
30.01	2.000	70.00	1259.89	503.95	14.39	0.00039	0.00068	2.001	68.29	30.00	2.000	70.00	
30.00	2.000	75.00	1328.17	531.27	13.80	-0.02305	0.00056	1.996	73.41	30.00	2.000	75.00	
30.00	2.000	78.00	1390.86	556.34	13.68	-0.02878	0.00052	1.995	76.50	30.00	2.000	78.00	
30.00	2.000	81.00	1477.22	590.89	13.55	-0.05071	0.00043	1.994	79.59	30.00	2.000	81.00	
30.00	1.999	84.00	1614.54	645.82	13.88	-0.04405	0.00027	1.990	82.65	30.00	2.000	84.00	
29.99	1.999	86.00	1740.49	696.20	14.84	-0.03897	0.00029	1.987	84.74	30.00	2.000	86.00	
29.98	2.000	88.00	1862.78	745.11	16.09	-0.09986	0.00016	1.984	86.81	30.00	2.000	88.00	
29.99	2.000	90.00	1945.32	778.13	17.79	-0.09144	0.00023	1.982	88.88	30.00	2.000	90.00	
29.99	2.000	92.00	1939.08	775.63	17.83	-0.08190	0.00017	1.981	90.96	30.00	2.000	92.00	
29.99	1.999	94.00	1855.27	742.11	16.98	-0.09059	0.00017	1.981	93.03	30.00	2.000	94.00	
29.99	2.000	96.00	1731.94	692.78	15.27	-0.09744	0.00009	1.982	95.08	30.00	2.000	96.00	
30.00	2.000	99.00	1577.91	631.17	14.55	-0.08189	0.00001	1.982	98.08	30.00	2.000	99.00	
30.02	2.000	102.00	1460.30	584.12	14.19	0.01901	-0.00013	1.985	101.08	30.00	2.000	102.00	
30.00	2.000	105.00	1381.21	552.48	14.31	0.00912	-0.00019	1.996	104.13	30.00	2.000	105.00	
30.00	2.000	110.00	1298.35	519.34	14.92	0.05793	-0.00032	1.999	109.09	30.00	2.000	110.00	
30.00	2.000	115.00	1241.73	496.69	15.21	0.03176	-0.00037	2.000	114.02	30.00	2.000	115.00	
30.01	2.000	120.00	1205.06	482.03	15.98	-0.02317	-0.00028	1.998	118.94	30.00	2.000	120.00	
