Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
74.99	0.029	0.00	405.32	162.13	25.19	0.07384	0.00034	0.031	0.30	75.00	0.030	0.00	
75.01	0.030	5.00	404.38	161.75	24.54	0.02749	0.00029	0.032	4.96	75.00	0.030	5.00	
75.00	0.030	10.00	405.89	162.35	24.92	0.05213	0.00034	0.032	9.64	75.00	0.030	10.00	
74.99	0.030	15.00	406.80	162.72	24.75	0.02853	0.00039	0.032	14.81	75.00	0.030	15.00	
75.00	0.030	20.00	410.93	164.37	25.97	0.03308	0.00029	0.032	19.33	75.00	0.030	20.00	
75.01	0.029	25.00	412.24	164.89	25.86	0.03022	0.00059	0.031	24.15	75.00	0.030	25.00	
75.01	0.030	30.00	414.96	165.98	25.77	0.02351	0.00017	0.032	28.92	75.00	0.030	30.00	
74.99	0.030	35.00	416.77	166.71	25.93	0.05669	0.00038	0.032	33.82	75.00	0.030	35.00	
75.00	0.030	40.00	419.99	168.00	26.30	0.02193	0.00028	0.032	38.67	75.00	0.030	40.00	
75.00	0.030	45.00	422.89	169.16	26.25	0.01024	0.00019	0.031	43.32	75.00	0.030	45.00	
75.01	0.030	50.00	426.63	170.65	27.14	0.00991	0.00036	0.031	47.82	75.00	0.030	50.00	
75.01	0.030	55.00	430.87	172.35	27.93	0.02553	0.00025	0.031	52.74	75.00	0.030	55.00	
75.00	0.030	60.00	433.13	173.25	27.34	0.03917	0.00015	0.030	57.79	75.00	0.030	60.00	
75.00	0.030	65.00	435.93	174.37	27.54	0.01630	0.00002	0.031	62.77	75.00	0.030	65.00	
75.01	0.030	70.00	439.27	175.71	28.09	0.03445	0.00013	0.030	67.76	75.00	0.030	70.00	
75.00	0.030	75.00	440.82	176.33	27.83	0.03822	0.00001	0.030	73.06	75.00	0.030	75.00	
75.00	0.030	78.00	441.33	176.53	27.83	0.05905	-0.00015	0.030	76.13	75.00	0.030	78.00	
75.01	0.030	81.00	442.34	176.94	27.95	0.00600	-0.00008	0.030	79.33	75.00	0.030	81.00	
75.01	0.031	84.00	442.73	177.09	27.93	0.03473	-0.00010	0.031	82.47	75.00	0.030	84.00	
75.00	0.030	86.00	443.57	177.43	28.66	-0.07267	0.00032	0.031	84.32	75.00	0.030	86.00	
75.00	0.030	88.00	443.34	177.33	28.33	0.00892	-0.00008	0.031	86.46	75.00	0.030	88.00	
75.01	0.030	90.00	443.86	177.54	28.59	0.01311	-0.00003	0.030	88.62	75.00	0.030	90.00	
74.99	0.030	92.00	442.69	177.08	28.26	0.04367	-0.00030	0.030	90.87	75.00	0.030	92.00	
75.01	0.030	94.00	443.17	177.27	28.33	-0.00090	-0.00024	0.030	92.86	75.00	0.030	94.00	
75.00	0.030	96.00	442.52	177.01	28.09	0.01835	-0.00018	0.030	94.93	75.00	0.030	96.00	
75.01	0.029	99.00	442.37	176.95	28.23	0.01503	0.00000	0.030	97.90	75.00	0.030	99.00	
74.99	0.030	102.00	440.59	176.24	27.45	-0.03653	-0.00027	0.030	101.02	75.00	0.030	102.00	
75.00	0.030	105.00	440.50	176.20	28.55	-0.01087	-0.00027	0.031	103.88	75.00	0.030	105.00	
75.00	0.030	110.00	437.62	175.05	27.31	0.02871	-0.00023	0.031	108.56	75.00	0.030	110.00	
75.02	0.030	115.00	435.14	174.06	27.41	-0.02896	-0.00024	0.031	113.70	75.00	0.030	115.00	
74.98	0.030	120.00	431.36	172.55	26.49	-0.00103	-0.00038	0.031	118.88	75.00	0.030	120.00	
75.00	0.030	125.00	431.70	172.68	28.44	0.00860	0.00056	0.031	123.58	75.00	0.030	125.00	
75.01	0.030	130.00	427.36	170.94	26.65	0.00394	0.00031	0.031	129.10	75.00	0.030	130.00	
75.00	0.030	135.00	424.24	169.70	26.29	0.02411	0.00013	0.031	134.11	75.00	0.030	135.00	
75.00	0.030	140.00	421.16	168.46	25.68	-0.01692	-0.00010	0.030	139.26	75.00	0.030	140.00	
75.00	0.030	145.00	418.21	167.28	25.47	0.06599	-0.00046	0.031	144.28	75.00	0.030	145.00	
75.00	0.030	150.00	416.75	166.70	25.68	0.00554	0.00026	0.030	149.99	75.00	0.030	150.00	
74.99	0.030	155.00	412.75	165.10	24.82	0.02862	-0.00012	0.031	154.49	75.00	0.030	155.00	
74.99	0.030	160.00	411.48	164.59	25.52	-0.00563	0.00025	0.031	159.21	75.00	0.030	160.00	
74.99	0.030	165.00	408.87	163.55	24.86	0.00269	0.00017	0.030	164.45	75.00	0.030	165.00	
75.02	0.030	170.00	407.25	162.90	24.78	0.01476	-0.00020	0.030	169.19	75.00	0.030	170.00	
74.99	0.030	175.00	406.49	162.60	24.72	-0.01993	0.00018	0.030	174.66	75.00	0.030	175.00	
74.99	0.030	180.00	405.68	162.27	24.91	0.03896	0.00029	0.031	179.85	75.00	0.030	180.00	
74.98	0.030	185.00	404.20	161.68	24.36	0.03462	0.00018	0.030	184.74	75.00	0.030	185.00	
75.01	0.030	190.00	402.97	161.19	24.00	0.04666	0.00006	0.031	189.61	75.00	0.030	190.00	
74.98	0.030	195.00	403.02	161.21	24.32	0.06222	-0.00005	0.031	194.90	75.00	0.030	195.00	
75.00	0.030	200.00	403.64	161.46	24.10	0.05777	-0.00008	0.031	199.89	75.00	0.030	200.00	
74.99	0.030	205.00	403.38	161.35	23.99	0.02269	-0.00020	0.031	205.07	75.00	0.030	205.00	
74.99	0.030	210.00	405.85	162.34	24.85	0.02738	0.00032	0.031	210.16	75.00	0.030	210.00	
75.00	0.030	215.00	406.60	162.64	24.77	-0.00148	0.00027	0.031	215.18	75.00	0.030	215.00	
75.00	0.030	220.00	407.98	163.19	24.77	0.02201	0.00012	0.031	220.06	75.00	0.030	220.00	
75.00	0.030	225.00	409.84	163.94	24.94	-0.00119	0.00006	0.031	225.00	75.00	0.030	225.00	
75.00	0.030	230.00	412.26	164.91	24.90	0.04604	0.00018	0.031	230.03	75.00	0.030	230.00	
75.00	0.030	235.00	414.12	165.65	24.98	0.03843	0.00018	0.031	234.80	75.00	0.030	235.00	
75.00	0.030	240.00	416.78	166.71	25.71	0.01393	0.00035	0.031	239.91	75.00	0.030	240.00	
