Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
15.01	3.000	0.00	1640.14	656.06	28.58	-0.16243	0.00260	3.096	-0.17	15.00	3.000	0.00
15.01	3.000	5.00	1636.28	654.51	28.54	-0.17006	0.00273	3.096	4.74	15.00	3.000	5.00
15.00	3.000	10.00	1636.54	654.62	28.28	-0.20234	0.00329	3.096	9.63	15.00	3.000	10.00
15.01	3.000	15.00	1643.61	657.44	28.59	-0.22912	0.00381	3.094	14.48	15.00	3.000	15.00
15.00	3.000	20.00	1650.11	660.04	28.09	-0.16079	0.00404	3.091	19.32	15.00	3.000	20.00
15.01	3.000	25.00	1666.02	666.41	28.34	-0.19683	0.00426	3.087	24.18	15.00	3.000	25.00
15.01	3.000	30.00	1687.48	674.99	27.43	-0.29487	0.00449	3.081	29.03	15.00	3.000	30.00
15.01	3.000	35.00	1713.93	685.57	27.06	-0.23460	0.00439	3.074	33.90	15.00	3.000	35.00
15.01	3.000	40.00	1748.05	699.22	26.81	-0.27446	0.00426	3.065	38.77	15.00	3.000	40.00
15.00	3.000	45.00	1803.66	721.47	27.67	-0.31463	0.00420	3.055	43.65	15.00	3.000	45.00
15.00	3.000	50.00	1854.01	741.60	26.68	-0.28602	0.00378	3.044	48.56	15.00	3.000	50.00
15.01	3.000	55.00	1924.51	769.80	26.33	-0.26039	0.00336	3.033	53.49	15.00	3.000	55.00
15.01	3.000	60.00	2020.26	808.11	27.72	-0.25365	0.00296	3.023	58.46	15.00	3.000	60.00
15.01	3.000	65.00	2139.51	855.80	28.61	-0.29460	0.00246	3.013	63.47	15.00	3.000	65.00
15.01	3.000	70.00	2264.32	905.73	25.08	-0.18531	0.00177	3.005	68.50	15.00	3.000	70.00	Current limit exceeded.
15.01	3.000	75.00	2505.59	1002.24	24.20	-0.79296	0.00209	2.999	73.56	15.00	3.000	75.00	Current limit exceeded.
15.01	3.000	78.00	--	--	--	--	--	2.996	76.60	15.00	3.000	78.00	Current limit exceeded.
--	--	--	--	--	--	--	--	--	--	15.00	3.000	81.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	84.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	86.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	88.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	90.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	92.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	94.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	96.00	Measurement skipped. (Current limit exceeded.)
--	--	--	--	--	--	--	--	--	--	15.00	3.000	99.00	Measurement skipped. (Current limit exceeded.)
15.01	3.000	102.00	--	--	--	--	--	2.992	101.22	15.00	3.000	102.00	Current limit exceeded.
15.01	3.000	105.00	--	--	--	--	--	2.994	104.44	15.00	3.000	105.00	Current limit exceeded.
15.01	3.000	110.00	2336.93	934.77	32.16	0.00406	-0.00121	2.990	109.36	15.00	3.000	110.00	Current limit exceeded.
15.01	3.000	115.00	2187.41	874.96	34.03	0.04545	-0.00125	2.988	114.36	15.00	3.000	115.00
15.01	3.000	120.00	2070.56	828.22	33.33	0.07558	-0.00118	2.983	119.33	15.00	3.000	120.00
15.01	3.000	125.00	1976.12	790.45	33.26	-0.01128	-0.00094	2.975	124.29	15.00	3.000	125.00
15.01	3.000	130.00	1890.32	756.13	31.09	-0.06899	-0.00054	2.968	129.29	15.00	3.000	130.00
15.01	3.000	135.00	1822.65	729.06	30.08	-0.17819	0.00006	2.961	134.29	15.00	3.000	135.00
15.01	3.000	140.00	1774.18	709.67	29.68	-0.31932	0.00088	2.953	139.30	15.00	3.000	140.00
15.01	3.000	145.00	1741.20	696.48	30.43	-0.40902	0.00163	2.946	144.34	15.00	3.000	145.00
15.01	3.000	150.00	1711.02	684.41	30.58	-0.49562	0.00236	2.940	149.38	15.00	3.000	150.00
15.01	3.000	155.00	1688.52	675.41	31.28	-0.60008	0.00294	2.935	154.41	15.00	3.000	155.00
15.01	3.000	160.00	1672.78	669.11	30.67	-0.60995	0.00344	2.931	159.43	15.00	3.000	160.00
15.01	3.000	165.00	1659.90	663.96	31.21	-0.63677	0.00384	2.927	164.46	15.00	3.000	165.00
15.01	3.000	170.00	1655.07	662.03	31.22	-0.60129	0.00414	2.924	169.53	15.00	3.000	170.00
15.01	3.000	175.00	1649.30	659.72	31.15	-0.52786	0.00420	2.922	174.68	15.00	3.000	175.00
15.01	3.000	180.00	1625.07	650.03	27.52	-0.20542	0.00320	2.920	180.35	15.00	3.000	180.00
15.01	3.000	185.00	1644.14	657.66	29.64	-0.30956	0.00400	2.920	185.53	15.00	3.000	185.00
15.01	3.000	190.00	1654.03	661.61	30.25	-0.30905	0.00460	2.922	190.67	15.00	3.000	190.00
15.01	3.000	195.00	1665.43	666.17	30.20	-0.40487	0.00498	2.925	195.76	15.00	3.000	195.00
15.01	3.000	200.00	1681.24	672.49	30.49	-0.59735	0.00579	2.930	200.85	15.00	3.000	200.00
15.01	3.000	205.00	1705.84	682.34	31.11	-0.69343	0.00629	2.936	205.95	15.00	3.000	205.00
15.01	3.000	210.00	1727.78	691.11	29.97	-1.00000	0.00701	2.944	211.01	15.00	3.000	210.00
15.01	3.000	215.00	1736.07	694.43	26.03	-1.00000	0.00899	2.955	215.45	15.00	3.000	215.00
15.01	3.000	220.00	1777.39	710.96	26.96	-1.00000	0.00814	2.963	220.37	15.00	3.000	220.00
