Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
70.01	0.020	0.00	584.69	233.88	27.32	0.03242	0.00087	0.020	1.93	70.00	0.020	0.00	
70.00	0.020	5.00	581.72	232.69	25.87	-0.01055	0.00002	0.021	5.70	70.00	0.020	5.00	
70.00	0.020	10.00	583.07	233.23	26.28	-0.00798	0.00008	0.021	10.92	70.00	0.020	10.00	
70.01	0.020	15.00	584.39	233.75	26.79	0.01775	0.00005	0.021	15.64	70.00	0.020	15.00	
70.01	0.020	20.00	585.18	234.07	26.59	0.00644	0.00017	0.021	20.86	70.00	0.020	20.00	
70.01	0.020	25.00	587.52	235.01	26.91	0.03226	0.00027	0.021	25.99	70.00	0.020	25.00	
70.00	0.020	30.00	589.15	235.66	27.54	0.03547	0.00016	0.021	30.79	70.00	0.020	30.00	
70.00	0.020	35.00	590.00	236.00	27.25	0.02742	0.00017	0.021	35.55	70.00	0.020	35.00	
70.00	0.020	40.00	592.14	236.85	28.15	0.01916	0.00027	0.021	40.15	70.00	0.020	40.00	
69.99	0.020	45.00	593.25	237.30	27.78	-0.02420	0.00015	0.021	45.17	70.00	0.020	45.00	
70.00	0.020	50.00	593.42	237.37	27.21	0.05329	0.00010	0.021	49.85	70.00	0.020	50.00	
70.00	0.020	55.00	595.56	238.23	27.89	0.03054	0.00008	0.020	54.70	70.00	0.020	55.00	
70.01	0.020	60.00	596.94	238.78	27.84	0.04227	0.00004	0.021	59.60	70.00	0.020	60.00	
70.00	0.020	65.00	597.61	239.04	27.77	0.05102	-0.00004	0.021	64.48	70.00	0.020	65.00	
70.00	0.020	70.00	599.12	239.65	28.11	0.01653	-0.00003	0.020	69.71	70.00	0.020	70.00	
70.00	0.020	75.00	599.29	239.71	27.86	0.04369	-0.00013	0.020	75.04	70.00	0.020	75.00	
70.01	0.020	78.00	599.78	239.91	27.82	0.02284	0.00001	0.021	77.94	70.00	0.020	78.00	
70.00	0.020	81.00	600.53	240.21	28.40	0.02540	-0.00011	0.020	81.28	70.00	0.020	81.00	
70.01	0.020	84.00	600.65	240.26	28.16	0.02082	-0.00014	0.020	84.47	70.00	0.020	84.00	
70.00	0.020	86.00	601.05	240.42	28.28	0.02694	0.00010	0.020	86.90	70.00	0.020	86.00	
70.00	0.020	88.00	600.59	240.24	27.99	-0.00162	-0.00016	0.020	88.67	70.00	0.020	88.00	
70.00	0.020	90.00	601.47	240.59	28.54	0.00948	-0.00004	0.020	90.92	70.00	0.020	90.00	
70.00	0.020	92.00	601.21	240.48	28.44	-0.02316	-0.00004	0.021	92.80	70.00	0.020	92.00	
