Temperature (K)	Field (T)	Angle (°)	Ic/w (A/cm)	Ic (A)	n	V0 (µV)	V1 (µV/A)	Hall field (T)	Hall angle (°)	Set temperature (K)	Set field (T)	Set angle (°)
77.52	1.000	0.00	81.88	32.75	11.70	0.05011	-0.00029	1.058	-0.28	77.50	1.000	0.00	
77.51	1.000	5.00	81.84	32.74	11.73	0.05418	-0.00154	1.058	4.78	77.50	1.000	5.00	
77.51	1.000	10.00	81.21	32.48	11.54	0.07999	-0.00103	1.057	9.80	77.50	1.000	10.00	
77.50	1.000	15.00	80.71	32.28	11.69	0.01650	-0.00019	1.056	14.80	77.50	1.000	15.00	
77.50	1.000	20.00	79.66	31.86	11.47	0.05137	-0.00143	1.055	19.75	77.50	1.000	20.00	
77.50	1.000	25.00	78.96	31.59	11.42	0.01015	-0.00153	1.052	24.62	77.50	1.000	25.00	
77.50	0.999	30.00	78.66	31.46	11.59	0.01649	-0.00007	1.048	29.45	77.50	1.000	30.00	
77.50	1.000	35.00	78.09	31.23	11.46	-0.01121	-0.00119	1.044	34.25	77.50	1.000	35.00	
77.49	1.000	40.00	77.83	31.13	11.46	0.08648	-0.00207	1.038	39.03	77.50	1.000	40.00	
77.49	1.000	45.00	77.96	31.18	11.61	0.07015	-0.00139	1.032	43.83	77.50	1.000	45.00	
77.50	1.000	50.00	78.39	31.36	11.76	0.04333	-0.00125	1.025	48.62	77.50	1.000	50.00	
77.50	1.000	55.00	79.06	31.62	11.92	0.02611	-0.00145	1.017	53.50	77.50	1.000	55.00	
77.50	0.999	60.00	80.11	32.05	12.17	0.02980	-0.00134	1.009	58.45	77.50	1.000	60.00	
77.50	1.000	65.00	80.97	32.39	12.33	0.06544	-0.00213	1.003	63.49	77.50	1.000	65.00	
77.50	1.000	70.00	81.81	32.72	12.56	0.06765	-0.00158	0.998	68.60	77.50	1.000	70.00	
77.50	1.000	75.00	82.43	32.97	12.80	0.03669	-0.00176	0.995	73.80	77.50	1.000	75.00	
77.50	1.000	78.00	82.60	33.04	12.99	0.05980	-0.00146	0.994	76.93	77.50	1.000	78.00	
77.50	1.000	81.00	82.33	32.93	12.95	0.06626	-0.00218	0.994	80.06	77.50	1.000	81.00	
77.50	1.000	84.00	82.44	32.98	13.11	0.04618	-0.00248	0.995	83.20	77.50	1.000	84.00	
77.50	1.000	86.00	83.43	33.37	13.15	0.07215	-0.00238	0.995	85.29	77.50	1.000	86.00	
77.50	1.000	88.00	87.47	34.99	13.79	0.05534	-0.00144	0.997	87.39	77.50	1.000	88.00	
77.50	1.000	90.00	94.74	37.89	15.26	0.06865	-0.00110	0.998	89.46	77.50	1.000	90.00	
77.50	1.000	92.00	91.40	36.56	14.30	0.08178	-0.00318	1.000	91.51	77.50	1.000	92.00	
77.50	1.000	94.00	85.35	34.14	13.27	0.04459	-0.00339	1.002	93.56	77.50	1.000	94.00	
77.50	1.000	96.00	83.06	33.23	12.98	0.07984	-0.00310	1.003	95.59	77.50	1.000	96.00	
77.50	1.000	99.00	82.96	33.18	12.99	0.02571	-0.00189	1.006	98.63	77.50	1.000	99.00	
77.50	1.000	102.00	83.46	33.38	12.95	0.04888	-0.00174	1.009	101.63	77.50	1.000	102.00	
77.50	1.000	105.00	83.99	33.60	13.13	0.03283	-0.00102	1.012	104.59	77.50	1.000	105.00	
77.50	1.000	110.00	83.61	33.44	12.79	0.04404	-0.00149	1.015	109.49	77.50	1.000	110.00	
77.50	1.000	115.00	82.98	33.19	12.45	0.05903	-0.00194	1.017	114.36	77.50	1.000	115.00	
77.50	0.999	120.00	82.08	32.83	12.16	0.05506	-0.00339	1.019	119.19	77.50	1.000	120.00	
77.50	0.999	125.00	81.49	32.60	12.21	0.03859	-0.00070	1.019	124.04	77.50	1.000	125.00	
77.50	1.000	130.00	80.73	32.29	11.99	0.09786	-0.00264	1.018	128.93	77.50	1.000	130.00	
77.50	1.000	135.00	80.41	32.16	11.91	0.05821	-0.00120	1.017	133.80	77.50	1.000	135.00	
77.50	1.000	140.00	80.36	32.14	11.87	0.03988	-0.00111	1.014	138.75	77.50	1.000	140.00	
77.50	1.000	145.00	80.38	32.15	11.76	0.04610	-0.00073	1.011	143.74	77.50	1.000	145.00	
77.50	1.000	150.00	81.02	32.41	11.85	0.00292	-0.00040	1.007	148.70	77.50	1.000	150.00	
77.50	1.000	155.00	81.53	32.61	11.71	0.01762	-0.00054	1.003	153.69	77.50	1.000	155.00	
77.50	1.000	160.00	82.45	32.98	11.90	-0.05257	0.00102	1.001	158.71	77.50	1.000	160.00	
77.50	1.000	165.00	83.20	33.28	11.97	0.02190	-0.00066	0.998	163.79	77.50	1.000	165.00	
77.50	1.000	170.00	83.62	33.45	11.77	0.09035	-0.00211	0.996	168.91	77.50	1.000	170.00	
77.50	1.000	175.00	84.09	33.64	11.85	0.03506	-0.00167	0.996	174.11	77.50	1.000	175.00	
77.50	1.000	180.00	84.31	33.72	11.89	0.00622	0.00051	0.995	179.36	77.50	1.000	180.00	
77.50	1.000	185.00	83.86	33.54	11.78	0.00512	0.00007	0.996	184.54	77.50	1.000	185.00	
77.50	1.000	190.00	83.18	33.27	11.73	0.03280	-0.00285	0.998	189.74	77.50	1.000	190.00	
77.50	1.000	195.00	82.29	32.92	11.65	0.04647	-0.00085	1.000	194.95	77.50	1.000	195.00	
77.50	1.000	200.00	81.03	32.41	11.46	0.09217	-0.00168	1.003	200.14	77.50	1.000	200.00	
77.50	1.000	205.00	80.18	32.07	11.57	0.03437	-0.00080	1.007	205.31	77.50	1.000	205.00	
77.50	1.000	210.00	79.68	31.87	11.82	0.01910	-0.00099	1.011	210.37	77.50	1.000	210.00	
77.50	1.000	215.00	78.97	31.59	11.51	0.03967	-0.00156	1.014	215.35	77.50	1.000	215.00	
77.50	1.000	220.00	78.73	31.49	11.54	0.03783	-0.00147	1.018	220.14	77.50	1.000	220.00	
77.50	1.000	225.00	78.96	31.58	11.79	0.00725	-0.00058	1.020	224.92	77.50	1.000	225.00	
77.50	1.000	230.00	79.25	31.70	11.79	0.05216	-0.00109	1.022	229.72	77.50	1.000	230.00	
77.50	1.000	235.00	79.65	31.86	11.71	0.10114	-0.00296	1.022	234.51	77.50	1.000	235.00	
77.50	1.000	240.00	80.72	32.29	12.02	0.08567	-0.00246	1.022	239.32	77.50	1.000	240.00	
